Date,Open,High,Low,Close,Volume
02/22/2024,"95.82","95.82","94.61","94.76","971,922"
02/21/2024,"94.43","95.81","94.26","95.41","782,792"
02/20/2024,"95.26","95.82","94.31","94.49","768,099"
02/16/2024,"96.42","97.14","96.07","96.16","966,788"
02/15/2024,"94.86","97.71","94.57","97.37","1,332,907"
02/14/2024,"92.27","94.53","91.95","93.84","1,347,136"
02/13/2024,"92.15","92.15","90.50","91.89","734,423"
02/12/2024,"93.67","94.43","93.31","94.19","715,789"
02/09/2024,"93.56","94.10","93.25","93.46","713,414"
02/08/2024,"94.44","94.92","92.88","93.95","1,193,776"
02/07/2024,"95.54","95.69","93.65","94.69","1,339,428"
02/06/2024,"93.94","95.56","93.58","95.32","1,341,839"
02/05/2024,"95.55","95.62","93.84","93.88","1,189,501"
02/02/2024,"96.74","98.64","94.80","96.57","3,131,805"
02/01/2024,"93.14","95.60","92.51","95.55","2,641,381"
01/31/2024,"95.67","95.80","93.24","93.84","2,795,040"
01/30/2024,"95.77","95.77","94.80","95.06","1,087,053"
01/29/2024,"95.80","96.55","95.51","96.29","1,355,591"
01/26/2024,"96.26","96.46","94.78","95.75","976,793"
01/25/2024,"98.48","98.64","95.83","95.86","960,792"
01/24/2024,"99.39","99.39","97.37","97.58","1,107,834"
01/23/2024,"99.37","99.72","97.67","98.36","825,815"
01/22/2024,"98.98","99.87","98.51","99.18","888,949"
01/19/2024,"96.21","99.17","95.74","98.74","1,708,358"
01/18/2024,"96.30","96.84","95.16","95.76","1,180,443"
01/17/2024,"97.92","99.24","95.90","96.58","1,093,256"
01/16/2024,"99.00","100.16","98.64","99.51","1,332,506"
01/12/2024,"100.32","100.69","98.77","99.22","694,929"
01/11/2024,"98.19","99.62","97.30","99.22","1,131,517"
01/10/2024,"98.53","99.02","98.04","98.53","740,541"
01/09/2024,"98.00","98.82","97.69","98.10","770,056"
01/08/2024,"97.74","99.33","97.43","99.25","872,907"
01/05/2024,"97.02","98.69","96.30","98.19","998,642"
01/04/2024,"97.38","99.01","97.18","97.81","840,233"
01/03/2024,"99.76","99.76","97.64","97.81","657,256"
01/02/2024,"99.16","100.60","98.71","100.38","960,283"
12/29/2023,"100.00","100.30","99.22","99.29","753,517"
12/28/2023,"98.54","100.51","98.45","100.43","810,966"
12/27/2023,"98.52","99.54","98.07","98.88","762,168"
12/26/2023,"98.09","98.89","97.76","98.46","693,348"
12/22/2023,"97.86","98.57","97.55","97.79","1,602,751"
12/21/2023,"97.85","98.11","96.39","97.24","854,956"
12/20/2023,"98.25","98.98","96.78","96.79","940,568"
12/19/2023,"99.87","100.20","98.07","98.47","1,901,327"
12/18/2023,"99.47","99.96","98.58","99.44","1,201,963"
12/15/2023,"100.20","100.98","98.00","98.95","2,253,274"
12/14/2023,"99.40","102.40","99.39","101.61","1,430,460"
12/13/2023,"94.22","98.84","94.14","98.11","1,136,454"
12/12/2023,"93.60","94.57","92.81","94.10","753,919"
12/11/2023,"93.25","93.94","92.78","93.42","698,017"
12/08/2023,"93.01","94.35","92.85","93.65","1,075,360"
12/07/2023,"93.40","94.08","92.72","93.40","667,365"
12/06/2023,"93.49","94.53","92.92","93.39","939,192"
12/05/2023,"92.61","93.10","91.41","93.04","1,087,363"
12/04/2023,"91.83","93.23","91.55","93.04","804,120"
12/01/2023,"90.33","93.18","90.33","92.62","795,627"
11/30/2023,"89.65","90.34","89.01","90.26","1,913,713"
11/29/2023,"90.35","91.61","89.55","89.75","1,881,191"
11/28/2023,"88.10","89.69","87.61","89.40","1,255,126"
11/27/2023,"88.67","89.16","88.12","88.34","848,261"
11/24/2023,"88.00","88.75","87.97","88.73","186,081"
