Date,Open,High,Low,Close,Volume
02/20/2024,"289.50","290.85","284.16","286.39","4,285,328"
02/16/2024,"292.00","292.07","287.88","289.72","4,159,391"
02/15/2024,"291.34","292.00","288.01","291.94","3,986,522"
02/14/2024,"285.00","289.46","284.64","289.15","3,850,721"
02/13/2024,"280.41","283.43","276.42","281.15","4,956,553"
02/12/2024,"290.82","291.00","287.00","287.32","3,750,035"
02/09/2024,"293.25","295.24","291.05","291.30","4,376,347"
02/08/2024,"289.30","293.11","288.98","291.95","4,488,432"
02/07/2024,"287.35","289.80","285.20","288.84","3,621,376"
02/06/2024,"287.94","288.64","281.91","285.83","4,207,846"
02/05/2024,"286.25","289.05","281.36","288.11","5,274,790"
02/02/2024,"285.20","288.16","283.16","285.66","3,629,843"
02/01/2024,"282.01","285.05","281.36","283.80","3,218,346"
01/31/2024,"284.05","285.63","280.82","281.09","4,557,283"
01/30/2024,"287.63","289.29","286.52","287.73","4,810,928"
01/29/2024,"281.40","288.15","281.00","287.86","5,762,263"
01/26/2024,"279.28","283.34","278.69","279.94","4,877,365"
01/25/2024,"278.61","279.85","276.86","279.03","4,178,020"
01/24/2024,"279.98","280.96","276.69","276.88","7,037,765"
01/23/2024,"280.83","281.71","275.71","276.77","6,573,810"
01/22/2024,"283.79","285.72","280.17","280.30","6,735,912"
01/19/2024,"276.51","282.00","275.53","280.88","7,413,577"
01/18/2024,"273.00","275.69","272.14","274.46","4,752,437"
01/17/2024,"268.29","271.90","264.13","271.44","4,706,498"
01/16/2024,"269.70","271.57","267.72","269.19","5,858,670"
01/12/2024,"271.23","275.24","271.06","271.93","4,847,604"
01/11/2024,"268.00","272.96","265.10","271.38","9,012,600"
01/10/2024,"263.27","266.46","262.75","264.13","5,128,300"
01/09/2024,"259.50","263.93","258.78","261.34","4,571,839"
01/08/2024,"252.21","261.56","251.39","260.87","6,626,012"
01/05/2024,"251.21","253.91","250.17","251.12","3,675,979"
01/04/2024,"251.83","252.64","249.84","251.24","4,489,773"
01/03/2024,"253.50","254.16","251.77","251.84","5,097,120"
01/02/2024,"260.54","260.56","253.77","256.13","4,741,418"
12/29/2023,"265.01","265.65","262.66","263.14","3,706,552"
12/28/2023,"266.50","266.92","265.30","265.58","2,958,714"
12/27/2023,"265.94","267.01","265.40","266.72","3,386,951"
12/26/2023,"265.53","266.53","264.62","266.22","3,219,024"
12/22/2023,"267.26","268.15","265.30","266.34","3,110,591"
12/21/2023,"264.75","268.36","264.24","267.25","5,160,697"
12/20/2023,"261.66","264.92","260.08","260.25","4,510,533"
12/19/2023,"265.47","266.58","263.74","264.34","4,665,500"
12/18/2023,"259.82","265.59","259.68","263.59","7,498,521"
12/15/2023,"255.01","262.31","254.51","261.60","13,739,530"
12/14/2023,"256.50","258.77","253.22","257.21","6,613,211"
12/13/2023,"257.51","259.12","255.16","257.32","6,567,630"
12/12/2023,"251.80","256.58","251.02","256.45","5,827,551"
12/11/2023,"250.00","253.52","249.71","252.10","4,765,980"
12/08/2023,"248.55","252.09","248.00","250.81","4,605,805"
12/07/2023,"248.75","250.73","246.89","248.85","6,568,249"
12/06/2023,"251.52","253.98","248.85","249.13","5,374,769"
12/05/2023,"249.99","251.67","248.64","251.02","5,771,514"
12/04/2023,"252.80","255.12","249.85","250.66","11,429,250"
12/01/2023,"250.00","263.43","249.70","260.00","14,538,230"
11/30/2023,"249.05","252.50","243.65","251.90","24,425,721"
11/29/2023,"228.61","231.50","227.26","230.35","12,327,440"
11/28/2023,"223.61","225.53","222.23","224.92","5,535,336"
11/27/2023,"225.50","226.22","224.25","224.79","4,885,506"
11/24/2023,"224.36","224.49","222.12","224.38","1,869,111"
11/22/2023,"224.30","225.69","223.21","223.84","3,894,413"
