Date,Open,High,Low,Close,Volume
02/20/2024,"47.97","48.47","47.85","48.28","26,402,461"
02/16/2024,"48.75","49.08","48.39","48.44","24,912,311"
02/15/2024,"48.26","49.69","48.19","49.06","42,766,539"
02/14/2024,"49.57","50.34","49.55","50.28","31,176,439"
02/13/2024,"49.62","49.94","49.14","49.64","23,633,711"
02/12/2024,"50.03","50.20","49.53","49.99","19,046,330"
02/09/2024,"49.93","50.26","49.63","50.13","24,076,859"
02/08/2024,"49.90","49.99","49.55","49.95","19,598,990"
02/07/2024,"50.30","50.35","49.46","49.77","16,794,359"
02/06/2024,"50.31","50.61","49.79","49.98","19,265,801"
02/05/2024,"49.94","50.15","49.26","49.51","19,601,990"
02/02/2024,"50.14","50.38","49.62","50.18","20,533,100"
02/01/2024,"50.23","50.46","49.82","50.18","20,635,670"
01/31/2024,"51.85","51.94","50.07","50.18","29,311,789"
01/30/2024,"52.30","52.42","52.00","52.24","14,322,140"
01/29/2024,"51.84","52.39","51.83","52.29","13,492,410"
01/26/2024,"52.42","52.62","51.99","52.14","13,160,320"
01/25/2024,"51.75","52.56","51.75","52.33","18,936,641"
01/24/2024,"52.00","52.00","51.21","51.31","19,458,520"
01/23/2024,"51.39","51.82","51.30","51.76","15,044,330"
01/22/2024,"51.55","51.78","51.41","51.57","20,298,721"
01/19/2024,"50.75","51.39","50.73","51.27","23,015,260"
01/18/2024,"50.30","50.80","50.28","50.75","18,487,539"
01/17/2024,"50.24","50.43","49.91","50.30","17,370,641"
01/16/2024,"50.25","50.59","50.07","50.59","17,015,930"
01/12/2024,"50.50","50.82","50.30","50.34","18,785,711"
01/11/2024,"50.45","50.50","50.04","50.44","16,458,250"
01/10/2024,"50.00","50.32","49.82","50.24","15,174,190"
01/09/2024,"49.96","50.04","49.43","49.91","20,489,211"
01/08/2024,"49.75","50.50","49.69","50.46","18,070,289"
01/05/2024,"50.18","50.37","49.87","50.09","13,989,290"
01/04/2024,"50.44","50.51","49.99","50.08","18,134,119"
01/03/2024,"50.17","50.68","49.94","50.51","20,303,881"
01/02/2024,"50.49","50.86","50.25","50.51","20,242,939"
12/29/2023,"50.45","50.59","50.22","50.52","12,492,880"
12/28/2023,"50.58","50.63","50.42","50.48","8,549,909"
12/27/2023,"50.30","50.56","50.28","50.44","10,414,330"
12/26/2023,"50.11","50.40","50.05","50.28","9,721,186"
12/22/2023,"49.84","50.39","49.84","50.09","12,903,830"
12/21/2023,"49.93","49.98","49.38","49.70","18,772,279"
12/20/2023,"50.12","50.33","49.79","49.80","17,812,180"
12/19/2023,"50.37","50.46","49.84","50.18","17,035,820"
12/18/2023,"49.92","50.30","49.40","50.24","20,453,080"
12/15/2023,"49.49","49.93","49.43","49.87","58,860,121"
12/14/2023,"50.00","50.01","49.17","49.44","28,418,721"
12/13/2023,"49.24","49.70","48.81","49.69","18,689,170"
12/12/2023,"49.58","49.59","49.11","49.33","18,712,240"
12/11/2023,"48.94","49.44","48.85","49.39","25,618,939"
12/08/2023,"48.28","48.59","48.21","48.38","16,039,940"
12/07/2023,"47.91","48.36","47.80","48.26","20,478,480"
12/06/2023,"48.07","48.21","47.65","47.70","19,535,529"
12/05/2023,"47.75","47.96","47.59","47.93","20,985,039"
12/04/2023,"48.06","48.18","47.78","48.05","17,812,930"
12/01/2023,"48.28","48.78","48.02","48.47","18,744,689"
11/30/2023,"48.19","48.50","47.94","48.38","37,165,008"
11/29/2023,"48.11","48.44","48.03","48.05","16,700,490"
11/28/2023,"47.95","48.19","47.81","47.85","16,360,860"
11/27/2023,"48.33","48.37","47.91","47.93","17,651,619"
11/24/2023,"48.09","48.40","48.05","48.36","8,209,530"
11/22/2023,"48.08","48.35","47.95","48.08","17,311,340"
