Date,Open,High,Low,Close,Volume
02/16/2024,"36.89","37.02","36.65","36.72","12,668,430"
02/15/2024,"37.18","37.39","36.89","37.00","9,581,408"
02/14/2024,"36.63","37.06","36.59","37.00","8,318,356"
02/13/2024,"36.77","36.84","36.35","36.61","11,241,600"
02/12/2024,"36.79","36.93","36.42","36.87","11,684,720"
02/09/2024,"37.12","37.22","36.74","36.89","9,439,225"
02/08/2024,"37.06","37.15","36.72","37.07","8,489,062"
02/07/2024,"37.20","37.37","36.99","36.99","9,536,072"
02/06/2024,"36.83","37.15","36.65","37.02","9,139,148"
02/05/2024,"36.23","36.93","36.20","36.73","11,621,720"
02/02/2024,"36.24","36.75","36.07","36.53","13,400,780"
02/01/2024,"35.75","36.28","35.64","36.28","13,146,720"
01/31/2024,"35.96","36.12","35.66","35.70","15,551,050"
01/30/2024,"35.30","36.00","35.27","35.85","13,619,160"
01/29/2024,"35.18","35.63","35.05","35.59","11,223,900"
01/26/2024,"35.07","35.50","34.82","35.39","21,484,730"
01/25/2024,"34.52","35.01","33.45","35.00","19,979,359"
01/24/2024,"35.00","35.00","34.33","34.39","17,803,439"
01/23/2024,"34.77","34.94","34.60","34.89","10,098,700"
01/22/2024,"34.69","34.98","34.51","34.75","15,175,190"
01/19/2024,"34.42","34.77","34.32","34.55","18,313,439"
01/18/2024,"34.37","34.59","34.21","34.45","17,670,859"
01/17/2024,"34.40","34.55","34.18","34.39","10,484,580"
01/16/2024,"34.78","34.96","34.57","34.74","9,755,417"
01/12/2024,"34.72","34.89","34.48","34.86","5,727,483"
01/11/2024,"34.66","34.66","34.25","34.57","7,752,009"
01/10/2024,"34.62","34.75","34.51","34.70","6,448,021"
01/09/2024,"34.37","34.64","34.23","34.61","7,855,281"
01/08/2024,"34.74","34.77","34.40","34.69","8,977,677"
01/05/2024,"34.67","34.92","34.57","34.62","7,118,852"
01/04/2024,"34.59","34.98","34.50","34.72","9,283,370"
01/03/2024,"34.64","34.92","34.52","34.66","10,827,260"
01/02/2024,"34.64","34.98","34.45","34.62","9,285,276"
12/29/2023,"34.69","34.78","34.55","34.67","6,712,075"
12/28/2023,"34.72","34.82","34.60","34.74","4,795,134"
12/27/2023,"34.77","34.89","34.57","34.65","9,632,229"
12/26/2023,"34.63","35.09","34.57","34.95","6,058,566"
12/22/2023,"34.55","34.81","34.53","34.63","6,262,838"
12/21/2023,"34.44","34.49","34.20","34.46","9,828,791"
12/20/2023,"34.31","34.84","34.22","34.36","9,863,969"
12/19/2023,"34.31","34.61","34.19","34.58","9,939,906"
12/18/2023,"34.18","34.55","34.12","34.33","10,947,770"
12/15/2023,"33.76","34.08","33.55","34.00","32,750,551"
12/14/2023,"33.52","34.04","33.41","33.84","17,306,150"
12/13/2023,"33.17","33.34","32.78","33.24","19,160,689"
12/12/2023,"33.39","33.44","33.14","33.22","9,729,104"
12/11/2023,"33.24","33.32","33.11","33.20","11,108,910"
12/08/2023,"33.45","33.49","32.93","32.96","15,756,850"
12/07/2023,"33.73","33.80","33.44","33.50","10,666,580"
12/06/2023,"33.52","33.57","33.23","33.52","10,669,660"
12/05/2023,"33.45","33.45","33.13","33.29","7,736,011"
12/04/2023,"33.31","33.83","33.27","33.66","16,935,740"
12/01/2023,"32.41","33.43","32.37","33.40","12,861,600"
11/30/2023,"31.76","32.33","31.72","32.30","17,186,820"
11/29/2023,"32.09","32.16","31.65","31.73","9,414,131"
11/28/2023,"31.91","32.28","31.88","32.05","11,123,170"
11/27/2023,"32.52","32.55","31.92","31.94","9,971,787"
11/24/2023,"32.54","32.64","32.38","32.64","7,221,878"
11/22/2023,"32.43","32.61","32.26","32.55","13,128,620"
11/21/2023,"32.10","32.33","31.93","32.25","14,009,600"
