Date,Open,High,Low,Close,Volume
02/16/2024,"620.89","621.78","612.74","614.66","339,680"
02/15/2024,"616.09","621.93","613.47","621.02","303,511"
02/14/2024,"606.47","613.19","603.77","612.67","356,801"
02/13/2024,"611.00","611.85","602.80","605.96","444,291"
02/12/2024,"617.00","617.22","611.92","613.69","289,328"
02/09/2024,"618.93","620.35","614.07","618.22","280,862"
02/08/2024,"620.50","621.97","615.96","617.16","428,995"
02/07/2024,"622.10","626.18","620.59","621.62","272,383"
02/06/2024,"618.01","619.92","614.47","617.89","335,587"
02/05/2024,"616.86","617.08","611.14","615.62","355,915"
02/02/2024,"616.31","622.63","611.96","619.30","337,264"
02/01/2024,"606.74","618.39","603.83","617.54","371,609"
01/31/2024,"609.00","611.69","601.91","604.57","643,888"
01/30/2024,"598.80","609.08","598.80","608.81","302,344"
01/29/2024,"595.49","604.61","595.49","602.00","317,570"
01/26/2024,"601.34","601.34","595.00","597.81","171,430"
01/25/2024,"598.86","601.72","595.02","598.51","270,080"
01/24/2024,"605.03","606.36","597.14","597.95","343,093"
01/23/2024,"604.57","607.13","599.53","603.67","216,037"
01/22/2024,"603.26","603.99","600.20","601.53","241,843"
01/19/2024,"594.26","600.58","591.60","599.05","314,988"
01/18/2024,"588.89","593.88","586.54","592.62","270,589"
01/17/2024,"585.91","589.71","585.17","588.89","280,642"
01/16/2024,"591.18","593.31","586.06","588.57","304,519"
01/12/2024,"591.08","593.35","587.77","593.00","228,631"
01/11/2024,"588.16","588.91","583.63","588.25","279,298"
01/10/2024,"584.07","587.47","581.65","587.02","234,532"
01/09/2024,"578.56","584.65","576.54","584.51","213,936"
01/08/2024,"578.03","584.72","575.93","584.13","425,849"
01/05/2024,"582.38","584.47","574.55","577.26","290,210"
01/04/2024,"579.50","587.40","579.50","582.38","322,897"
01/03/2024,"591.66","593.19","579.56","580.28","382,717"
01/02/2024,"600.88","603.57","588.06","591.91","389,013"
12/29/2023,"600.24","604.47","599.65","602.66","284,063"
12/28/2023,"604.04","607.19","601.03","601.09","293,848"
12/27/2023,"601.90","607.79","601.90","606.21","266,387"
12/26/2023,"596.95","603.80","595.81","602.43","321,989"
12/22/2023,"592.16","597.74","590.50","595.24","468,277"
12/21/2023,"577.00","591.26","568.71","589.95","670,771"
12/20/2023,"559.39","563.10","553.55","553.66","521,991"
12/19/2023,"561.37","564.01","559.41","560.29","361,308"
12/18/2023,"565.99","565.99","560.37","560.66","372,368"
12/15/2023,"562.25","566.88","557.60","558.71","1,130,421"
12/14/2023,"576.47","576.47","562.08","563.42","613,221"
12/13/2023,"567.56","576.58","564.56","574.90","388,597"
12/12/2023,"562.01","564.61","556.71","564.52","336,374"
12/11/2023,"556.46","563.33","554.84","559.60","409,090"
12/08/2023,"549.46","554.09","548.60","553.33","328,790"
12/07/2023,"552.93","555.51","547.48","553.75","628,411"
12/06/2023,"554.95","556.82","548.24","550.93","267,574"
12/05/2023,"551.52","553.95","547.80","551.08","285,180"
12/04/2023,"553.06","557.79","551.64","555.05","303,578"
12/01/2023,"553.25","559.06","553.11","558.25","278,874"
11/30/2023,"550.55","553.89","547.54","553.25","424,991"
11/29/2023,"556.07","556.07","548.16","549.08","300,505"
11/28/2023,"554.90","559.94","552.73","554.35","277,203"
11/27/2023,"555.48","558.45","554.41","554.76","215,932"
11/24/2023,"550.96","556.06","547.52","554.90","114,129"
11/22/2023,"556.00","559.01","553.77","554.82","206,397"
11/21/2023,"551.55","555.06","550.67","553.24","263,203"
