Date,Open,High,Low,Close,Volume
02/22/2024,"58.68","58.68","58.30","58.40","1,253,974"
02/21/2024,"57.82","58.49","57.78","58.24","2,415,810"
02/20/2024,"58.00","58.26","57.67","57.98","3,136,966"
02/16/2024,"57.80","58.17","57.66","58.14","3,071,327"
02/15/2024,"57.09","57.71","56.97","57.44","2,271,370"
02/14/2024,"56.69","57.15","56.42","56.94","4,170,368"
02/13/2024,"56.20","56.98","55.91","56.24","3,533,824"
02/12/2024,"56.70","57.10","56.25","56.99","3,621,782"
02/09/2024,"56.70","56.95","56.10","56.71","3,815,319"
02/08/2024,"56.54","57.28","56.34","56.55","5,164,273"
02/07/2024,"58.50","58.95","56.12","56.50","6,459,247"
02/06/2024,"59.71","59.80","58.00","58.46","13,253,300"
02/05/2024,"59.31","60.20","58.91","59.82","21,427,891"
02/02/2024,"52.46","54.98","52.03","54.51","2,745,342"
02/01/2024,"51.78","53.43","51.60","53.09","1,630,344"
01/31/2024,"52.48","53.26","51.54","51.64","1,590,519"
01/30/2024,"53.29","53.65","52.48","53.04","1,326,119"
01/29/2024,"52.42","53.92","51.75","53.63","1,968,230"
01/26/2024,"51.57","52.94","51.57","52.23","2,631,106"
01/25/2024,"49.73","50.59","49.52","50.41","2,204,873"
01/24/2024,"49.61","50.17","49.24","49.66","1,783,350"
01/23/2024,"50.20","50.40","48.78","49.20","861,810"
01/22/2024,"49.57","50.50","49.21","49.82","929,681"
01/19/2024,"48.84","49.67","47.86","49.21","1,049,039"
01/18/2024,"48.62","49.14","48.08","48.72","1,248,346"
01/17/2024,"48.67","49.26","48.01","48.58","1,993,194"
01/16/2024,"49.02","49.50","47.76","49.42","2,253,104"
01/12/2024,"50.38","50.86","49.11","49.33","1,913,966"
01/11/2024,"50.22","51.13","49.58","50.09","2,353,503"
01/10/2024,"49.47","50.63","48.70","50.36","2,199,223"
01/09/2024,"46.75","50.24","46.46","49.41","2,684,905"
01/08/2024,"45.96","47.33","45.03","46.66","2,095,901"
01/05/2024,"43.23","45.86","43.05","45.73","2,359,858"
01/04/2024,"42.65","43.59","42.11","43.45","1,668,631"
01/03/2024,"44.65","44.65","42.44","42.56","1,880,108"
01/02/2024,"44.49","45.58","44.27","45.05","1,215,163"
12/29/2023,"45.42","45.62","44.76","44.93","634,803"
12/28/2023,"45.38","45.92","45.12","45.54","865,786"
12/27/2023,"45.47","45.84","45.17","45.50","1,803,542"
12/26/2023,"44.19","45.26","44.19","45.25","642,878"
12/22/2023,"44.07","44.79","43.73","44.08","813,915"
12/21/2023,"43.47","44.41","43.30","43.90","1,675,147"
12/20/2023,"44.51","44.65","42.83","42.87","1,628,578"
12/19/2023,"42.63","44.86","42.07","44.64","2,979,533"
12/18/2023,"41.61","42.05","41.15","41.89","1,647,876"
12/15/2023,"41.41","42.12","40.85","41.48","4,711,954"
12/14/2023,"40.75","42.74","40.30","41.36","2,384,345"
12/13/2023,"37.30","39.68","37.03","39.65","2,892,720"
12/12/2023,"37.74","37.74","36.74","37.30","1,878,567"
12/11/2023,"37.11","38.17","36.90","37.93","2,114,249"
12/08/2023,"37.21","37.87","37.11","37.18","1,247,523"
12/07/2023,"37.91","38.39","37.37","37.45","1,600,368"
12/06/2023,"39.28","39.40","37.94","37.95","1,132,818"
12/05/2023,"39.65","40.06","38.42","38.91","1,320,142"
12/04/2023,"39.69","40.38","39.09","39.97","3,493,114"
12/01/2023,"38.74","40.27","38.44","40.15","2,105,821"
11/30/2023,"39.70","39.70","38.66","38.85","1,456,316"
11/29/2023,"39.77","40.27","39.40","39.57","844,049"
11/28/2023,"39.12","39.81","38.29","39.46","1,656,529"
11/27/2023,"39.59","39.97","39.06","39.11","1,229,795"
11/24/2023,"39.40","40.22","39.40","39.99","677,234"
