Date,Open,High,Low,Close,Volume
02/16/2024,"24.73","24.88","24.42","24.68","9,213,038"
02/15/2024,"23.98","24.78","23.98","24.66","8,511,032"
02/14/2024,"24.14","24.17","23.73","23.91","7,822,420"
02/13/2024,"24.53","24.57","23.96","24.08","7,628,974"
02/12/2024,"24.42","24.67","24.39","24.61","6,410,419"
02/09/2024,"24.37","24.53","24.20","24.30","4,953,081"
02/08/2024,"24.31","24.70","24.26","24.50","5,154,522"
02/07/2024,"24.39","24.44","24.15","24.36","4,960,937"
02/06/2024,"24.23","24.59","24.10","24.32","4,478,114"
02/05/2024,"24.43","24.43","24.09","24.19","4,441,792"
02/02/2024,"24.61","24.75","24.39","24.55","5,345,457"
02/01/2024,"24.92","25.06","24.47","24.62","5,138,724"
01/31/2024,"25.33","25.33","24.87","24.88","5,689,994"
01/30/2024,"24.83","25.39","24.78","25.31","6,827,160"
01/29/2024,"25.13","25.13","24.84","25.06","5,374,023"
01/26/2024,"25.34","25.42","24.99","25.29","7,024,968"
01/25/2024,"25.19","25.30","24.94","25.26","6,597,285"
01/24/2024,"24.82","25.10","24.78","25.02","7,376,388"
01/23/2024,"24.27","24.73","24.27","24.63","6,876,852"
01/22/2024,"24.25","24.52","24.06","24.35","6,860,526"
01/19/2024,"24.51","24.51","24.20","24.38","7,490,076"
01/18/2024,"24.56","24.66","24.26","24.61","6,650,220"
01/17/2024,"24.60","25.00","24.53","24.59","7,517,908"
01/16/2024,"25.35","25.37","24.80","24.82","8,744,732"
01/12/2024,"25.64","25.90","25.39","25.57","4,902,692"
01/11/2024,"25.47","25.57","25.16","25.18","7,488,929"
01/10/2024,"25.55","25.57","25.10","25.37","5,252,005"
01/09/2024,"25.62","25.86","25.39","25.75","8,716,780"
01/08/2024,"25.22","25.58","24.80","25.55","6,894,062"
01/05/2024,"25.66","25.71","25.28","25.66","8,725,458"
01/04/2024,"26.06","26.09","25.34","25.39","6,989,301"
01/03/2024,"25.70","25.98","25.57","25.89","4,181,103"
01/02/2024,"25.71","25.95","25.57","25.69","5,233,367"
12/29/2023,"25.68","25.77","25.44","25.52","4,075,610"
12/28/2023,"25.86","26.00","25.65","25.65","3,720,545"
12/27/2023,"25.96","26.09","25.71","25.83","3,248,997"
12/26/2023,"25.88","26.07","25.79","25.91","2,895,379"
12/22/2023,"25.90","25.95","25.70","25.78","3,901,840"
12/21/2023,"25.39","25.76","25.28","25.74","4,782,884"
12/20/2023,"25.70","25.83","25.18","25.23","5,341,573"
12/19/2023,"25.37","25.67","25.26","25.66","4,871,278"
12/18/2023,"25.82","25.96","25.50","25.53","6,777,051"
12/15/2023,"25.37","25.47","24.96","25.13","19,496,570"
12/14/2023,"25.01","25.58","25.01","25.57","9,206,874"
12/13/2023,"24.50","24.70","24.25","24.66","8,660,822"
12/12/2023,"24.59","24.62","24.28","24.42","6,526,549"
12/11/2023,"24.56","24.90","24.40","24.86","7,848,030"
12/08/2023,"24.71","24.80","24.55","24.70","4,829,697"
12/07/2023,"24.96","25.02","24.45","24.58","8,554,040"
12/06/2023,"25.19","25.29","24.67","24.78","8,607,441"
12/05/2023,"25.90","25.96","25.33","25.34","5,457,995"
12/04/2023,"25.88","26.22","25.72","25.79","8,082,072"
12/01/2023,"26.20","26.55","26.10","26.14","6,027,171"
11/30/2023,"26.29","26.64","25.96","26.25","8,915,596"
11/29/2023,"26.14","26.26","25.97","26.09","4,174,415"
11/28/2023,"26.37","26.60","26.06","26.07","5,316,719"
11/27/2023,"26.59","26.59","26.12","26.27","4,951,459"
11/24/2023,"26.55","26.83","26.48","26.77","2,172,927"
11/22/2023,"26.02","26.68","25.76","26.67","5,048,727"
11/21/2023,"26.59","26.69","26.35","26.53","4,355,387"
