Date,Open,High,Low,Close,Volume
02/20/2024,"76.91","77.39","76.36","76.74","4,622,046"
02/16/2024,"77.52","77.78","76.86","77.00","2,125,913"
02/15/2024,"77.14","78.04","77.09","78.02","4,396,265"
02/14/2024,"75.91","76.83","75.79","76.74","2,729,580"
02/13/2024,"75.54","76.07","74.79","75.50","3,214,905"
02/12/2024,"76.74","76.88","75.54","76.53","5,249,758"
02/09/2024,"78.57","78.58","76.87","77.10","5,330,044"
02/08/2024,"78.13","78.66","77.36","78.30","3,173,887"
02/07/2024,"75.64","78.88","75.42","78.00","5,302,314"
02/06/2024,"77.83","78.93","77.76","78.73","6,513,053"
02/05/2024,"77.27","77.75","76.63","77.59","2,472,472"
02/02/2024,"77.48","78.20","77.15","77.89","4,500,620"
02/01/2024,"77.35","77.95","76.54","77.88","2,530,656"
01/31/2024,"77.65","78.70","76.97","77.12","3,316,034"
01/30/2024,"77.30","77.94","77.20","77.60","3,377,883"
01/29/2024,"76.92","78.13","76.92","77.87","3,223,525"
01/26/2024,"78.56","78.89","77.04","77.28","2,481,166"
01/25/2024,"77.79","78.68","77.79","78.30","5,396,738"
01/24/2024,"77.55","77.55","76.73","76.95","3,473,450"
01/23/2024,"77.52","77.65","76.84","77.11","2,263,181"
01/22/2024,"77.18","77.71","77.08","77.27","2,452,820"
01/19/2024,"75.71","77.17","75.60","76.88","7,178,358"
01/18/2024,"75.85","76.68","75.20","75.66","4,693,541"
01/17/2024,"75.75","76.26","75.24","75.70","5,570,116"
01/16/2024,"77.66","77.81","75.77","76.20","3,942,511"
01/12/2024,"75.32","78.42","75.10","77.97","6,351,800"
01/11/2024,"73.87","74.92","73.56","74.88","4,454,835"
01/10/2024,"72.97","73.64","72.74","73.35","2,562,522"
01/09/2024,"73.10","73.36","72.77","73.16","2,632,466"
01/08/2024,"73.00","73.72","72.74","73.69","2,863,227"
01/05/2024,"72.80","73.47","72.69","72.84","2,590,230"
01/04/2024,"73.78","74.29","73.51","73.59","2,100,889"
01/03/2024,"73.98","74.29","73.42","73.67","3,282,391"
01/02/2024,"75.28","75.36","73.99","74.40","4,277,811"
12/29/2023,"75.68","75.87","75.06","75.53","1,725,299"
12/28/2023,"75.68","76.10","75.50","75.84","1,440,399"
12/27/2023,"75.63","75.72","75.30","75.60","2,189,555"
12/26/2023,"75.15","75.51","74.68","75.47","1,801,767"
12/22/2023,"74.36","75.22","74.19","75.15","1,972,321"
12/21/2023,"74.58","74.77","73.63","74.16","3,214,924"
12/20/2023,"75.35","75.52","74.02","74.03","3,271,548"
12/19/2023,"75.40","75.93","74.92","75.43","5,067,753"
12/18/2023,"76.25","76.85","75.66","75.90","6,026,631"
12/15/2023,"75.20","76.64","75.00","76.17","9,195,762"
12/14/2023,"73.80","75.11","73.66","74.68","6,104,954"
12/13/2023,"72.24","73.21","71.72","73.18","5,279,329"
12/12/2023,"71.75","72.27","71.51","72.05","2,203,049"
12/11/2023,"70.54","71.86","70.41","71.68","4,844,258"
12/08/2023,"69.94","70.56","69.94","70.33","1,765,269"
12/07/2023,"70.41","70.55","69.94","70.42","2,748,959"
12/06/2023,"70.40","70.91","70.04","70.12","2,289,019"
12/05/2023,"70.84","71.04","69.89","70.13","2,832,947"
12/04/2023,"70.40","71.48","70.22","71.16","2,405,138"
12/01/2023,"70.23","70.87","70.08","70.82","2,672,566"
11/30/2023,"70.39","70.52","69.80","70.38","8,254,394"
11/29/2023,"71.60","71.80","69.90","70.12","3,521,683"
11/28/2023,"70.70","71.52","70.70","71.30","2,607,377"
11/27/2023,"70.95","71.30","70.76","70.77","2,769,476"
11/24/2023,"70.93","71.50","70.93","71.17","1,410,696"
11/22/2023,"70.49","71.26","70.49","70.88","2,432,649"
