Date,Open,High,Low,Close,Volume
02/20/2024,"54.38","54.70","53.95","54.36","3,113,440"
02/16/2024,"54.77","55.28","54.52","54.80","3,892,686"
02/15/2024,"54.29","55.41","54.29","54.68","3,048,066"
02/14/2024,"54.11","54.31","53.56","54.08","3,260,546"
02/13/2024,"54.58","54.99","53.35","53.63","3,525,696"
02/12/2024,"54.63","55.31","54.46","55.04","3,274,524"
02/09/2024,"53.04","53.91","52.88","53.60","2,929,850"
02/08/2024,"53.99","54.33","52.65","53.24","6,199,800"
02/07/2024,"52.34","54.19","52.34","54.07","7,010,021"
02/06/2024,"51.75","52.42","51.31","52.09","4,725,646"
02/05/2024,"52.50","52.50","51.66","51.80","5,824,337"
02/02/2024,"54.30","54.50","52.89","53.04","5,601,552"
02/01/2024,"56.49","57.76","52.36","54.06","12,192,920"
01/31/2024,"46.01","46.35","45.46","45.48","5,825,326"
01/30/2024,"45.62","46.15","45.58","45.83","2,948,235"
01/29/2024,"45.74","45.94","45.30","45.93","2,123,174"
01/26/2024,"45.66","45.94","45.25","45.86","3,226,219"
01/25/2024,"45.75","45.83","45.01","45.24","3,958,084"
01/24/2024,"45.61","45.67","44.91","45.41","2,454,386"
01/23/2024,"45.48","45.88","45.06","45.43","2,634,617"
01/22/2024,"45.17","45.56","44.80","44.97","4,708,172"
01/19/2024,"44.17","45.64","44.01","45.60","5,115,285"
01/18/2024,"44.69","44.74","44.07","44.41","4,040,154"
01/17/2024,"45.00","45.63","44.68","44.84","3,644,866"
01/16/2024,"46.03","46.05","45.26","45.49","5,702,897"
01/12/2024,"46.42","46.55","45.84","46.11","3,299,012"
01/11/2024,"46.26","46.57","45.83","46.03","4,007,918"
01/10/2024,"45.97","46.32","45.86","46.05","2,595,426"
01/09/2024,"46.69","46.75","46.00","46.51","3,042,765"
01/08/2024,"47.02","47.24","46.28","47.01","2,414,585"
01/05/2024,"47.60","47.76","46.92","47.33","2,773,793"
01/04/2024,"48.10","48.23","47.41","47.60","3,079,931"
01/03/2024,"48.28","48.47","47.85","48.08","3,469,255"
01/02/2024,"47.83","48.84","47.75","48.56","3,123,451"
12/29/2023,"47.96","48.23","47.52","47.92","2,120,301"
12/28/2023,"48.00","48.22","47.78","48.09","1,984,012"
12/27/2023,"47.88","48.33","47.61","47.98","1,856,550"
12/26/2023,"47.50","48.12","47.30","48.00","2,636,032"
12/22/2023,"47.46","47.70","47.19","47.46","2,657,609"
12/21/2023,"46.91","47.36","46.79","47.29","3,070,075"
12/20/2023,"47.78","47.88","46.46","46.59","4,518,491"
12/19/2023,"47.53","48.18","47.44","47.86","6,079,824"
12/18/2023,"46.88","47.40","46.40","47.18","7,038,486"
12/15/2023,"46.38","46.71","46.06","46.55","14,029,250"
12/14/2023,"45.92","47.52","45.92","46.54","7,659,571"
12/13/2023,"45.14","45.73","44.71","45.54","8,685,125"
12/12/2023,"45.66","45.66","44.72","44.81","4,052,538"
12/11/2023,"45.57","45.90","45.26","45.80","5,526,746"
12/08/2023,"44.62","45.32","44.50","45.15","5,691,408"
12/07/2023,"44.25","44.70","44.10","44.50","4,821,513"
12/06/2023,"44.09","44.60","43.98","44.15","3,746,258"
12/05/2023,"44.94","45.18","43.89","43.89","4,894,014"
12/04/2023,"45.90","46.22","45.17","45.22","5,222,785"
12/01/2023,"45.36","46.43","45.08","46.20","5,788,348"
11/30/2023,"45.46","45.55","45.02","45.20","7,518,615"
11/29/2023,"45.75","46.04","45.28","45.50","3,426,489"
11/28/2023,"45.65","46.28","45.30","45.50","4,426,926"
11/27/2023,"45.92","46.27","45.59","45.73","3,223,140"
11/24/2023,"46.20","47.30","46.09","46.67","1,411,366"
11/22/2023,"46.29","46.46","45.49","46.36","1,984,319"
