Date,Open,High,Low,Close,Volume
02/20/2024,"76.92","77.57","76.14","76.31","6,924,020"
02/16/2024,"76.75","77.45","76.35","77.10","8,242,877"
02/15/2024,"76.72","77.93","76.54","76.60","13,529,920"
02/14/2024,"76.76","77.54","76.04","76.41","9,769,242"
02/13/2024,"77.10","78.30","76.18","76.59","8,860,046"
02/12/2024,"76.00","78.02","75.61","77.29","11,201,510"
02/09/2024,"75.00","76.35","74.46","76.32","9,000,478"
02/08/2024,"75.86","75.87","74.57","75.08","12,115,610"
02/07/2024,"75.15","77.40","75.06","76.05","14,953,200"
02/06/2024,"72.44","74.17","72.44","73.76","11,663,180"
02/05/2024,"73.09","73.25","71.59","72.44","23,864,080"
02/02/2024,"74.00","74.35","73.02","73.09","10,539,910"
02/01/2024,"74.43","74.51","73.46","73.92","10,532,340"
01/31/2024,"74.32","74.99","73.84","74.37","8,678,662"
01/30/2024,"74.00","74.24","73.54","73.85","7,220,043"
01/29/2024,"72.92","73.64","72.86","73.48","10,291,730"
01/26/2024,"72.66","73.02","71.96","73.00","11,689,160"
01/25/2024,"71.50","72.38","70.19","71.99","27,493,910"
01/24/2024,"75.99","76.60","73.99","74.19","17,535,830"
01/23/2024,"73.99","75.12","73.93","75.10","7,168,836"
01/22/2024,"73.38","74.43","73.01","73.93","13,278,400"
01/19/2024,"73.25","73.59","72.73","73.22","16,165,390"
01/18/2024,"73.13","74.04","72.52","73.88","14,358,570"
01/17/2024,"77.13","77.64","76.73","76.99","7,922,197"
01/16/2024,"76.65","77.44","76.14","77.42","12,435,000"
01/12/2024,"77.60","78.28","75.75","76.56","15,458,430"
01/11/2024,"79.37","79.47","78.73","78.93","15,508,060"
01/10/2024,"80.05","80.33","78.72","79.24","11,833,170"
01/09/2024,"80.55","81.03","80.06","80.36","20,724,529"
01/08/2024,"82.25","83.25","78.85","80.68","22,172,840"
01/05/2024,"80.62","82.17","80.56","81.42","21,756,080"
01/04/2024,"80.25","80.92","78.67","80.51","22,085,600"
01/03/2024,"81.40","81.71","80.76","80.88","6,836,227"
01/02/2024,"78.90","81.41","78.90","80.85","8,780,138"
12/29/2023,"78.88","79.16","78.64","78.96","3,788,862"
12/28/2023,"78.74","79.39","78.61","78.97","3,877,645"
12/27/2023,"78.67","79.22","78.51","78.82","4,184,589"
12/26/2023,"78.63","79.26","78.50","79.00","4,069,018"
12/22/2023,"79.04","79.17","78.36","78.76","6,079,424"
12/21/2023,"77.60","78.76","77.53","78.62","9,138,904"
12/20/2023,"76.62","78.47","76.15","77.24","13,111,980"
12/19/2023,"74.91","76.43","74.55","76.26","9,035,389"
12/18/2023,"75.00","75.22","74.41","74.88","7,785,944"
12/15/2023,"73.66","74.62","73.04","74.43","12,916,090"
12/14/2023,"75.39","75.78","74.30","74.49","8,468,990"
12/13/2023,"73.65","75.38","73.50","75.29","9,012,690"
12/12/2023,"73.86","74.27","73.38","73.59","7,249,478"
12/11/2023,"75.30","75.53","73.72","73.76","8,336,219"
12/08/2023,"74.37","75.52","73.88","75.10","10,516,090"
12/07/2023,"73.97","75.08","73.48","74.01","11,383,390"
12/06/2023,"71.42","74.35","71.30","73.50","16,318,780"
12/05/2023,"70.18","71.77","69.73","71.02","14,773,720"
12/04/2023,"68.41","69.48","67.77","68.48","7,413,614"
12/01/2023,"67.91","68.64","67.37","68.48","7,094,672"
11/30/2023,"67.10","68.05","66.71","67.95","12,331,260"
11/29/2023,"68.74","68.91","66.85","66.90","9,856,309"
11/28/2023,"68.86","69.53","68.60","69.32","4,291,910"
11/27/2023,"69.37","69.62","68.62","68.74","6,334,283"
11/24/2023,"68.75","69.49","68.75","69.42","2,215,900"
11/22/2023,"68.34","69.23","68.34","69.14","4,421,860"
