Date,Open,High,Low,Close,Volume
02/20/2024,"155.47","155.61","153.83","154.00","6,977,945"
02/16/2024,"155.37","155.77","154.09","154.63","7,570,220"
02/15/2024,"149.91","155.09","149.67","154.46","8,950,304"
02/14/2024,"151.28","152.20","150.08","151.01","5,995,064"
02/13/2024,"152.62","153.07","149.61","150.60","6,987,058"
02/12/2024,"151.62","152.61","151.39","152.08","6,713,003"
02/09/2024,"154.42","155.32","150.98","151.04","9,194,458"
02/08/2024,"151.95","154.30","151.65","154.06","9,236,968"
02/07/2024,"153.02","153.78","151.17","152.13","6,252,041"
02/06/2024,"152.50","153.54","151.81","152.35","6,198,841"
02/05/2024,"151.62","153.51","150.79","152.33","8,277,776"
02/02/2024,"150.86","153.38","149.55","152.24","12,839,060"
02/01/2024,"148.19","149.02","146.52","147.89","8,138,669"
01/31/2024,"150.37","150.38","147.34","147.43","10,427,970"
01/30/2024,"148.18","150.31","147.71","150.12","9,902,881"
01/29/2024,"149.09","149.22","147.11","149.08","10,494,820"
01/26/2024,"148.03","149.26","146.98","149.14","9,151,896"
01/25/2024,"146.22","148.69","145.23","148.57","9,773,620"
01/24/2024,"142.70","144.98","142.22","144.92","8,100,014"
01/23/2024,"141.99","143.33","141.90","142.09","6,767,179"
01/22/2024,"141.91","142.66","140.92","142.49","9,184,626"
01/19/2024,"141.73","142.25","141.01","142.24","11,192,460"
01/18/2024,"143.00","143.19","139.62","141.82","11,187,840"
01/17/2024,"142.42","144.02","142.04","143.12","8,167,002"
01/16/2024,"146.52","146.58","143.58","143.69","9,380,352"
01/12/2024,"147.83","148.50","146.17","147.27","9,386,923"
01/11/2024,"145.56","146.17","144.62","145.28","8,612,493"
01/10/2024,"146.02","146.02","144.11","144.50","8,490,407"
01/09/2024,"149.95","149.95","145.59","145.70","11,784,670"
01/08/2024,"148.42","149.70","146.58","149.50","10,038,190"
01/05/2024,"151.98","152.03","149.83","150.40","7,455,430"
01/04/2024,"153.66","154.35","150.59","150.66","8,220,280"
01/03/2024,"149.39","153.19","148.68","152.33","10,255,280"
01/02/2024,"149.99","151.48","149.24","149.48","8,879,710"
12/29/2023,"150.03","150.23","148.67","149.16","7,658,638"
12/28/2023,"151.18","152.02","149.40","149.77","8,147,993"
12/27/2023,"152.27","152.97","151.34","151.91","5,337,244"
12/26/2023,"152.07","153.01","151.90","152.41","5,165,588"
12/22/2023,"151.74","152.39","150.75","151.05","6,396,080"
12/21/2023,"150.78","150.80","149.22","150.71","7,264,662"
12/20/2023,"152.15","153.06","150.06","150.25","9,369,987"
12/19/2023,"149.96","151.83","149.49","151.64","8,738,146"
12/18/2023,"150.83","152.12","149.32","149.68","11,561,720"
12/15/2023,"147.32","149.82","147.32","149.35","30,850,869"
12/14/2023,"145.85","149.93","145.85","149.93","14,960,480"
12/13/2023,"142.17","144.68","141.65","144.61","10,641,320"
12/12/2023,"143.17","143.59","141.75","142.50","9,863,867"
12/11/2023,"144.84","145.40","143.82","144.35","9,849,572"
12/08/2023,"143.51","144.67","143.12","144.31","10,821,740"
12/07/2023,"143.51","144.01","140.99","142.42","14,786,740"
12/06/2023,"141.90","144.03","141.35","142.53","18,079,680"
12/05/2023,"144.76","145.07","142.63","142.86","9,597,632"
12/04/2023,"144.00","145.70","143.25","144.87","11,842,830"
12/01/2023,"143.49","146.51","142.60","144.81","11,906,550"
11/30/2023,"144.98","146.01","142.03","143.60","16,275,960"
11/29/2023,"146.39","146.49","143.06","143.91","16,417,141"
11/28/2023,"144.78","146.52","144.06","145.51","9,746,540"
11/27/2023,"144.65","144.82","142.85","144.36","9,850,831"
11/24/2023,"144.30","145.94","144.20","144.90","3,861,030"
11/22/2023,"141.74","144.39","140.72","144.33","7,217,065"
