Date,Open,High,Low,Close,Volume
02/21/2024,"40.50","40.98","40.12","40.76","5,918,302"
02/20/2024,"39.97","40.89","39.84","40.60","8,190,879"
02/16/2024,"40.55","40.63","39.98","40.12","7,674,120"
02/15/2024,"41.19","41.42","40.80","41.00","7,291,490"
02/14/2024,"40.38","41.13","39.95","40.84","8,961,813"
02/13/2024,"39.84","40.10","39.36","40.01","8,855,311"
02/12/2024,"40.32","40.94","40.28","40.58","6,677,295"
02/09/2024,"40.52","40.87","39.96","40.51","7,769,372"
02/08/2024,"40.30","40.49","39.55","40.35","7,611,499"
02/07/2024,"40.31","40.42","39.79","40.21","6,543,996"
02/06/2024,"39.26","40.28","39.04","40.18","7,582,115"
02/05/2024,"39.44","39.55","38.96","39.24","7,931,933"
02/02/2024,"39.45","40.13","39.16","39.98","7,513,472"
02/01/2024,"39.41","39.81","38.61","39.76","9,865,532"
01/31/2024,"39.39","39.75","38.88","39.14","8,183,349"
01/30/2024,"39.59","40.03","39.41","39.52","6,610,800"
01/29/2024,"39.62","40.17","39.34","40.09","7,247,460"
01/26/2024,"40.26","40.57","39.59","39.63","8,126,635"
01/25/2024,"39.05","40.31","39.01","40.18","19,386,359"
01/24/2024,"38.40","38.70","38.03","38.19","9,694,902"
01/23/2024,"38.06","38.97","37.67","38.01","15,332,520"
01/22/2024,"37.66","38.18","36.98","36.98","11,661,660"
01/19/2024,"38.18","38.25","36.69","37.28","19,117,350"
01/18/2024,"37.30","38.28","37.15","38.09","13,540,760"
01/17/2024,"37.30","37.97","36.99","37.14","11,165,760"
01/16/2024,"38.14","38.19","36.34","37.47","27,511,580"
01/12/2024,"40.15","40.76","38.38","38.47","42,272,152"
01/11/2024,"41.85","42.37","41.48","42.26","10,485,180"
01/10/2024,"42.23","42.52","41.98","42.11","10,255,610"
01/09/2024,"41.40","42.39","41.29","42.32","11,893,970"
01/08/2024,"41.23","42.10","41.11","41.63","11,967,360"
01/05/2024,"39.15","40.75","39.06","40.54","11,060,000"
01/04/2024,"38.74","39.68","38.66","39.20","8,355,771"
01/03/2024,"39.66","39.80","38.67","38.74","11,846,180"
01/02/2024,"39.97","40.94","39.57","40.45","9,483,809"
12/29/2023,"40.53","40.66","39.98","40.23","8,624,237"
12/28/2023,"40.50","40.72","40.45","40.63","4,558,128"
12/27/2023,"40.72","40.88","40.40","40.59","4,486,394"
12/26/2023,"41.01","41.13","40.75","40.76","4,722,943"
12/22/2023,"41.06","41.28","40.89","41.13","6,838,950"
12/21/2023,"40.86","41.60","40.77","41.12","7,709,440"
12/20/2023,"40.77","41.43","40.27","40.34","9,695,096"
12/19/2023,"41.42","41.71","41.06","41.15","7,559,963"
12/18/2023,"42.00","42.18","41.10","41.18","8,624,007"
12/15/2023,"42.59","42.59","41.98","42.34","12,907,200"
12/14/2023,"41.53","42.70","41.49","42.44","14,530,830"
12/13/2023,"40.87","41.36","40.12","41.19","12,821,300"
12/12/2023,"40.52","41.46","40.52","41.24","8,448,884"
12/11/2023,"40.41","40.63","40.11","40.51","7,295,410"
12/08/2023,"40.26","40.74","39.86","40.35","8,728,373"
12/07/2023,"39.45","40.52","39.41","40.34","12,122,560"
12/06/2023,"38.24","39.52","38.13","38.94","12,499,670"
12/05/2023,"37.76","37.93","37.37","37.61","7,828,075"
12/04/2023,"38.00","38.66","37.71","38.16","9,760,018"
12/01/2023,"36.98","38.12","36.97","38.05","11,014,210"
11/30/2023,"36.71","37.23","36.19","36.93","11,392,790"
11/29/2023,"36.36","36.92","36.34","36.64","9,311,616"
11/28/2023,"35.91","36.13","35.46","36.04","7,810,171"
11/27/2023,"35.89","36.00","35.67","35.84","7,147,105"
11/24/2023,"36.16","36.33","35.95","36.10","4,392,637"
