Date,Open,High,Low,Close,Volume
02/22/2024,"70.72","71.91","70.47","71.79","1,403,520"
02/21/2024,"69.94","70.71","69.44","69.91","950,594"
02/20/2024,"72.37","72.69","71.27","71.54","1,051,018"
02/16/2024,"73.30","74.37","72.70","73.26","646,641"
02/15/2024,"73.07","73.87","72.15","73.69","1,156,316"
02/14/2024,"70.85","72.83","70.50","72.30","1,627,195"
02/13/2024,"71.03","71.87","69.82","70.21","1,328,913"
02/12/2024,"69.71","74.66","69.71","72.74","1,419,688"
02/09/2024,"70.02","70.72","68.36","70.69","1,305,128"
02/08/2024,"69.29","71.93","68.85","69.98","2,219,900"
02/07/2024,"68.00","69.35","63.13","69.31","6,407,993"
02/06/2024,"69.54","71.48","69.26","71.25","1,561,275"
02/05/2024,"70.73","71.49","68.93","69.36","1,243,496"
02/02/2024,"70.16","71.75","69.84","71.42","1,001,230"
02/01/2024,"69.38","71.76","68.03","69.94","980,512"
01/31/2024,"69.10","70.67","69.10","69.52","2,683,844"
01/30/2024,"68.80","69.96","68.46","69.45","1,620,430"
01/29/2024,"68.09","69.64","67.69","69.62","840,537"
01/26/2024,"68.66","69.29","67.55","68.20","1,080,036"
01/25/2024,"69.24","69.85","68.06","68.60","1,409,199"
01/24/2024,"70.19","70.49","68.26","68.67","1,422,178"
01/23/2024,"68.09","69.76","67.81","69.68","1,900,369"
01/22/2024,"66.89","67.90","66.67","67.82","1,781,789"
01/19/2024,"66.04","66.27","64.43","66.26","1,183,297"
01/18/2024,"65.70","65.74","64.06","65.63","1,045,590"
01/17/2024,"64.90","65.60","64.04","64.96","846,804"
01/16/2024,"64.62","65.65","63.93","65.49","1,044,498"
01/12/2024,"65.21","65.75","64.45","65.31","970,075"
01/11/2024,"65.36","65.63","64.05","64.88","915,898"
01/10/2024,"66.47","66.65","65.28","65.34","1,001,715"
01/09/2024,"65.08","66.15","64.64","65.87","1,359,539"
01/08/2024,"63.14","65.70","63.14","65.59","1,565,071"
01/05/2024,"63.46","64.64","63.10","63.15","1,128,112"
01/04/2024,"63.43","64.26","63.22","63.78","1,193,377"
01/03/2024,"65.10","65.31","63.64","63.66","1,507,282"
01/02/2024,"66.26","66.80","65.25","66.02","1,062,515"
12/29/2023,"67.68","68.17","67.02","67.12","702,638"
12/28/2023,"67.21","68.28","67.13","67.99","1,019,423"
12/27/2023,"67.46","67.59","66.43","67.24","1,414,652"
12/26/2023,"66.81","67.61","66.76","67.42","1,069,312"
12/22/2023,"67.71","67.91","66.38","66.96","1,062,943"
12/21/2023,"67.04","67.36","66.45","67.29","1,052,349"
12/20/2023,"67.65","68.17","66.56","66.58","1,259,518"
12/19/2023,"69.21","69.66","67.25","67.63","1,159,852"
12/18/2023,"68.52","68.75","67.74","68.64","1,211,398"
12/15/2023,"69.15","69.42","67.52","68.41","2,614,750"
12/14/2023,"70.19","71.78","68.92","69.42","1,614,421"
12/13/2023,"67.17","69.56","66.55","69.39","1,288,363"
12/12/2023,"68.08","68.08","66.65","67.15","1,275,072"
12/11/2023,"67.06","69.05","67.06","68.00","1,175,705"
12/08/2023,"66.28","67.71","65.96","67.17","1,300,140"
12/07/2023,"66.50","66.83","65.65","66.41","1,074,192"
12/06/2023,"67.57","68.11","66.20","66.36","1,170,833"
12/05/2023,"69.08","69.08","67.11","67.20","1,357,556"
12/04/2023,"69.60","70.05","68.70","69.52","1,161,989"
12/01/2023,"68.80","70.49","68.38","70.27","1,526,867"
11/30/2023,"69.56","69.56","67.47","68.90","1,901,008"
11/29/2023,"68.75","70.62","68.75","69.13","1,220,151"
11/28/2023,"67.00","68.20","66.45","67.75","1,790,464"
11/27/2023,"66.80","67.72","66.50","67.33","1,258,949"
11/24/2023,"67.81","67.81","67.02","67.22","606,359"
