Date,Open,High,Low,Close,Volume
02/20/2024,"359.50","360.69","355.08","357.38","1,973,770"
02/16/2024,"360.99","364.00","358.26","360.68","2,274,348"
02/15/2024,"367.10","372.00","360.77","364.66","4,933,780"
02/14/2024,"383.00","385.56","377.13","384.78","2,409,036"
02/13/2024,"384.63","385.40","375.51","379.27","1,765,241"
02/12/2024,"384.33","391.51","384.33","389.39","1,698,168"
02/09/2024,"384.17","385.67","380.45","381.29","1,426,496"
02/08/2024,"385.88","387.57","384.27","385.83","1,141,987"
02/07/2024,"390.43","391.83","385.62","385.95","1,671,472"
02/06/2024,"389.21","394.17","388.14","388.90","1,740,712"
02/05/2024,"392.00","393.64","383.16","386.03","2,164,068"
02/02/2024,"390.24","395.08","386.63","392.60","1,666,920"
02/01/2024,"395.08","397.20","389.52","393.68","1,485,631"
01/31/2024,"397.32","398.00","392.75","393.58","1,342,451"
01/30/2024,"395.14","398.77","394.41","396.93","1,098,288"
01/29/2024,"393.95","398.19","392.73","397.68","969,505"
01/26/2024,"393.78","396.72","393.07","393.62","884,867"
01/25/2024,"393.14","395.00","388.60","393.01","1,103,528"
01/24/2024,"389.94","393.17","386.40","388.41","1,447,765"
01/23/2024,"387.18","389.88","384.62","387.46","954,977"
01/22/2024,"381.96","387.13","381.59","384.59","1,113,633"
01/19/2024,"382.61","384.38","377.33","382.72","1,223,122"
01/18/2024,"379.10","381.76","376.22","381.39","1,125,947"
01/17/2024,"381.20","382.02","377.49","378.61","1,466,344"
01/16/2024,"385.75","389.35","384.00","385.35","1,292,917"
01/12/2024,"392.03","395.25","385.75","386.51","1,221,788"
01/11/2024,"394.84","395.89","389.94","390.22","1,190,633"
01/10/2024,"393.14","394.17","390.65","393.71","1,003,895"
01/09/2024,"395.71","396.85","390.01","393.22","1,012,452"
01/08/2024,"393.53","398.34","390.53","397.98","1,233,377"
01/05/2024,"390.43","397.23","388.06","395.96","1,100,346"
01/04/2024,"394.51","398.55","392.10","392.39","1,332,129"
01/03/2024,"396.62","397.60","393.26","393.35","1,397,639"
01/02/2024,"399.12","406.58","398.00","400.91","1,414,830"
12/29/2023,"399.48","400.75","397.76","399.87","1,104,338"
12/28/2023,"400.85","401.06","398.36","399.26","1,125,212"
12/27/2023,"400.12","402.55","399.30","401.64","823,667"
12/26/2023,"396.85","403.34","396.71","401.27","966,177"
12/22/2023,"393.30","397.76","393.10","396.82","1,077,338"
12/21/2023,"390.94","393.45","389.10","393.34","923,319"
12/20/2023,"394.16","395.44","386.92","387.26","1,592,340"
12/19/2023,"384.91","394.18","383.30","393.94","2,078,511"
12/18/2023,"386.83","389.64","382.69","382.76","1,404,594"
12/15/2023,"385.93","387.82","382.45","386.07","3,891,407"
12/14/2023,"381.24","395.33","380.14","388.42","3,575,951"
12/13/2023,"359.35","377.81","358.52","377.01","3,406,894"
12/12/2023,"360.95","361.37","355.60","359.39","1,832,114"
12/11/2023,"364.49","365.93","360.94","361.03","2,057,864"
12/08/2023,"361.80","364.17","360.87","363.67","2,060,489"
12/07/2023,"365.01","365.35","360.18","361.22","2,753,831"
12/06/2023,"363.02","369.88","362.50","365.54","3,218,320"
12/05/2023,"367.78","367.94","360.77","361.14","1,572,659"
12/04/2023,"365.48","370.37","364.03","368.93","1,406,019"
12/01/2023,"364.91","370.91","363.57","368.81","1,764,888"
11/30/2023,"364.63","367.14","361.39","364.41","1,950,212"
11/29/2023,"362.74","368.36","359.65","363.94","2,263,455"
11/28/2023,"362.00","363.85","358.76","360.02","1,904,781"
11/27/2023,"368.36","369.01","361.79","362.21","2,322,197"
11/24/2023,"370.52","371.39","366.84","370.19","1,275,270"
11/22/2023,"360.98","373.34","355.66","370.76","6,305,481"
