Date,Open,High,Low,Close,Volume
02/21/2024,"121.45","123.92","120.28","120.71","7,292,833"
02/20/2024,"123.50","127.34","121.10","124.42","22,451,051"
02/16/2024,"110.23","111.66","109.68","110.49","1,327,109"
02/15/2024,"109.95","110.77","109.50","110.72","1,515,688"
02/14/2024,"109.18","109.57","108.24","109.11","1,320,102"
02/13/2024,"108.42","108.92","107.10","108.39","1,533,751"
02/12/2024,"109.30","111.33","109.21","110.50","1,847,897"
02/09/2024,"108.78","109.44","108.03","109.18","1,066,575"
02/08/2024,"107.89","108.93","106.65","108.84","1,265,984"
02/07/2024,"106.00","106.47","104.08","106.28","1,735,242"
02/06/2024,"106.58","107.06","104.72","105.66","1,952,394"
02/05/2024,"105.77","107.24","105.67","106.63","1,553,908"
02/02/2024,"106.51","107.91","105.71","107.00","1,457,497"
02/01/2024,"105.84","106.90","104.52","106.56","2,062,452"
01/31/2024,"106.63","108.09","105.41","105.52","2,364,647"
01/30/2024,"105.70","108.66","105.70","108.24","1,954,354"
01/29/2024,"106.80","107.05","105.16","106.07","1,355,264"
01/26/2024,"104.24","107.09","103.91","106.92","2,732,608"
01/25/2024,"101.71","104.61","101.71","103.74","2,578,831"
01/24/2024,"100.88","101.56","99.79","101.22","2,116,682"
01/23/2024,"99.77","100.66","99.07","100.44","1,914,905"
01/22/2024,"97.75","102.06","97.70","99.65","3,380,205"
01/19/2024,"97.49","98.67","96.80","97.33","5,514,622"
01/18/2024,"101.04","104.65","96.46","97.00","11,214,530"
01/17/2024,"107.92","109.56","107.81","108.74","3,878,107"
01/16/2024,"108.54","109.69","107.74","109.66","2,427,764"
01/12/2024,"111.32","111.58","108.24","109.53","2,262,958"
01/11/2024,"110.82","111.33","109.07","111.23","1,740,716"
01/10/2024,"111.14","112.12","110.31","111.03","1,670,602"
01/09/2024,"111.58","111.91","110.98","111.42","1,084,108"
01/08/2024,"111.57","112.87","111.40","112.84","1,122,733"
01/05/2024,"109.79","112.99","109.29","111.85","1,649,722"
01/04/2024,"110.89","111.84","110.08","110.33","1,321,082"
01/03/2024,"113.00","113.17","109.94","110.74","1,260,966"
01/02/2024,"111.31","112.70","111.05","112.34","1,273,248"
12/29/2023,"112.80","113.42","112.08","112.40","919,043"
12/28/2023,"112.24","112.67","111.91","112.57","728,450"
12/27/2023,"111.50","112.30","111.25","112.24","743,187"
12/26/2023,"110.84","111.68","110.78","111.65","644,934"
12/22/2023,"111.60","111.91","110.53","110.99","825,393"
12/21/2023,"109.07","111.43","108.93","111.16","1,351,298"
12/20/2023,"110.29","110.73","107.56","107.62","1,847,810"
12/19/2023,"106.77","109.04","106.77","108.96","1,383,980"
12/18/2023,"106.79","107.25","106.22","106.85","1,822,098"
12/15/2023,"107.00","107.94","105.74","106.03","3,302,137"
12/14/2023,"106.32","108.25","106.00","107.72","3,461,778"
12/13/2023,"102.86","105.99","101.42","105.81","2,395,973"
12/12/2023,"103.18","104.27","102.71","102.74","1,799,446"
12/11/2023,"103.64","103.91","102.64","103.30","1,147,826"
12/08/2023,"102.25","104.28","102.02","103.30","1,648,521"
12/07/2023,"101.18","102.54","101.18","102.33","2,151,270"
12/06/2023,"101.89","105.31","100.45","100.70","4,275,907"
12/05/2023,"94.00","99.92","94.00","99.08","6,160,115"
12/04/2023,"94.71","95.96","93.83","94.74","2,024,123"
12/01/2023,"92.69","95.96","92.66","95.62","3,006,873"
11/30/2023,"89.68","93.45","89.58","93.00","5,697,925"
11/29/2023,"88.00","90.16","87.50","88.89","2,232,305"
11/28/2023,"85.44","87.55","85.37","87.22","1,349,812"
11/27/2023,"86.21","86.56","85.20","85.44","1,240,198"
11/24/2023,"86.73","87.10","86.32","86.77","314,565"
