Date,Open,High,Low,Close,Volume
02/21/2024,"142.50","142.92","141.04","141.72","1,571,597"
02/20/2024,"142.87","145.38","142.08","142.49","2,757,172"
02/16/2024,"137.31","144.71","137.08","141.50","4,853,932"
02/15/2024,"132.65","135.47","132.60","135.04","1,595,666"
02/14/2024,"131.60","132.20","130.32","132.00","1,879,238"
02/13/2024,"134.97","135.26","130.37","131.77","2,978,383"
02/12/2024,"135.59","137.00","134.69","136.14","2,435,459"
02/09/2024,"135.00","135.92","134.14","135.21","1,925,144"
02/08/2024,"135.31","136.95","135.08","135.65","1,441,067"
02/07/2024,"135.42","136.49","134.69","135.29","1,534,602"
02/06/2024,"133.39","134.83","133.25","134.31","1,462,549"
02/05/2024,"135.16","135.73","133.36","134.21","2,144,464"
02/02/2024,"135.36","136.60","134.33","136.16","1,797,320"
02/01/2024,"132.12","137.68","131.93","136.02","2,259,855"
01/31/2024,"132.84","133.84","131.88","132.07","1,803,716"
01/30/2024,"132.87","132.94","129.05","131.92","2,799,541"
01/29/2024,"133.02","134.09","132.08","133.69","2,488,685"
01/26/2024,"133.84","134.30","132.50","133.45","1,384,237"
01/25/2024,"132.09","133.43","128.76","132.88","2,097,838"
01/24/2024,"134.22","134.22","130.46","130.67","2,098,641"
01/23/2024,"135.45","136.06","132.46","134.02","1,851,102"
01/22/2024,"132.36","135.35","131.91","134.82","2,958,859"
01/19/2024,"135.80","136.03","131.19","132.22","3,372,226"
01/18/2024,"136.03","137.01","134.56","135.99","2,213,560"
01/17/2024,"137.00","139.86","136.30","137.16","2,232,511"
01/16/2024,"136.27","138.92","135.10","137.82","2,808,374"
01/12/2024,"133.51","135.01","133.03","134.64","1,874,001"
01/11/2024,"133.95","134.77","132.72","133.86","1,547,297"
01/10/2024,"135.92","137.34","133.91","134.06","2,370,099"
01/09/2024,"133.72","137.11","132.70","136.69","1,915,086"
01/08/2024,"133.45","136.00","132.53","134.22","1,755,219"
01/05/2024,"134.47","137.39","133.81","135.76","1,974,878"
01/04/2024,"133.37","136.52","132.06","134.76","2,650,682"
01/03/2024,"140.10","140.45","130.89","131.28","3,785,294"
01/02/2024,"136.77","141.66","136.15","140.43","3,386,579"
12/29/2023,"135.06","136.61","134.81","135.95","1,778,807"
12/28/2023,"134.46","136.44","134.24","135.55","1,679,077"
12/27/2023,"133.12","134.95","132.70","134.44","2,003,143"
12/26/2023,"132.17","133.85","131.39","133.06","2,099,492"
12/22/2023,"130.36","132.92","130.36","132.21","1,969,974"
12/21/2023,"130.11","131.07","128.58","130.09","1,678,759"
12/20/2023,"129.39","131.09","128.25","128.91","2,668,848"
12/19/2023,"126.55","130.06","126.35","130.02","3,063,711"
12/18/2023,"130.50","130.50","125.91","126.08","3,494,120"
12/15/2023,"130.99","130.99","129.35","129.98","7,373,249"
12/14/2023,"131.97","133.25","128.51","131.02","4,581,488"
12/13/2023,"123.61","130.37","122.50","130.34","3,857,036"
12/12/2023,"125.66","125.66","122.64","124.03","2,603,140"
12/11/2023,"128.14","130.10","123.67","125.81","3,828,773"
12/08/2023,"133.01","135.13","125.78","127.22","6,688,719"
12/07/2023,"139.19","139.79","130.74","132.30","8,273,948"
12/06/2023,"133.79","135.22","131.92","133.92","4,109,722"
12/05/2023,"135.17","135.32","132.94","133.39","2,231,468"
12/04/2023,"134.46","136.57","134.12","134.83","2,761,142"
12/01/2023,"130.67","134.81","130.29","134.69","2,860,159"
11/30/2023,"129.29","131.45","128.43","131.12","5,372,394"
11/29/2023,"127.62","130.75","127.62","128.88","3,114,976"
11/28/2023,"125.67","128.29","125.09","127.50","2,739,244"
11/27/2023,"125.44","126.53","124.76","125.68","2,098,132"
11/24/2023,"124.71","126.18","124.35","125.48","1,042,576"
