Date,Open,High,Low,Close,Volume
02/16/2024,"125.68","126.22","123.81","124.00","1,397,279"
02/15/2024,"128.00","128.90","125.27","125.73","1,231,785"
02/14/2024,"127.87","128.70","126.91","127.72","801,068"
02/13/2024,"130.02","130.73","127.22","127.86","791,493"
02/12/2024,"126.48","130.15","126.14","130.01","1,011,298"
02/09/2024,"126.51","127.60","125.92","126.74","621,259"
02/08/2024,"126.75","127.22","125.21","126.54","1,003,351"
02/07/2024,"128.00","129.37","126.71","127.42","1,194,664"
02/06/2024,"124.00","126.81","123.73","126.26","1,942,731"
02/05/2024,"124.67","124.88","123.18","123.78","1,380,152"
02/02/2024,"126.46","127.13","123.82","125.00","1,276,803"
02/01/2024,"124.05","129.60","123.04","127.17","2,505,744"
01/31/2024,"129.42","129.95","128.20","128.43","1,712,932"
01/30/2024,"129.61","129.86","128.43","128.83","896,441"
01/29/2024,"129.90","129.95","128.83","129.34","911,204"
01/26/2024,"131.00","131.77","129.75","130.44","965,977"
01/25/2024,"127.32","130.88","127.30","130.15","1,853,625"
01/24/2024,"129.80","130.59","127.67","127.76","1,707,306"
01/23/2024,"131.04","131.04","129.23","129.78","1,194,525"
01/22/2024,"132.71","132.96","130.25","130.71","986,250"
01/19/2024,"134.36","134.38","131.66","132.57","945,151"
01/18/2024,"132.76","134.64","132.17","134.23","710,002"
01/17/2024,"133.68","135.52","133.59","133.72","794,401"
01/16/2024,"134.12","134.98","133.28","133.85","887,084"
01/12/2024,"135.60","136.24","133.84","135.30","1,008,690"
01/11/2024,"137.10","137.42","135.30","135.77","1,145,836"
01/10/2024,"142.79","142.79","135.25","137.10","2,141,306"
01/09/2024,"142.00","142.92","140.98","142.11","668,676"
01/08/2024,"141.92","142.09","139.60","141.60","852,005"
01/05/2024,"140.95","142.39","139.78","141.98","930,556"
01/04/2024,"139.91","140.86","139.54","140.56","880,889"
01/03/2024,"140.93","141.18","139.25","139.68","1,039,672"
01/02/2024,"138.13","143.63","138.13","140.82","1,045,394"
12/29/2023,"137.34","138.00","137.03","137.88","416,066"
12/28/2023,"137.86","138.57","137.50","137.66","434,813"
12/27/2023,"136.58","137.59","135.96","137.58","648,593"
12/26/2023,"136.29","137.13","135.95","136.76","467,053"
12/22/2023,"136.70","137.21","136.11","136.74","408,110"
12/21/2023,"135.19","136.12","134.55","136.04","668,402"
12/20/2023,"136.69","136.69","134.69","134.77","717,914"
12/19/2023,"136.05","136.85","134.62","136.45","898,703"
12/18/2023,"135.78","136.69","135.04","135.82","684,716"
12/15/2023,"136.31","137.17","134.65","135.03","1,806,923"
12/14/2023,"141.99","141.99","136.07","137.26","2,076,233"
12/13/2023,"140.11","141.12","139.50","141.12","1,077,941"
12/12/2023,"139.50","141.25","138.65","139.41","986,257"
12/11/2023,"136.30","137.09","135.15","136.94","786,852"
12/08/2023,"135.43","136.24","135.19","135.91","719,326"
12/07/2023,"135.72","135.76","134.32","135.22","882,991"
12/06/2023,"134.66","135.46","134.07","134.92","787,718"
12/05/2023,"137.27","137.27","134.84","134.89","750,789"
12/04/2023,"136.02","137.61","135.85","137.49","871,010"
12/01/2023,"137.35","137.38","135.91","136.17","1,151,396"
11/30/2023,"135.52","137.32","134.63","137.23","1,291,716"
11/29/2023,"135.53","136.61","134.96","135.27","583,215"
11/28/2023,"135.56","136.62","134.28","135.72","804,129"
11/27/2023,"135.54","136.38","134.51","135.31","829,922"
11/24/2023,"135.89","135.89","134.84","135.54","379,400"
11/22/2023,"134.77","136.03","134.77","135.75","658,104"
11/21/2023,"135.24","135.58","134.19","134.32","1,080,466"
