Date,Open,High,Low,Close,Volume
02/20/2024,"248.66","250.79","246.82","247.77","1,982,829"
02/16/2024,"248.81","252.33","248.28","250.00","2,152,228"
02/15/2024,"247.54","251.70","247.54","248.96","2,360,909"
02/14/2024,"243.02","248.47","242.33","247.99","2,838,159"
02/13/2024,"244.98","246.20","238.40","241.53","2,189,441"
02/12/2024,"243.76","247.08","241.69","246.83","2,284,798"
02/09/2024,"245.00","247.25","242.88","242.95","2,538,307"
02/08/2024,"246.45","246.80","244.08","245.87","1,774,371"
02/07/2024,"247.92","249.89","246.23","246.64","2,300,774"
02/06/2024,"245.69","248.46","244.42","248.20","2,443,075"
02/05/2024,"244.86","249.23","243.10","245.82","2,644,300"
02/02/2024,"244.00","247.87","242.15","246.33","2,819,515"
02/01/2024,"239.36","245.30","238.71","245.13","2,711,813"
01/31/2024,"245.60","248.78","239.60","239.91","5,077,184"
01/30/2024,"244.05","245.40","238.46","244.95","6,158,398"
01/29/2024,"232.92","234.02","231.15","233.93","3,127,698"
01/26/2024,"236.54","240.58","232.87","233.00","6,344,057"
01/25/2024,"231.33","232.11","226.62","227.39","3,468,292"
01/24/2024,"230.73","232.89","228.43","228.61","2,106,306"
01/23/2024,"233.10","233.25","230.53","232.10","1,890,207"
01/22/2024,"230.77","233.27","228.78","231.97","2,276,221"
01/19/2024,"226.59","231.67","224.73","231.05","3,258,230"
01/18/2024,"223.70","227.49","222.53","226.31","2,867,390"
01/17/2024,"225.54","229.14","223.48","224.58","2,225,783"
01/16/2024,"225.00","229.59","224.81","226.75","3,267,506"
01/12/2024,"228.77","229.51","224.73","225.24","2,795,459"
01/11/2024,"228.97","229.60","226.20","227.96","2,440,559"
01/10/2024,"230.56","231.08","226.40","229.64","3,334,484"
01/09/2024,"234.22","241.55","226.51","230.87","5,255,763"
01/08/2024,"228.91","235.11","228.25","234.86","3,123,179"
01/05/2024,"230.88","233.04","229.03","230.29","2,236,744"
01/04/2024,"230.34","233.25","230.00","232.62","2,719,355"
01/03/2024,"235.35","235.53","229.89","230.81","2,425,213"
01/02/2024,"229.86","235.25","228.87","234.79","2,763,967"
12/29/2023,"232.64","233.85","230.91","231.34","1,407,659"
12/28/2023,"234.00","234.22","232.57","233.13","1,501,907"
12/27/2023,"231.50","233.73","231.32","232.86","1,683,383"
12/26/2023,"230.08","232.22","229.51","231.40","1,461,870"
12/22/2023,"231.63","232.72","228.38","230.36","1,577,024"
12/21/2023,"228.50","231.17","228.00","230.35","1,743,828"
12/20/2023,"229.09","232.35","226.70","226.81","2,676,619"
12/19/2023,"227.21","229.20","225.73","229.14","3,087,048"
12/18/2023,"228.09","229.80","226.25","226.45","2,307,919"
12/15/2023,"229.79","229.91","225.48","227.23","7,886,284"
12/14/2023,"230.77","232.75","226.58","229.25","5,922,483"
12/13/2023,"220.00","226.86","219.15","226.86","3,749,705"
12/12/2023,"221.97","222.05","218.48","219.75","2,892,218"
12/11/2023,"218.07","221.70","217.96","221.35","2,591,533"
12/08/2023,"219.00","220.00","215.68","217.49","2,527,540"
12/07/2023,"217.00","220.07","216.88","218.92","2,767,481"
12/06/2023,"219.90","221.66","219.39","220.76","1,909,602"
12/05/2023,"221.32","221.32","217.07","219.44","2,674,426"
12/04/2023,"222.00","222.85","219.66","222.13","2,246,858"
12/01/2023,"222.40","223.79","220.52","223.48","3,134,072"
11/30/2023,"222.93","223.52","219.67","223.31","3,543,560"
11/29/2023,"220.80","225.36","220.41","222.52","2,240,161"
11/28/2023,"219.63","220.42","216.76","218.76","1,911,557"
11/27/2023,"220.50","221.98","218.93","220.00","2,048,896"
11/24/2023,"220.98","222.38","220.59","221.41","1,276,492"
11/22/2023,"218.92","221.91","218.92","221.30","3,727,297"
