Date,Open,High,Low,Close,Volume
02/20/2024,"136.01","137.57","133.86","135.06","3,411,474"
02/16/2024,"140.00","140.86","134.75","136.22","6,572,651"
02/15/2024,"143.02","149.07","143.02","148.61","3,125,925"
02/14/2024,"141.87","142.93","140.60","142.23","1,645,847"
02/13/2024,"140.65","142.27","139.38","142.17","1,995,134"
02/12/2024,"147.58","148.09","143.57","143.80","2,127,505"
02/09/2024,"146.84","147.94","145.54","147.19","1,223,297"
02/08/2024,"144.83","148.00","144.83","147.06","1,840,280"
02/07/2024,"145.06","145.77","143.31","145.47","1,341,723"
02/06/2024,"144.14","146.20","143.38","144.26","1,789,404"
02/05/2024,"142.95","145.11","142.59","144.30","2,042,265"
02/02/2024,"142.63","145.40","140.20","144.49","2,052,606"
02/01/2024,"140.16","143.96","139.44","143.85","2,550,622"
01/31/2024,"145.00","145.00","140.07","140.46","2,892,139"
01/30/2024,"145.50","145.95","144.04","144.22","3,044,878"
01/29/2024,"142.83","146.19","142.83","145.97","2,229,625"
01/26/2024,"142.87","144.62","142.06","143.20","1,917,094"
01/25/2024,"140.00","143.30","139.87","142.19","2,152,437"
01/24/2024,"140.63","140.63","137.53","137.93","1,541,809"
01/23/2024,"140.97","141.25","138.35","139.02","1,423,694"
01/22/2024,"138.57","142.68","138.57","140.58","2,385,193"
01/19/2024,"135.08","137.76","134.53","137.34","1,791,310"
01/18/2024,"135.74","136.70","133.90","134.54","1,542,724"
01/17/2024,"136.93","138.54","133.81","135.56","1,782,664"
01/16/2024,"136.94","139.86","136.94","138.68","2,537,776"
01/12/2024,"135.63","138.27","135.31","137.08","1,631,901"
01/11/2024,"136.07","136.99","133.94","134.00","982,301"
01/10/2024,"134.00","136.96","133.28","136.53","1,492,550"
01/09/2024,"132.57","133.88","131.63","133.62","875,631"
01/08/2024,"130.47","134.07","130.28","133.70","1,251,067"
01/05/2024,"130.88","132.91","130.00","130.83","1,444,118"
01/04/2024,"133.10","134.13","131.57","131.78","1,470,959"
01/03/2024,"134.21","134.57","132.32","133.51","1,680,755"
01/02/2024,"134.00","135.50","133.78","135.23","1,299,968"
12/29/2023,"134.83","136.00","134.47","134.58","1,499,532"
12/28/2023,"136.10","136.45","135.24","136.12","944,592"
12/27/2023,"135.47","136.44","135.24","136.11","975,734"
12/26/2023,"135.19","135.78","134.93","135.58","1,218,212"
12/22/2023,"135.36","136.09","134.16","135.12","1,094,242"
12/21/2023,"134.13","134.99","132.91","134.91","1,237,215"
12/20/2023,"134.13","135.09","132.68","132.74","1,613,373"
12/19/2023,"133.00","135.28","132.84","134.54","2,072,252"
12/18/2023,"132.50","134.49","131.92","132.32","2,117,747"
12/15/2023,"131.62","134.44","130.76","132.17","5,289,695"
12/14/2023,"137.42","137.93","131.76","132.93","2,746,524"
12/13/2023,"135.00","138.04","134.10","136.67","2,564,925"
12/12/2023,"134.68","135.65","133.58","134.97","2,572,133"
12/11/2023,"134.00","134.91","132.57","134.75","2,053,931"
12/08/2023,"136.32","137.25","132.91","134.81","2,857,360"
12/07/2023,"135.39","135.79","133.65","134.03","2,913,801"
12/06/2023,"138.56","139.20","135.30","135.48","2,497,337"
12/05/2023,"137.56","138.95","136.99","138.68","1,787,353"
12/04/2023,"137.68","138.08","135.96","137.77","2,163,806"
12/01/2023,"137.32","139.35","135.80","138.61","2,457,399"
11/30/2023,"137.84","139.00","136.87","138.78","4,633,443"
11/29/2023,"137.99","138.93","137.20","138.20","1,878,738"
11/28/2023,"136.78","137.72","136.50","136.90","1,826,150"
11/27/2023,"136.83","137.87","136.19","137.45","1,303,667"
11/24/2023,"136.03","137.00","135.48","136.50","585,945"
11/22/2023,"137.57","138.00","136.22","136.83","1,397,040"
