Date,Open,High,Low,Close,Volume
02/21/2024,"146.28","146.50","145.03","145.43","2,315,995"
02/20/2024,"144.62","146.47","144.30","146.29","3,175,709"
02/16/2024,"141.72","145.46","141.41","143.37","2,642,911"
02/15/2024,"140.79","144.15","140.36","142.15","1,628,735"
02/14/2024,"140.55","140.87","138.40","139.88","1,465,962"
02/13/2024,"141.95","141.95","138.23","139.81","1,482,351"
02/12/2024,"139.50","143.14","139.00","142.83","1,726,534"
02/09/2024,"140.24","140.73","139.17","139.50","2,491,652"
02/08/2024,"139.99","142.82","139.47","140.90","1,820,033"
02/07/2024,"140.32","141.33","139.48","139.83","2,677,239"
02/06/2024,"136.72","138.71","135.74","137.77","1,215,267"
02/05/2024,"137.80","139.36","135.63","137.16","1,944,809"
02/02/2024,"135.00","138.97","133.93","138.71","2,452,534"
02/01/2024,"131.31","136.09","130.86","135.63","1,657,432"
01/31/2024,"131.80","132.70","130.61","130.62","1,503,277"
01/30/2024,"133.50","133.50","130.81","131.30","2,536,930"
01/29/2024,"136.47","137.13","132.90","133.79","4,050,208"
01/26/2024,"131.89","133.92","131.80","132.73","1,770,980"
01/25/2024,"131.83","132.44","129.51","132.23","2,620,281"
01/24/2024,"131.54","131.54","129.53","130.16","2,327,010"
01/23/2024,"132.01","132.64","130.42","131.40","1,759,949"
01/22/2024,"130.73","131.86","128.77","131.02","1,804,065"
01/19/2024,"132.52","132.52","129.22","130.48","2,656,958"
01/18/2024,"135.00","135.00","131.01","132.51","3,397,124"
01/17/2024,"135.06","135.88","134.04","135.40","1,986,323"
01/16/2024,"135.30","136.02","133.98","135.96","2,341,849"
01/12/2024,"135.72","136.38","134.19","135.76","1,417,336"
01/11/2024,"137.62","137.62","135.12","135.22","2,420,560"
01/10/2024,"137.87","139.10","137.08","137.62","1,759,472"
01/09/2024,"136.00","138.23","135.37","138.04","2,810,462"
01/08/2024,"135.59","138.06","135.00","137.57","1,578,757"
01/05/2024,"135.90","137.79","135.25","136.29","1,649,288"
01/04/2024,"137.00","137.75","135.85","136.18","2,105,029"
01/03/2024,"141.58","141.83","136.62","136.72","2,382,423"
01/02/2024,"142.23","145.09","142.13","142.54","2,660,960"
12/29/2023,"142.24","142.90","141.01","142.05","1,252,041"
12/28/2023,"141.50","142.88","141.21","142.29","1,367,815"
12/27/2023,"140.10","142.71","140.08","141.84","1,766,827"
12/26/2023,"137.29","140.56","137.10","140.01","1,631,481"
12/22/2023,"135.69","137.13","135.34","136.56","1,937,432"
12/21/2023,"135.58","136.11","132.83","134.33","2,031,723"
12/20/2023,"132.52","135.72","131.80","134.41","3,823,166"
12/19/2023,"131.23","133.84","130.93","133.60","2,405,427"
12/18/2023,"131.35","131.35","130.13","130.40","2,188,816"
12/15/2023,"129.84","131.68","128.92","130.81","5,612,455"
12/14/2023,"131.56","132.76","129.00","129.84","1,986,498"
12/13/2023,"127.32","130.62","126.20","130.48","1,219,960"
12/12/2023,"126.58","127.18","125.56","126.95","1,777,703"
12/11/2023,"126.24","127.31","125.60","126.67","2,721,224"
12/08/2023,"126.28","127.26","124.35","124.41","1,580,432"
12/07/2023,"127.17","127.90","124.11","126.74","1,889,356"
12/06/2023,"128.86","128.86","125.41","126.03","2,195,584"
12/05/2023,"128.02","129.45","127.27","127.76","1,641,545"
12/04/2023,"125.43","128.52","125.23","128.22","2,441,201"
12/01/2023,"123.44","126.39","122.82","126.15","2,400,259"
11/30/2023,"121.80","124.21","120.72","123.59","3,691,319"
11/29/2023,"117.33","122.13","116.58","121.12","5,634,731"
11/28/2023,"116.44","117.29","115.01","116.04","4,024,939"
11/27/2023,"117.00","117.95","115.90","116.35","2,772,113"
11/24/2023,"115.30","117.64","115.03","117.32","1,039,399"
