Date,Open,High,Low,Close,Volume
02/16/2024,"162.52","164.09","161.17","161.46","802,047"
02/15/2024,"161.45","163.03","161.02","162.64","775,048"
02/14/2024,"161.04","161.97","159.23","160.89","748,944"
02/13/2024,"159.75","160.05","158.29","159.83","870,047"
02/12/2024,"160.35","162.18","159.90","161.97","1,032,547"
02/09/2024,"160.21","160.93","159.36","160.53","1,021,009"
02/08/2024,"160.49","161.00","158.19","160.11","1,036,480"
02/07/2024,"162.00","162.48","160.08","160.47","1,198,603"
02/06/2024,"159.96","161.19","159.50","160.82","1,283,416"
02/05/2024,"158.85","160.48","156.59","159.99","1,917,954"
02/02/2024,"156.00","159.39","156.00","158.75","1,406,980"
02/01/2024,"151.87","156.69","148.45","156.55","2,116,720"
01/31/2024,"151.74","152.33","149.74","149.78","1,774,996"
01/30/2024,"151.76","152.22","151.08","151.48","784,524"
01/29/2024,"149.36","151.80","149.19","151.76","788,363"
01/26/2024,"150.10","151.34","149.23","149.94","550,503"
01/25/2024,"149.12","150.07","148.60","149.96","857,984"
01/24/2024,"151.85","151.99","147.98","148.01","772,784"
01/23/2024,"149.48","150.73","148.47","150.69","1,050,094"
01/22/2024,"148.91","150.25","148.36","148.46","598,842"
01/19/2024,"146.95","148.57","145.87","148.09","524,330"
01/18/2024,"144.63","146.99","144.63","146.77","531,852"
01/17/2024,"144.55","146.16","143.97","144.44","609,988"
01/16/2024,"146.23","146.45","144.58","146.21","1,074,188"
01/12/2024,"148.57","148.65","146.47","147.14","575,569"
01/11/2024,"147.31","147.78","145.69","147.33","1,055,261"
01/10/2024,"147.95","148.35","146.32","147.17","633,195"
01/09/2024,"146.91","147.78","145.73","147.58","905,943"
01/08/2024,"146.56","148.34","145.84","148.23","1,012,800"
01/05/2024,"147.50","148.37","146.85","147.49","878,516"
01/04/2024,"148.70","149.38","147.94","148.10","873,385"
01/03/2024,"150.33","150.40","147.69","148.33","844,816"
01/02/2024,"153.17","154.05","150.98","151.52","695,371"
12/29/2023,"153.56","154.39","153.02","153.81","623,940"
12/28/2023,"154.34","154.65","153.51","154.16","529,487"
12/27/2023,"154.86","154.96","153.68","154.16","441,252"
12/26/2023,"153.16","154.92","153.07","154.64","452,643"
12/22/2023,"153.00","153.80","152.07","152.94","443,511"
12/21/2023,"152.15","152.71","151.16","152.48","442,110"
12/20/2023,"153.00","154.39","150.80","150.98","722,018"
12/19/2023,"152.47","153.72","151.95","153.30","761,690"
12/18/2023,"152.75","152.77","150.85","151.80","632,279"
12/15/2023,"153.96","155.04","151.49","152.20","1,374,269"
12/14/2023,"148.88","155.85","148.58","155.29","1,380,307"
12/13/2023,"145.38","147.87","144.00","147.30","740,254"
12/12/2023,"145.80","145.96","145.13","145.49","438,402"
12/11/2023,"143.56","145.78","143.53","145.31","535,047"
12/08/2023,"143.79","145.12","143.31","143.62","991,035"
12/07/2023,"143.60","143.78","142.44","143.69","782,051"
12/06/2023,"142.09","144.71","142.09","143.21","565,192"
12/05/2023,"143.05","143.27","141.18","141.36","680,492"
12/04/2023,"142.02","143.57","141.68","143.43","726,487"
12/01/2023,"141.58","143.36","141.15","143.21","863,636"
11/30/2023,"141.50","142.24","139.93","141.16","1,080,077"
11/29/2023,"140.96","142.14","140.44","140.77","749,706"
11/28/2023,"138.87","140.82","137.73","140.09","1,071,447"
11/27/2023,"138.82","139.79","137.96","139.04","515,755"
11/24/2023,"138.40","139.71","138.25","139.69","264,933"
11/22/2023,"138.86","139.39","138.10","138.56","546,449"
11/21/2023,"137.86","139.04","137.38","138.48","758,724"
