Date,Open,High,Low,Close,Volume
02/16/2024,"423.67","427.90","421.55","421.85","406,430"
02/15/2024,"425.19","428.51","422.24","424.72","370,092"
02/14/2024,"423.73","424.72","417.64","424.48","482,963"
02/13/2024,"421.96","425.59","418.64","421.50","411,190"
02/12/2024,"425.09","429.00","424.83","427.29","385,444"
02/09/2024,"426.00","427.55","424.45","425.09","391,540"
02/08/2024,"424.58","431.47","423.01","426.58","540,356"
02/07/2024,"421.63","427.90","418.44","421.95","527,118"
02/06/2024,"416.36","424.98","413.56","421.58","594,213"
02/05/2024,"420.69","422.42","414.29","418.05","504,894"
02/02/2024,"430.64","430.64","421.44","422.06","637,615"
02/01/2024,"427.88","433.84","426.35","433.53","413,790"
01/31/2024,"436.13","436.13","424.47","426.22","436,734"
01/30/2024,"433.42","439.16","432.95","434.74","557,964"
01/29/2024,"420.43","433.73","419.07","433.44","619,486"
01/26/2024,"418.19","420.78","416.55","419.12","351,857"
01/25/2024,"421.00","421.02","412.84","418.08","489,461"
01/24/2024,"428.04","429.45","420.24","421.77","415,596"
01/23/2024,"428.93","430.76","423.62","425.71","406,134"
01/22/2024,"426.77","430.38","425.32","428.01","488,566"
01/19/2024,"428.30","428.41","421.96","426.77","500,959"
01/18/2024,"426.65","432.49","421.58","425.93","603,916"
01/17/2024,"422.89","427.79","420.75","422.40","528,622"
01/16/2024,"414.27","425.97","412.71","425.94","705,507"
01/12/2024,"413.97","413.97","406.96","411.30","359,762"
01/11/2024,"414.78","414.78","408.15","411.80","313,438"
01/10/2024,"410.51","414.26","406.79","414.13","447,841"
01/09/2024,"401.57","412.10","400.27","410.14","541,153"
01/08/2024,"402.23","404.40","395.08","402.69","690,399"
01/05/2024,"400.01","404.55","399.63","400.03","520,031"
01/04/2024,"400.88","404.95","399.42","401.27","525,029"
01/03/2024,"412.88","413.47","400.38","400.46","612,693"
01/02/2024,"408.90","414.78","408.25","413.14","546,379"
12/29/2023,"411.24","414.27","409.55","412.23","361,128"
12/28/2023,"412.74","414.00","410.91","411.21","226,164"
12/27/2023,"411.50","414.15","408.77","413.85","264,016"
12/26/2023,"408.46","412.51","408.46","411.34","307,393"
12/22/2023,"409.00","412.50","407.87","409.84","382,706"
12/21/2023,"406.51","409.60","403.28","408.80","366,509"
12/20/2023,"406.55","411.21","403.07","403.25","445,473"
12/19/2023,"406.00","410.52","403.89","406.55","444,822"
12/18/2023,"402.85","405.38","399.17","403.04","563,652"
12/15/2023,"399.39","401.81","395.93","400.05","1,381,776"
12/14/2023,"405.00","407.89","400.08","402.85","670,501"
12/13/2023,"394.00","404.85","393.00","402.80","518,536"
12/12/2023,"398.99","399.00","393.97","396.81","489,468"
12/11/2023,"393.01","399.14","392.62","397.48","655,482"
12/08/2023,"400.77","401.70","392.52","394.90","653,129"
12/07/2023,"394.53","415.81","393.00","402.00","1,153,605"
12/06/2023,"395.62","395.86","390.48","392.54","536,593"
12/05/2023,"399.25","401.54","393.50","394.05","471,501"
12/04/2023,"395.28","404.68","395.28","399.82","751,159"
12/01/2023,"392.87","397.60","388.87","397.18","559,135"
11/30/2023,"388.67","394.74","386.88","392.89","901,103"
11/29/2023,"390.98","392.87","387.51","388.86","595,796"
11/28/2023,"387.07","388.76","383.05","388.27","702,754"
11/27/2023,"370.71","389.23","370.18","387.07","1,311,962"
11/24/2023,"368.71","371.14","367.24","370.32","216,710"
11/22/2023,"369.95","372.58","368.64","369.49","309,111"
11/21/2023,"367.84","371.16","367.80","369.31","417,886"
