Date,Open,High,Low,Close,Volume
02/16/2024,"107.18","108.59","106.95","107.80","1,273,308"
02/15/2024,"105.89","107.81","105.89","107.77","1,231,853"
02/14/2024,"104.45","105.95","104.23","105.33","1,273,571"
02/13/2024,"105.67","106.07","103.12","104.38","1,697,639"
02/12/2024,"104.51","106.72","104.17","106.38","1,459,768"
02/09/2024,"104.20","104.67","103.14","104.41","1,118,566"
02/08/2024,"105.00","106.48","102.78","104.23","1,847,800"
02/07/2024,"104.50","105.81","103.98","105.22","1,692,877"
02/06/2024,"103.63","104.42","103.12","104.21","1,068,038"
02/05/2024,"104.06","105.14","103.26","103.92","1,395,714"
02/02/2024,"106.44","106.54","104.27","105.08","1,437,356"
02/01/2024,"104.82","107.51","104.23","107.47","1,316,704"
01/31/2024,"105.79","106.47","104.55","105.42","1,533,680"
01/30/2024,"103.48","105.70","103.07","104.56","1,614,814"
01/29/2024,"103.58","104.23","102.93","103.84","1,566,411"
01/26/2024,"104.30","104.34","103.23","103.59","1,165,306"
01/25/2024,"103.58","104.05","102.50","103.80","1,458,175"
01/24/2024,"105.31","105.31","102.17","102.36","1,491,924"
01/23/2024,"103.89","104.49","103.23","104.47","765,604"
01/22/2024,"104.23","105.43","103.27","103.90","849,003"
01/19/2024,"105.28","105.56","103.96","104.52","1,016,879"
01/18/2024,"105.02","105.32","104.00","104.85","785,977"
01/17/2024,"106.94","108.29","105.37","105.71","760,908"
01/16/2024,"107.55","108.09","106.83","107.60","1,332,396"
01/12/2024,"108.82","109.01","107.98","108.85","827,307"
01/11/2024,"110.46","110.46","107.61","108.02","519,569"
01/10/2024,"110.76","111.32","110.45","110.83","676,087"
01/09/2024,"111.11","111.56","110.60","110.95","652,905"
01/08/2024,"109.96","111.64","109.70","111.52","787,495"
01/05/2024,"110.17","111.13","109.87","110.65","985,647"
01/04/2024,"111.29","111.64","110.29","110.53","1,016,300"
01/03/2024,"112.05","112.05","110.51","110.98","1,308,140"
01/02/2024,"109.84","112.06","109.77","111.76","954,243"
12/29/2023,"109.96","110.55","109.69","110.26","691,597"
12/28/2023,"109.44","110.52","109.44","110.41","518,249"
12/27/2023,"110.00","110.08","109.30","109.69","693,101"
12/26/2023,"109.41","110.69","109.41","110.17","522,241"
12/22/2023,"110.47","111.39","109.55","109.62","949,978"
12/21/2023,"109.63","110.87","108.98","109.74","897,743"
12/20/2023,"110.62","111.25","109.32","109.34","1,165,131"
12/19/2023,"110.04","110.90","109.63","110.79","886,717"
12/18/2023,"110.23","111.06","109.42","109.82","1,026,727"
12/15/2023,"110.37","111.35","108.98","109.90","2,690,033"
12/14/2023,"114.29","114.62","112.16","112.43","1,710,258"
12/13/2023,"110.00","113.47","109.10","113.32","1,227,009"
12/12/2023,"110.43","110.43","108.58","109.92","1,211,890"
12/11/2023,"108.58","110.18","107.84","110.09","1,419,078"
12/08/2023,"107.48","108.69","106.90","108.61","2,138,993"
12/07/2023,"107.60","107.97","106.61","107.22","1,401,826"
12/06/2023,"106.93","107.72","106.64","107.33","1,152,692"
12/05/2023,"108.49","108.49","106.43","106.66","1,403,168"
12/04/2023,"107.76","109.26","107.31","108.41","1,365,994"
12/01/2023,"104.13","108.25","103.74","108.17","2,802,745"
11/30/2023,"104.29","104.30","103.37","104.11","1,568,860"
11/29/2023,"105.08","105.84","103.66","104.14","1,193,682"
11/28/2023,"104.99","106.09","104.63","105.02","1,186,550"
11/27/2023,"105.50","105.60","104.48","104.86","1,382,739"
11/24/2023,"104.76","105.93","104.65","105.37","1,220,332"
11/22/2023,"103.36","105.09","102.91","104.66","1,687,575"
11/21/2023,"103.03","103.49","102.08","103.26","1,062,404"
