Date,Open,High,Low,Close,Volume
02/16/2024,"92.07","92.34","91.10","91.88","4,120,822"
02/15/2024,"90.73","92.41","90.53","92.36","2,952,010"
02/14/2024,"91.30","91.99","90.93","91.34","3,062,435"
02/13/2024,"92.61","92.93","90.30","91.61","3,428,199"
02/12/2024,"91.56","92.85","91.17","92.65","3,926,121"
02/09/2024,"92.26","92.73","91.63","91.69","4,642,789"
02/08/2024,"94.74","95.20","91.47","92.65","5,581,108"
02/07/2024,"95.47","95.61","94.78","95.50","2,471,009"
02/06/2024,"95.09","95.41","94.75","95.06","2,172,268"
02/05/2024,"95.50","96.08","94.76","95.25","3,142,735"
02/02/2024,"96.85","97.10","95.51","96.22","2,519,449"
02/01/2024,"95.35","97.85","94.75","97.79","2,745,923"
01/31/2024,"96.10","96.99","95.30","95.83","3,678,690"
01/30/2024,"95.69","96.12","94.77","95.53","3,201,247"
01/29/2024,"96.03","96.18","95.31","95.77","3,149,014"
01/26/2024,"95.63","96.30","95.24","95.87","3,554,173"
01/25/2024,"95.55","95.78","94.44","95.73","2,461,026"
01/24/2024,"96.04","96.14","94.15","94.54","3,869,953"
01/23/2024,"95.01","95.94","95.01","95.61","2,903,045"
01/22/2024,"95.60","96.29","94.70","95.06","2,465,568"
01/19/2024,"96.30","96.30","95.20","95.56","2,965,063"
01/18/2024,"96.57","96.58","95.36","95.86","2,453,682"
01/17/2024,"97.64","98.69","95.97","96.83","3,272,855"
01/16/2024,"97.86","98.95","97.56","98.03","3,527,087"
01/12/2024,"97.72","98.78","97.30","98.46","2,791,893"
01/11/2024,"99.01","99.01","96.84","97.15","3,063,460"
01/10/2024,"99.50","99.92","99.10","99.28","3,076,655"
01/09/2024,"98.75","99.39","98.52","99.09","2,024,944"
01/08/2024,"98.38","99.44","98.06","99.39","2,453,464"
01/05/2024,"98.49","98.75","97.57","98.54","2,192,115"
01/04/2024,"99.00","99.35","98.36","98.49","2,423,704"
01/03/2024,"97.93","98.89","97.50","98.78","3,687,569"
01/02/2024,"96.52","98.28","96.13","97.81","3,352,256"
12/29/2023,"96.64","97.27","96.35","97.04","2,295,313"
12/28/2023,"96.06","97.06","96.00","96.92","1,912,800"
12/27/2023,"96.40","96.78","96.02","96.30","1,987,644"
12/26/2023,"96.62","97.51","96.43","96.73","2,228,525"
12/22/2023,"96.84","97.64","96.32","96.86","1,927,521"
12/21/2023,"95.94","96.50","95.22","96.36","3,072,565"
12/20/2023,"96.64","97.27","95.55","95.68","3,428,493"
12/19/2023,"97.51","97.54","96.46","96.81","2,711,939"
12/18/2023,"97.20","98.33","96.75","97.17","4,277,125"
12/15/2023,"97.99","98.15","95.62","96.63","8,742,774"
12/14/2023,"98.76","99.48","97.99","98.31","6,870,784"
12/13/2023,"95.50","98.14","94.85","98.08","3,970,186"
12/12/2023,"95.49","95.50","94.12","95.33","3,942,732"
12/11/2023,"94.04","95.40","93.59","95.36","4,989,081"
12/08/2023,"94.45","94.74","93.80","94.39","3,271,726"
12/07/2023,"93.90","94.89","93.33","94.46","3,813,022"
12/06/2023,"92.85","93.96","92.65","93.94","3,260,503"
12/05/2023,"92.86","92.97","91.90","92.47","2,601,202"
12/04/2023,"92.02","93.23","92.02","92.73","2,796,541"
12/01/2023,"92.20","92.65","91.55","92.64","4,016,542"
11/30/2023,"91.66","92.40","91.12","92.28","4,959,398"
11/29/2023,"91.22","91.69","90.36","90.71","2,986,958"
11/28/2023,"90.96","91.93","90.72","91.13","2,774,331"
11/27/2023,"90.86","91.13","90.17","90.93","2,439,422"
11/24/2023,"90.24","90.79","89.92","90.74","1,472,374"
11/22/2023,"90.00","90.44","89.52","90.36","2,553,301"
11/21/2023,"89.53","89.93","88.73","89.88","2,483,933"
