Date,Open,High,Low,Close,Volume
02/22/2024,"121.15","123.31","120.78","122.87","793,849"
02/21/2024,"122.03","122.51","119.42","120.89","945,088"
02/20/2024,"122.17","123.44","120.94","123.00","865,247"
02/16/2024,"119.29","124.28","118.60","122.22","1,065,200"
02/15/2024,"123.70","124.86","118.56","119.87","1,458,505"
02/14/2024,"123.00","128.28","120.59","123.41","2,896,627"
02/13/2024,"112.28","115.31","111.10","113.60","1,488,939"
02/12/2024,"110.27","114.59","108.76","114.30","1,610,396"
02/09/2024,"110.86","111.28","109.73","109.86","788,695"
02/08/2024,"111.17","111.29","109.71","110.82","602,685"
02/07/2024,"112.09","113.71","111.41","111.61","711,338"
02/06/2024,"110.98","112.84","110.83","112.08","847,702"
02/05/2024,"110.95","111.67","109.59","110.74","799,035"
02/02/2024,"111.32","112.02","110.50","111.21","640,896"
02/01/2024,"108.42","112.50","108.04","112.23","891,338"
01/31/2024,"108.16","109.74","107.74","108.16","675,127"
01/30/2024,"108.45","109.24","107.44","107.52","670,794"
01/29/2024,"106.44","108.37","105.83","108.31","754,158"
01/26/2024,"107.62","108.58","107.06","107.17","803,830"
01/25/2024,"104.70","107.60","104.70","107.43","966,377"
01/24/2024,"105.62","106.66","103.55","104.46","789,880"
01/23/2024,"105.27","106.88","103.40","103.89","777,982"
01/22/2024,"105.08","106.59","104.56","104.63","847,715"
01/19/2024,"105.32","105.54","104.14","104.76","900,745"
01/18/2024,"104.41","105.41","103.67","105.41","738,942"
01/17/2024,"104.29","106.47","103.76","104.65","719,595"
01/16/2024,"108.47","108.87","104.07","104.82","1,295,789"
01/12/2024,"109.97","110.50","108.58","109.10","556,768"
01/11/2024,"109.90","110.02","108.42","109.94","709,034"
01/10/2024,"108.24","109.92","108.16","109.64","624,735"
01/09/2024,"108.16","109.00","107.52","108.45","748,613"
01/08/2024,"107.62","109.04","107.17","108.81","616,434"
01/05/2024,"106.20","108.28","105.71","107.24","666,217"
01/04/2024,"105.70","107.73","105.62","106.18","628,068"
01/03/2024,"105.81","106.71","104.96","105.29","634,608"
01/02/2024,"104.54","107.38","104.54","106.89","811,150"
12/29/2023,"104.40","105.08","103.96","104.76","494,797"
12/28/2023,"103.57","105.34","103.57","104.44","682,773"
12/27/2023,"104.51","104.95","103.55","103.96","536,733"
12/26/2023,"104.11","105.26","103.77","104.51","453,837"
12/22/2023,"104.85","105.49","103.68","104.33","623,827"
12/21/2023,"105.00","105.36","103.99","104.76","927,861"
12/20/2023,"106.01","106.71","103.85","103.87","819,307"
12/19/2023,"107.29","107.86","105.82","106.43","771,764"
12/18/2023,"106.48","107.83","106.15","106.93","664,326"
12/15/2023,"106.82","107.41","105.08","105.69","1,841,212"
12/14/2023,"109.69","111.47","106.99","107.18","1,718,535"
12/13/2023,"108.45","109.40","107.06","108.80","784,807"
12/12/2023,"107.50","108.74","106.77","108.48","822,691"
12/11/2023,"107.58","107.89","106.43","106.97","962,264"
12/08/2023,"105.70","108.21","105.21","107.58","1,029,978"
12/07/2023,"104.27","105.89","104.27","105.74","828,646"
12/06/2023,"104.98","105.99","103.88","104.16","957,163"
12/05/2023,"105.90","106.15","103.77","104.61","819,042"
12/04/2023,"104.00","106.96","103.47","106.59","1,128,897"
12/01/2023,"101.49","104.90","100.56","104.31","1,219,163"
11/30/2023,"99.77","101.71","99.19","101.46","1,742,082"
11/29/2023,"99.82","101.90","98.95","99.61","987,422"
11/28/2023,"99.31","100.07","98.26","99.67","1,152,436"
11/27/2023,"98.85","100.18","98.85","99.39","1,132,238"
11/24/2023,"99.56","100.29","98.56","99.26","488,684"
