Date,Open,High,Low,Close,Volume
02/21/2024,"43.72","44.63","43.65","44.11","7,522,709"
02/20/2024,"43.38","43.83","43.13","43.41","6,377,779"
02/16/2024,"43.19","43.73","42.96","43.46","6,176,281"
02/15/2024,"41.86","43.32","41.86","43.19","8,847,480"
02/14/2024,"42.05","42.50","41.65","41.84","6,715,317"
02/13/2024,"42.08","42.27","41.41","41.90","6,512,474"
02/12/2024,"41.79","42.59","41.76","42.24","7,972,803"
02/09/2024,"42.39","42.58","41.35","41.59","7,462,171"
02/08/2024,"41.33","42.49","41.31","42.41","11,090,600"
02/07/2024,"41.17","41.47","40.69","41.31","6,761,835"
02/06/2024,"40.93","41.50","40.74","41.08","6,865,354"
02/05/2024,"41.07","41.14","40.47","40.69","7,451,121"
02/02/2024,"41.73","41.82","41.21","41.30","6,951,301"
02/01/2024,"42.29","42.62","41.48","41.80","7,886,659"
01/31/2024,"43.18","43.22","42.01","42.02","6,996,911"
01/30/2024,"42.47","43.36","42.41","43.32","6,014,793"
01/29/2024,"42.58","42.81","42.03","42.77","5,362,524"
01/26/2024,"42.39","42.77","42.12","42.62","5,768,568"
01/25/2024,"41.80","42.50","41.47","42.49","8,101,469"
01/24/2024,"41.70","41.88","41.27","41.62","8,160,663"
01/23/2024,"41.22","41.84","41.06","41.30","5,843,056"
01/22/2024,"40.80","41.62","40.56","41.18","9,522,554"
01/19/2024,"41.05","41.11","40.62","40.97","9,173,503"
01/18/2024,"40.98","41.21","40.51","41.08","10,038,450"
01/17/2024,"41.29","41.49","40.81","41.09","11,802,670"
01/16/2024,"42.53","42.75","41.52","41.68","13,084,550"
01/12/2024,"44.44","44.53","42.67","42.77","12,749,750"
01/11/2024,"44.08","44.25","43.43","43.59","10,739,000"
01/10/2024,"44.77","44.82","43.84","43.94","10,531,290"
01/09/2024,"45.59","45.65","44.55","44.77","7,532,761"
01/08/2024,"45.15","45.53","44.33","45.53","8,222,271"
01/05/2024,"45.98","46.08","45.52","45.94","7,073,480"
01/04/2024,"47.04","47.35","45.56","45.63","8,311,414"
01/03/2024,"45.69","46.84","45.52","46.81","7,374,598"
01/02/2024,"45.62","46.49","45.55","45.84","7,489,500"
12/29/2023,"45.88","45.98","45.04","45.30","9,450,429"
12/28/2023,"46.11","46.35","45.75","45.76","7,843,036"
12/27/2023,"46.55","46.77","46.24","46.40","7,982,564"
12/26/2023,"46.26","46.94","46.19","46.66","8,224,798"
12/22/2023,"46.20","46.45","45.72","45.81","6,324,030"
12/21/2023,"45.39","45.86","45.16","45.85","8,104,096"
12/20/2023,"45.85","46.23","45.17","45.24","8,494,538"
12/19/2023,"45.34","45.73","45.02","45.68","9,074,601"
12/18/2023,"45.57","46.16","45.21","45.24","12,127,160"
12/15/2023,"44.51","44.91","44.14","44.87","24,624,240"
12/14/2023,"44.25","45.49","44.16","44.99","13,683,650"
12/13/2023,"43.33","44.25","42.95","44.22","13,256,410"
12/12/2023,"43.90","43.90","43.04","43.34","11,439,000"
12/11/2023,"44.25","44.61","44.06","44.41","8,093,579"
12/08/2023,"43.83","44.26","43.67","44.09","7,454,733"
12/07/2023,"43.55","43.80","43.14","43.46","10,954,940"
12/06/2023,"43.53","44.17","43.06","43.25","10,636,540"
12/05/2023,"44.68","44.85","43.72","43.78","8,282,143"
12/04/2023,"44.63","45.31","44.47","44.68","6,670,337"
12/01/2023,"44.88","45.86","44.64","45.17","6,386,249"
11/30/2023,"45.50","45.99","44.53","44.97","12,904,400"
11/29/2023,"45.05","45.21","44.64","44.88","6,470,344"
11/28/2023,"45.12","45.42","44.72","44.82","5,942,185"
11/27/2023,"44.98","45.03","44.35","44.93","8,319,941"
11/24/2023,"45.06","45.62","44.90","45.35","4,050,566"
