Date,Open,High,Low,Close,Volume
02/20/2024,"141.77","142.10","139.85","141.04","2,128,074"
02/16/2024,"144.12","144.44","142.15","142.28","3,311,163"
02/15/2024,"143.24","144.53","142.89","144.05","1,849,582"
02/14/2024,"139.79","143.35","139.43","143.08","2,499,255"
02/13/2024,"136.83","139.68","136.21","139.00","2,250,726"
02/12/2024,"140.41","140.41","137.19","137.55","2,465,795"
02/09/2024,"138.60","140.98","137.00","140.61","2,061,523"
02/08/2024,"137.00","139.00","136.68","138.85","1,770,505"
02/07/2024,"136.04","137.48","135.78","136.75","1,517,615"
02/06/2024,"135.47","135.84","134.57","135.26","1,480,570"
02/05/2024,"136.00","136.26","134.42","134.94","2,616,767"
02/02/2024,"137.82","138.71","135.24","136.64","2,547,445"
02/01/2024,"137.43","137.96","135.00","137.92","2,717,352"
01/31/2024,"134.61","139.78","133.51","137.58","4,345,641"
01/30/2024,"138.42","138.76","137.22","137.55","2,251,396"
01/29/2024,"139.58","140.00","138.25","138.58","1,474,556"
01/26/2024,"139.07","139.82","138.69","139.42","1,800,445"
01/25/2024,"138.76","139.75","138.45","138.94","1,513,722"
01/24/2024,"139.85","140.11","137.73","137.86","1,419,036"
01/23/2024,"138.22","139.40","137.94","139.17","1,241,631"
01/22/2024,"137.64","138.72","137.54","137.57","1,515,065"
01/19/2024,"138.75","138.86","137.40","137.72","1,294,251"
01/18/2024,"136.62","138.16","136.01","138.03","1,449,994"
01/17/2024,"137.00","137.08","135.69","136.62","1,340,142"
01/16/2024,"137.95","138.16","136.50","137.15","1,166,845"
01/12/2024,"138.26","138.78","137.43","137.92","1,132,749"
01/11/2024,"137.56","138.11","136.85","137.74","1,192,613"
01/10/2024,"137.72","138.33","136.90","137.63","1,735,339"
01/09/2024,"136.14","138.47","136.14","137.72","1,328,565"
01/08/2024,"135.95","136.73","135.44","136.46","1,438,791"
01/05/2024,"135.76","136.88","135.24","135.61","1,698,367"
01/04/2024,"135.88","136.59","135.37","135.97","1,236,201"
01/03/2024,"135.78","136.17","135.05","135.71","1,444,016"
01/02/2024,"135.50","136.40","135.21","135.78","1,848,394"
12/29/2023,"136.81","137.11","136.32","136.81","1,087,923"
12/28/2023,"136.71","137.31","136.49","136.76","720,423"
12/27/2023,"137.22","137.59","136.34","136.71","1,002,196"
12/26/2023,"137.79","138.00","137.02","137.29","1,028,043"
12/22/2023,"137.73","138.70","137.27","137.67","1,192,339"
12/21/2023,"137.17","138.08","136.81","137.88","1,604,325"
12/20/2023,"137.67","138.63","136.14","136.59","1,751,498"
12/19/2023,"138.07","139.17","137.81","138.55","1,930,090"
12/18/2023,"139.60","139.87","137.98","138.09","1,892,169"
12/15/2023,"140.88","141.47","138.51","138.83","4,548,843"
12/14/2023,"143.00","143.47","140.24","140.85","2,287,932"
12/13/2023,"141.45","142.77","140.98","142.35","2,177,574"
12/12/2023,"139.87","140.38","139.03","140.33","1,551,992"
12/11/2023,"136.32","139.34","136.32","138.56","1,854,762"
12/08/2023,"135.00","137.38","134.87","137.14","1,531,409"
12/07/2023,"137.52","137.56","135.43","135.55","2,056,419"
12/06/2023,"137.68","138.45","136.11","137.14","2,131,969"
12/05/2023,"136.85","138.04","136.83","137.42","1,809,231"
12/04/2023,"136.63","137.97","136.46","137.82","2,226,938"
12/01/2023,"138.01","138.26","137.44","137.76","1,931,726"
11/30/2023,"137.52","138.17","136.96","138.01","2,402,112"
11/29/2023,"136.88","138.40","136.64","137.31","1,304,037"
11/28/2023,"136.73","137.29","136.25","136.38","1,404,452"
11/27/2023,"136.52","137.55","136.17","137.12","1,254,183"
11/24/2023,"136.32","136.81","135.76","136.60","583,933"
11/22/2023,"136.78","137.07","136.07","136.12","1,153,694"
