Date,Open,High,Low,Close,Volume
02/16/2024,"42.21","43.53","42.14","43.45","7,091,121"
02/15/2024,"42.49","42.89","42.43","42.62","4,873,266"
02/14/2024,"41.28","42.24","40.83","42.18","5,058,294"
02/13/2024,"42.49","42.50","40.74","41.13","7,188,504"
02/12/2024,"42.48","43.55","42.24","43.49","5,551,062"
02/09/2024,"42.06","42.69","41.79","42.43","5,099,004"
02/08/2024,"42.25","42.29","41.64","42.02","3,314,453"
02/07/2024,"42.73","42.89","42.27","42.34","4,005,461"
02/06/2024,"41.35","42.74","41.31","42.66","5,947,039"
02/05/2024,"41.57","41.57","40.94","41.33","5,907,269"
02/02/2024,"41.56","41.98","41.01","41.94","6,097,538"
02/01/2024,"41.40","41.81","40.77","41.70","5,670,706"
01/31/2024,"41.97","42.02","40.97","41.07","5,923,714"
01/30/2024,"42.38","42.41","41.92","41.95","5,073,345"
01/29/2024,"42.69","42.79","42.03","42.62","4,687,417"
01/26/2024,"42.13","42.71","42.13","42.69","5,936,609"
01/25/2024,"41.90","42.19","41.26","42.16","6,080,233"
01/24/2024,"42.62","42.89","41.31","41.61","8,647,108"
01/23/2024,"41.45","41.88","41.18","41.41","5,059,636"
01/22/2024,"41.31","41.69","40.88","41.06","5,559,434"
01/19/2024,"41.03","41.36","40.50","41.13","4,361,518"
01/18/2024,"40.63","40.88","40.34","40.79","5,751,405"
01/17/2024,"40.57","40.88","40.28","40.67","6,416,451"
01/16/2024,"40.82","40.95","40.16","40.70","6,455,492"
01/12/2024,"41.96","42.07","41.06","41.21","5,691,049"
01/11/2024,"42.51","42.54","41.49","41.87","4,618,643"
01/10/2024,"42.11","42.71","41.94","42.56","3,755,274"
01/09/2024,"42.29","42.68","41.96","42.14","4,937,428"
01/08/2024,"42.98","42.98","42.41","42.84","4,109,427"
01/05/2024,"42.53","43.08","42.39","42.79","3,140,460"
01/04/2024,"43.53","43.59","42.41","42.53","4,778,458"
01/03/2024,"43.63","44.09","42.96","43.55","6,358,112"
01/02/2024,"43.26","44.20","43.20","43.87","5,369,290"
12/29/2023,"43.42","43.82","43.36","43.62","4,681,777"
12/28/2023,"43.37","43.60","43.12","43.47","2,767,636"
12/27/2023,"43.52","43.66","43.10","43.38","2,623,182"
12/26/2023,"43.82","43.84","43.26","43.48","3,361,211"
12/22/2023,"43.56","44.07","43.45","43.82","3,330,266"
12/21/2023,"43.33","43.76","43.07","43.73","3,238,446"
12/20/2023,"43.40","43.82","42.83","42.98","5,762,136"
12/19/2023,"42.66","44.27","42.57","43.67","7,351,106"
12/18/2023,"41.53","42.81","41.52","42.52","6,687,286"
12/15/2023,"42.73","42.93","41.66","41.75","43,483,602"
12/14/2023,"42.30","42.73","41.99","42.65","9,011,447"
12/13/2023,"41.02","41.98","40.74","41.96","6,610,362"
12/12/2023,"41.77","41.79","40.91","41.11","5,840,088"
12/11/2023,"40.74","42.12","40.63","41.76","7,045,546"
12/08/2023,"41.36","41.72","41.16","41.29","7,243,404"
12/07/2023,"41.68","41.74","41.34","41.48","3,940,289"
12/06/2023,"41.72","42.21","41.44","41.47","4,736,817"
12/05/2023,"41.30","41.76","40.99","41.48","4,517,899"
12/04/2023,"41.57","42.08","41.39","41.62","5,197,587"
12/01/2023,"40.99","41.89","40.61","41.73","6,022,413"
11/30/2023,"40.66","41.03","40.18","41.01","11,506,780"
11/29/2023,"41.37","41.43","40.58","40.64","7,352,727"
11/28/2023,"40.97","41.56","40.93","41.13","6,503,547"
11/27/2023,"41.34","41.58","40.75","41.35","4,966,874"
11/24/2023,"41.67","41.79","41.28","41.48","2,606,465"
11/22/2023,"40.53","41.86","40.50","41.64","8,620,059"
11/21/2023,"39.26","40.44","38.98","40.39","11,049,870"
