Date,Open,High,Low,Close,Volume
02/16/2024,"216.48","217.48","215.02","215.38","1,975,708"
02/15/2024,"217.21","218.00","214.30","216.47","1,988,692"
02/14/2024,"220.20","221.35","216.32","216.97","1,966,124"
02/13/2024,"213.65","221.55","212.71","221.18","3,193,163"
02/12/2024,"202.45","203.97","201.99","202.98","1,047,026"
02/09/2024,"202.50","203.62","200.50","202.72","997,437"
02/08/2024,"203.00","203.00","201.47","202.89","767,656"
02/07/2024,"201.19","203.41","200.50","203.00","1,165,020"
02/06/2024,"195.85","200.29","195.72","199.95","1,444,480"
02/05/2024,"196.54","198.16","195.49","195.55","1,769,842"
02/02/2024,"199.06","200.56","197.05","199.33","1,180,036"
02/01/2024,"197.82","200.04","196.26","200.03","1,129,789"
01/31/2024,"201.00","201.22","197.46","198.22","1,715,138"
01/30/2024,"199.23","200.96","198.52","200.74","870,107"
01/29/2024,"198.24","199.26","197.20","199.25","1,070,667"
01/26/2024,"199.09","199.69","197.55","198.49","688,625"
01/25/2024,"197.48","198.75","196.78","198.62","788,406"
01/24/2024,"198.97","199.68","196.47","196.62","795,884"
01/23/2024,"201.48","202.48","198.79","199.18","1,025,832"
01/22/2024,"201.38","202.21","199.92","200.87","1,141,390"
01/19/2024,"200.62","200.73","198.01","199.87","2,739,729"
01/18/2024,"197.96","200.78","197.96","200.46","1,034,049"
01/17/2024,"198.10","199.36","196.77","197.44","1,192,830"
01/16/2024,"199.66","199.94","197.72","199.04","1,078,243"
01/12/2024,"199.08","199.11","197.85","198.92","680,997"
01/11/2024,"198.00","198.10","196.05","198.02","847,292"
01/10/2024,"196.06","197.86","196.04","197.39","601,020"
01/09/2024,"194.59","196.19","194.34","195.93","777,693"
01/08/2024,"194.66","196.05","193.46","195.98","960,921"
01/05/2024,"195.11","196.19","194.38","195.25","760,088"
01/04/2024,"195.70","197.47","195.10","195.49","1,065,932"
01/03/2024,"196.84","197.56","195.56","196.12","903,662"
01/02/2024,"196.47","198.30","195.20","198.20","1,158,579"
12/29/2023,"198.79","199.31","197.96","198.35","703,683"
12/28/2023,"199.30","199.72","198.57","198.87","520,960"
12/27/2023,"197.97","199.74","197.97","199.39","528,241"
12/26/2023,"197.61","199.50","197.48","198.64","648,962"
12/22/2023,"197.09","198.68","196.79","197.62","572,774"
12/21/2023,"196.06","197.31","195.26","196.91","936,500"
12/20/2023,"196.43","197.57","194.83","194.85","1,403,980"
12/19/2023,"197.14","198.19","196.38","196.84","1,025,699"
12/18/2023,"196.20","197.39","194.96","196.75","773,611"
12/15/2023,"195.79","197.26","194.85","196.78","2,716,501"
12/14/2023,"198.73","201.62","196.22","196.70","1,594,491"
12/13/2023,"194.91","198.64","194.38","198.50","1,579,733"
12/12/2023,"193.74","194.94","192.37","194.02","1,322,313"
12/11/2023,"192.13","194.32","191.53","193.46","969,305"
12/08/2023,"192.38","192.84","190.93","192.12","726,925"
12/07/2023,"190.95","192.58","189.58","192.42","792,516"
12/06/2023,"191.52","192.05","190.01","190.30","1,065,385"
12/05/2023,"190.95","191.20","188.80","190.00","1,426,160"
12/04/2023,"191.49","193.72","191.00","191.44","1,642,025"
12/01/2023,"191.66","193.15","191.14","192.40","1,112,437"
11/30/2023,"188.86","191.95","188.32","191.73","1,673,270"
11/29/2023,"189.00","189.46","187.86","188.63","969,266"
11/28/2023,"188.94","189.48","188.18","188.41","1,056,961"
11/27/2023,"186.56","189.36","186.13","189.00","929,617"
11/24/2023,"186.87","187.83","186.00","187.24","299,436"
11/22/2023,"187.60","187.86","186.07","186.65","719,845"
11/21/2023,"184.95","187.22","184.95","186.60","784,753"
