Date,Open,High,Low,Close,Volume
02/21/2024,"88.11","88.79","87.72","88.61","1,747,225"
02/20/2024,"87.43","88.67","87.03","87.58","1,974,526"
02/16/2024,"87.55","88.38","86.73","87.32","2,949,343"
02/15/2024,"87.02","88.36","86.88","88.22","2,168,515"
02/14/2024,"87.04","87.41","86.45","86.84","2,412,954"
02/13/2024,"88.46","88.86","85.93","86.67","3,513,616"
02/12/2024,"89.08","89.56","88.44","89.45","1,627,308"
02/09/2024,"88.36","89.14","88.29","89.06","1,457,619"
02/08/2024,"89.07","89.48","88.11","88.67","1,626,478"
02/07/2024,"90.14","90.19","89.16","89.47","1,413,513"
02/06/2024,"89.34","90.37","89.21","89.77","1,621,500"
02/05/2024,"90.32","90.91","89.62","89.67","1,852,011"
02/02/2024,"92.03","92.32","90.18","91.10","1,978,373"
02/01/2024,"90.39","92.82","90.00","92.78","1,625,052"
01/31/2024,"91.48","91.77","90.34","90.90","3,138,166"
01/30/2024,"90.42","91.22","90.04","90.68","1,550,005"
01/29/2024,"90.00","91.12","89.58","90.59","2,173,342"
01/26/2024,"90.00","90.24","89.44","90.02","2,218,871"
01/25/2024,"89.14","89.72","88.38","89.67","1,548,425"
01/24/2024,"89.83","89.86","88.08","88.32","1,932,368"
01/23/2024,"89.06","89.53","88.53","89.12","1,586,101"
01/22/2024,"89.86","90.39","88.69","89.20","1,678,501"
01/19/2024,"89.37","90.12","88.83","89.86","1,689,928"
01/18/2024,"90.09","90.26","88.92","89.40","1,682,318"
01/17/2024,"91.06","92.38","89.93","90.55","1,885,348"
01/16/2024,"91.41","92.51","91.04","91.56","2,038,202"
01/12/2024,"91.78","92.02","91.27","91.62","2,202,499"
01/11/2024,"93.85","93.85","91.07","91.25","2,045,304"
01/10/2024,"93.53","94.78","93.38","94.32","1,572,378"
01/09/2024,"93.63","93.93","93.15","93.70","1,291,766"
01/08/2024,"93.41","93.88","93.07","93.81","1,203,530"
01/05/2024,"93.05","94.01","92.92","93.52","1,971,991"
01/04/2024,"93.49","94.00","92.90","93.25","1,727,129"
01/03/2024,"92.61","93.08","92.12","93.00","2,014,288"
01/02/2024,"90.70","92.55","90.56","92.41","1,806,880"
12/29/2023,"90.34","91.00","90.04","90.97","1,305,500"
12/28/2023,"89.65","90.77","89.63","90.65","1,402,527"
12/27/2023,"90.14","90.27","89.55","89.80","1,333,004"
12/26/2023,"89.41","90.51","89.33","90.27","932,313"
12/22/2023,"89.78","90.55","89.55","89.68","865,600"
12/21/2023,"89.45","90.21","88.60","89.21","1,940,673"
12/20/2023,"90.24","90.50","89.33","89.35","2,498,888"
12/19/2023,"90.12","90.55","89.74","90.31","1,725,979"
12/18/2023,"90.11","90.77","89.71","90.00","2,183,772"
12/15/2023,"91.50","91.50","89.22","89.85","4,549,500"
12/14/2023,"94.39","94.60","91.77","91.91","3,229,112"
12/13/2023,"91.92","94.33","91.39","94.01","1,881,510"
12/12/2023,"92.09","92.09","91.24","91.73","1,351,167"
12/11/2023,"91.25","91.90","90.78","91.87","1,660,838"
12/08/2023,"92.39","92.53","90.86","91.55","1,910,749"
12/07/2023,"92.03","93.16","91.31","92.44","3,032,849"
12/06/2023,"91.60","91.99","90.74","91.65","1,260,135"
12/05/2023,"92.02","92.26","90.91","91.19","1,301,056"
12/04/2023,"91.06","92.77","90.70","91.99","1,872,335"
12/01/2023,"90.32","91.68","89.78","91.68","1,519,135"
11/30/2023,"90.10","90.43","89.35","90.11","3,843,385"
11/29/2023,"90.83","91.35","89.63","89.94","2,174,508"
11/28/2023,"90.67","91.56","90.30","90.80","1,402,143"
11/27/2023,"91.01","91.19","90.19","90.67","1,703,343"
11/24/2023,"90.67","91.00","90.06","90.96","504,806"
