Date,Open,High,Low,Close,Volume
02/21/2024,"258.10","258.14","253.29","257.03","832,829"
02/20/2024,"257.00","258.69","254.33","257.85","710,316"
02/16/2024,"257.99","260.62","255.58","258.08","1,112,229"
02/15/2024,"251.67","260.91","251.14","260.52","1,005,444"
02/14/2024,"250.08","251.45","246.22","250.34","836,611"
02/13/2024,"253.91","255.55","246.01","247.94","867,739"
02/12/2024,"249.66","256.21","249.66","255.78","671,167"
02/09/2024,"252.29","252.76","246.01","249.18","840,185"
02/08/2024,"251.21","255.00","237.34","252.06","1,846,078"
02/07/2024,"244.81","245.80","240.15","241.86","1,462,983"
02/06/2024,"243.59","245.37","239.98","243.28","942,358"
02/05/2024,"249.07","249.07","242.75","244.84","795,351"
02/02/2024,"248.02","251.00","241.59","249.90","641,444"
02/01/2024,"245.49","250.57","242.72","250.33","632,228"
01/31/2024,"247.95","250.28","243.54","244.34","858,861"
01/30/2024,"248.47","251.04","247.80","248.21","458,819"
01/29/2024,"246.41","250.14","245.76","250.11","656,603"
01/26/2024,"248.55","249.18","245.36","246.12","633,118"
01/25/2024,"248.99","250.99","247.04","248.43","562,774"
01/24/2024,"250.00","250.00","246.66","247.42","503,879"
01/23/2024,"250.57","250.57","247.47","249.11","574,925"
01/22/2024,"247.69","250.77","246.52","248.49","800,504"
01/19/2024,"246.75","246.98","243.29","245.34","1,193,476"
01/18/2024,"246.46","248.52","241.92","245.32","638,399"
01/17/2024,"244.62","245.35","241.43","244.26","857,663"
01/16/2024,"241.27","246.65","239.79","246.45","769,144"
01/12/2024,"245.06","245.06","241.23","243.76","571,191"
01/11/2024,"242.70","243.84","240.16","242.83","510,638"
01/10/2024,"244.75","245.99","242.18","244.83","631,912"
01/09/2024,"245.22","246.38","242.94","243.27","793,314"
01/08/2024,"240.02","247.61","240.02","246.37","1,069,363"
01/05/2024,"233.24","238.48","233.24","237.02","883,714"
01/04/2024,"233.79","237.07","233.45","234.09","759,973"
01/03/2024,"236.90","236.90","230.45","233.03","1,182,307"
01/02/2024,"244.24","245.92","237.89","239.87","1,000,818"
12/29/2023,"249.25","250.34","246.54","247.29","488,305"
12/28/2023,"249.57","250.77","247.86","249.61","389,347"
12/27/2023,"248.22","250.70","247.57","250.41","518,344"
12/26/2023,"244.31","247.70","243.36","247.57","538,703"
12/22/2023,"243.52","244.07","241.47","243.88","737,939"
12/21/2023,"239.43","242.65","238.20","242.21","822,673"
12/20/2023,"245.75","246.43","237.53","237.78","1,760,759"
12/19/2023,"251.00","251.00","246.15","246.44","966,191"
12/18/2023,"251.43","252.60","247.12","249.25","1,107,534"
12/15/2023,"245.41","249.21","244.47","244.60","2,235,153"
12/14/2023,"244.70","252.14","243.03","246.69","1,638,625"
12/13/2023,"233.87","242.60","232.55","241.94","1,053,692"
12/12/2023,"232.80","235.24","230.69","234.53","1,067,300"
12/11/2023,"227.51","232.33","227.51","232.09","944,707"
12/08/2023,"226.18","231.77","225.03","228.38","1,748,728"
12/07/2023,"224.58","225.00","222.92","224.25","594,220"
12/06/2023,"225.89","225.89","223.66","224.56","926,745"
12/05/2023,"223.92","225.54","221.68","223.58","850,526"
12/04/2023,"220.26","225.21","220.26","225.14","754,663"
12/01/2023,"217.17","222.49","216.86","222.12","1,157,917"
11/30/2023,"216.62","217.95","215.40","217.71","1,220,619"
11/29/2023,"215.21","218.09","215.21","216.60","923,290"
11/28/2023,"210.60","214.02","209.68","213.03","861,724"
11/27/2023,"209.90","212.10","208.67","211.61","603,050"
11/24/2023,"210.40","211.32","209.01","210.74","454,159"
