Date,Open,High,Low,Close,Volume
02/20/2024,"512.63","515.35","508.29","508.91","611,229"
02/16/2024,"510.59","514.35","506.12","512.63","620,076"
02/15/2024,"507.19","511.21","506.27","508.83","690,632"
02/14/2024,"505.43","507.27","502.30","506.11","649,264"
02/13/2024,"504.56","513.23","503.51","505.31","1,064,800"
02/12/2024,"505.87","506.98","503.73","505.24","703,148"
02/09/2024,"500.95","506.82","500.18","506.08","800,923"
02/08/2024,"500.35","504.08","499.99","502.15","913,315"
02/07/2024,"497.63","502.14","495.90","497.79","852,631"
02/06/2024,"490.33","495.79","486.47","493.83","773,611"
02/05/2024,"495.84","498.23","488.58","490.33","916,856"
02/02/2024,"495.98","497.53","490.58","495.12","1,005,198"
02/01/2024,"490.79","496.99","488.40","495.43","997,331"
01/31/2024,"494.62","497.30","492.57","493.44","1,018,551"
01/30/2024,"489.75","492.83","486.69","492.35","1,016,350"
01/29/2024,"483.79","487.29","480.93","486.53","1,255,993"
01/26/2024,"480.94","485.69","479.77","483.80","1,272,379"
01/25/2024,"471.81","480.69","461.48","480.31","2,233,558"
01/24/2024,"489.50","496.99","473.11","473.67","2,379,081"
01/23/2024,"470.25","477.20","470.25","472.16","1,581,396"
01/22/2024,"466.21","474.60","464.84","471.84","1,727,089"
01/19/2024,"470.77","470.77","463.52","464.61","2,008,796"
01/18/2024,"454.68","470.34","449.02","469.33","2,246,116"
01/17/2024,"475.97","483.42","475.27","476.12","1,111,152"
01/16/2024,"478.58","478.58","471.63","473.29","775,550"
01/12/2024,"470.02","477.31","469.69","475.12","1,218,826"
01/11/2024,"479.25","482.62","476.48","482.31","749,572"
01/10/2024,"482.57","483.82","478.98","480.24","574,116"
01/09/2024,"480.05","483.96","477.92","483.24","688,132"
01/08/2024,"481.63","484.70","468.68","480.05","815,768"
01/05/2024,"484.06","486.47","477.56","480.03","1,044,199"
01/04/2024,"485.25","488.73","482.98","484.84","1,037,564"
01/03/2024,"482.25","487.99","479.09","480.49","1,205,447"
01/02/2024,"471.75","480.66","471.16","478.83","1,358,955"
12/29/2023,"469.92","472.13","467.53","471.56","606,151"
12/28/2023,"466.77","470.72","466.77","468.67","489,689"
12/27/2023,"466.67","467.66","464.69","465.81","488,663"
12/26/2023,"466.00","468.68","465.62","466.51","396,170"
12/22/2023,"465.46","467.90","463.50","466.59","613,383"
12/21/2023,"461.18","465.17","460.28","464.09","1,525,076"
12/20/2023,"465.32","466.30","459.05","459.23","1,386,331"
12/19/2023,"468.20","469.13","462.19","465.78","1,790,623"
12/18/2023,"469.02","471.37","466.62","469.37","926,588"
12/15/2023,"474.47","476.06","462.92","468.46","3,222,466"
12/14/2023,"484.02","485.99","474.74","479.87","1,107,704"
12/13/2023,"482.61","489.00","476.87","488.06","822,977"
12/12/2023,"479.26","486.21","475.35","483.53","1,178,672"
12/11/2023,"478.36","480.51","468.51","476.10","1,423,107"
12/08/2023,"480.12","480.12","472.39","477.97","1,099,158"
12/07/2023,"479.58","479.58","474.68","476.96","803,836"
12/06/2023,"482.06","483.25","476.88","478.30","596,949"
12/05/2023,"481.16","485.10","477.84","482.05","1,037,838"
12/04/2023,"483.27","485.64","477.58","483.10","877,778"
12/01/2023,"478.42","485.22","478.42","483.12","1,361,515"
11/30/2023,"467.66","480.47","465.09","479.49","2,083,833"
11/29/2023,"469.61","472.69","462.74","465.36","1,687,845"
11/28/2023,"477.32","480.21","475.29","475.49","767,739"
11/27/2023,"478.95","481.83","475.87","477.41","1,048,150"
11/24/2023,"479.73","482.20","478.00","478.73","309,997"
11/22/2023,"472.63","481.06","472.63","479.97","979,823"
