Date,Open,High,Low,Close,Volume
02/22/2024,"85.62","86.64","85.57","86.41","668,495"
02/21/2024,"84.37","85.86","83.84","85.71","701,301"
02/20/2024,"84.50","84.93","83.72","84.51","823,070"
02/16/2024,"85.12","86.65","85.04","85.19","840,538"
02/15/2024,"83.38","85.45","83.38","85.25","854,110"
02/14/2024,"82.68","83.00","81.76","82.12","846,500"
02/13/2024,"82.06","82.44","81.00","82.12","884,117"
02/12/2024,"82.47","84.36","82.44","83.82","823,693"
02/09/2024,"82.87","82.87","81.90","82.34","784,166"
02/08/2024,"82.94","83.09","81.95","82.99","1,059,281"
02/07/2024,"83.00","83.28","82.39","82.97","1,148,563"
02/06/2024,"82.75","83.57","82.03","82.61","1,490,555"
02/05/2024,"80.89","83.13","80.89","82.53","1,542,821"
02/02/2024,"82.31","83.67","80.71","82.60","2,836,030"
02/01/2024,"84.21","84.88","82.92","84.86","2,145,629"
01/31/2024,"85.36","85.47","83.21","83.55","2,365,421"
01/30/2024,"83.67","85.25","83.67","85.09","1,224,584"
01/29/2024,"84.67","85.09","82.89","84.03","2,020,895"
01/26/2024,"85.40","85.65","84.66","84.92","918,882"
01/25/2024,"84.66","84.96","83.49","84.62","1,606,563"
01/24/2024,"85.66","86.18","83.77","83.80","1,715,106"
01/23/2024,"88.07","88.33","86.65","86.66","1,407,864"
01/22/2024,"87.02","87.65","86.60","87.39","691,283"
01/19/2024,"87.04","87.12","86.05","86.75","883,311"
01/18/2024,"86.08","87.02","85.17","86.99","693,835"
01/17/2024,"84.90","85.87","84.90","85.71","837,202"
01/16/2024,"85.99","86.41","85.15","86.29","862,290"
01/12/2024,"88.20","88.29","86.55","86.93","522,223"
01/11/2024,"87.48","87.59","86.26","87.07","692,895"
01/10/2024,"87.06","87.78","87.00","87.75","885,678"
01/09/2024,"88.12","88.50","86.87","87.80","526,639"
01/08/2024,"88.80","89.11","88.22","88.86","631,346"
01/05/2024,"87.97","89.76","87.89","89.19","1,389,361"
01/04/2024,"88.11","88.57","87.87","88.31","764,337"
01/03/2024,"88.37","89.14","87.38","88.01","1,055,746"
01/02/2024,"89.23","90.10","89.01","89.38","740,722"
12/29/2023,"90.34","90.37","89.53","89.82","532,067"
12/28/2023,"90.47","90.74","90.01","90.47","502,991"
12/27/2023,"90.15","90.92","90.05","90.72","496,077"
12/26/2023,"90.02","90.93","89.61","90.31","483,638"
12/22/2023,"89.44","90.31","89.43","89.73","535,887"
12/21/2023,"88.68","89.26","88.12","89.13","645,597"
12/20/2023,"88.57","89.14","87.49","88.00","924,766"
12/19/2023,"88.47","88.98","87.90","88.82","1,461,795"
12/18/2023,"89.02","89.02","87.61","87.83","868,955"
12/15/2023,"88.90","89.78","88.11","88.47","2,076,725"
12/14/2023,"88.30","90.88","88.30","89.68","1,893,111"
12/13/2023,"84.66","87.62","84.24","87.17","1,431,607"
12/12/2023,"85.71","85.71","84.56","84.72","572,497"
12/11/2023,"84.80","86.20","84.80","85.52","736,730"
12/08/2023,"85.04","86.29","84.83","84.85","738,328"
12/07/2023,"84.52","85.34","83.84","85.07","802,433"
12/06/2023,"84.39","85.38","83.45","83.62","1,383,247"
12/05/2023,"84.16","84.27","82.94","83.57","873,092"
12/04/2023,"84.83","86.37","84.74","84.88","1,043,379"
12/01/2023,"84.17","85.60","83.71","85.46","860,577"
11/30/2023,"83.10","83.93","82.75","83.83","1,098,284"
11/29/2023,"82.82","83.87","82.67","83.19","772,178"
11/28/2023,"81.81","82.68","80.93","82.36","1,035,889"
11/27/2023,"81.24","82.11","81.17","81.97","853,508"
11/24/2023,"81.71","82.31","81.41","81.89","373,698"
