Date,Open,High,Low,Close,Volume
02/16/2024,"134.49","137.50","131.79","131.87","3,223,483"
02/15/2024,"135.39","138.21","133.28","136.39","5,227,151"
02/14/2024,"126.61","131.79","124.40","131.62","4,056,533"
02/13/2024,"119.93","125.45","119.20","123.56","6,110,395"
02/12/2024,"123.50","132.88","122.80","128.90","6,861,850"
02/09/2024,"117.85","124.55","117.30","122.47","5,449,148"
02/08/2024,"117.85","120.98","114.34","116.88","7,157,548"
02/07/2024,"119.54","124.10","114.70","117.51","16,861,250"
02/06/2024,"97.15","101.10","95.60","100.51","7,429,060"
02/05/2024,"98.81","99.05","93.52","97.80","6,692,950"
02/02/2024,"102.97","102.97","98.88","101.76","4,307,906"
02/01/2024,"106.59","109.91","102.76","105.44","3,998,759"
01/31/2024,"105.46","111.93","104.05","104.13","5,027,756"
01/30/2024,"107.74","110.96","106.26","106.35","3,030,496"
01/29/2024,"105.23","109.44","103.44","109.17","3,232,195"
01/26/2024,"107.70","109.45","104.97","105.37","2,581,922"
01/25/2024,"109.18","110.10","103.72","106.83","3,888,031"
01/24/2024,"114.38","114.64","108.05","108.07","3,906,188"
01/23/2024,"113.25","115.16","108.52","111.30","4,962,896"
01/22/2024,"106.73","115.08","105.74","107.15","5,937,465"
01/19/2024,"106.25","106.75","101.57","103.59","6,131,624"
01/18/2024,"107.22","107.44","103.69","106.66","2,908,629"
01/17/2024,"105.51","107.10","103.87","105.55","4,015,862"
01/16/2024,"109.78","109.92","107.30","108.75","3,917,433"
01/12/2024,"115.00","117.23","109.68","110.22","3,759,028"
01/11/2024,"116.18","116.49","110.82","114.29","4,056,770"
01/10/2024,"117.01","117.64","114.01","117.54","2,771,026"
01/09/2024,"114.22","118.21","113.13","117.06","2,788,914"
01/08/2024,"119.44","119.65","115.40","116.00","4,657,614"
01/05/2024,"115.18","119.87","114.52","115.39","4,183,655"
01/04/2024,"120.22","121.52","117.60","118.07","3,928,249"
01/03/2024,"126.82","127.30","119.52","122.63","6,025,492"
01/02/2024,"130.66","135.65","128.67","131.24","3,039,250"
12/29/2023,"134.22","135.95","131.89","132.14","2,818,054"
12/28/2023,"134.96","137.19","133.45","134.79","2,665,079"
12/27/2023,"138.03","138.35","134.84","135.63","3,750,194"
12/26/2023,"134.56","139.65","133.96","137.34","3,625,649"
12/22/2023,"135.87","137.08","132.04","133.99","4,146,189"
12/21/2023,"130.87","134.60","129.39","133.86","4,966,459"
12/20/2023,"134.60","136.05","127.87","128.00","7,121,482"
12/19/2023,"126.56","136.20","125.50","135.32","10,574,080"
12/18/2023,"121.32","126.00","120.78","124.03","5,779,139"
12/15/2023,"125.82","126.20","120.72","123.92","17,202,340"
12/14/2023,"113.82","123.84","113.52","120.22","14,495,530"
12/13/2023,"95.80","108.28","95.20","107.61","7,318,951"
12/12/2023,"102.61","102.64","96.69","99.82","5,668,779"
12/11/2023,"100.61","105.24","100.14","103.55","3,796,498"
12/08/2023,"107.38","108.46","101.64","103.01","4,408,879"
12/07/2023,"107.98","108.88","106.30","107.17","2,565,209"
12/06/2023,"111.00","111.19","106.50","106.77","4,150,095"
12/05/2023,"107.86","111.75","106.97","110.00","4,456,558"
12/04/2023,"106.50","110.33","106.50","108.87","4,847,303"
12/01/2023,"100.17","106.74","98.88","106.52","4,326,050"
11/30/2023,"102.08","102.08","98.60","101.02","4,927,006"
11/29/2023,"101.47","103.07","99.60","100.96","3,167,273"
11/28/2023,"97.11","100.99","95.65","99.10","3,762,629"
11/27/2023,"99.00","99.91","96.73","97.80","3,802,224"
11/24/2023,"99.85","101.00","97.57","100.22","1,913,447"
11/22/2023,"99.32","101.86","98.41","100.20","4,069,751"
11/21/2023,"98.12","98.83","96.68","98.32","4,490,014"
