Date,Open,High,Low,Close,Volume
02/16/2024,"300.00","313.22","298.69","311.98","1,113,438"
02/15/2024,"292.00","308.07","288.55","301.20","1,405,986"
02/14/2024,"276.70","280.92","274.01","278.14","1,322,686"
02/13/2024,"281.73","281.88","269.94","272.67","525,559"
02/12/2024,"287.23","292.20","285.93","290.76","812,852"
02/09/2024,"287.81","291.35","286.07","286.27","640,887"
02/08/2024,"286.09","288.08","284.02","287.17","627,962"
02/07/2024,"289.14","289.58","284.40","285.69","424,111"
02/06/2024,"290.29","291.57","285.00","289.15","318,817"
02/05/2024,"288.61","290.11","286.12","288.99","311,925"
02/02/2024,"284.16","293.11","281.03","290.32","473,713"
02/01/2024,"278.57","285.81","275.64","285.58","473,382"
01/31/2024,"282.01","283.07","276.20","278.11","531,895"
01/30/2024,"289.38","292.54","282.78","282.89","392,908"
01/29/2024,"288.51","290.56","287.26","290.28","364,751"
01/26/2024,"286.08","288.58","284.70","288.36","320,728"
01/25/2024,"291.37","292.24","283.63","285.13","635,386"
01/24/2024,"292.67","293.03","284.84","288.33","916,209"
01/23/2024,"300.80","300.80","297.82","298.11","537,017"
01/22/2024,"303.50","305.83","295.29","298.83","573,825"
01/19/2024,"300.04","301.99","295.98","300.02","511,816"
01/18/2024,"296.11","300.00","295.30","299.52","370,081"
01/17/2024,"295.37","297.00","291.18","294.40","380,284"
01/16/2024,"304.18","304.79","296.36","300.17","449,617"
01/12/2024,"301.25","309.38","301.00","307.73","496,207"
01/11/2024,"298.92","300.82","295.00","299.70","297,027"
01/10/2024,"297.20","301.87","296.21","299.64","321,128"
01/09/2024,"294.51","299.44","292.93","298.75","365,626"
01/08/2024,"295.75","298.17","294.69","297.44","441,841"
01/05/2024,"288.94","297.70","285.93","288.85","409,014"
01/04/2024,"288.83","296.98","288.83","290.23","541,098"
01/03/2024,"286.30","287.25","280.60","282.66","535,279"
01/02/2024,"293.49","297.11","289.83","291.22","430,714"
12/29/2023,"298.62","301.59","297.23","297.34","228,714"
12/28/2023,"300.52","302.85","298.79","298.79","226,869"
12/27/2023,"302.08","302.19","298.34","300.51","203,424"
12/26/2023,"296.77","302.14","296.57","301.06","182,168"
12/22/2023,"295.30","298.49","294.23","296.69","309,106"
12/21/2023,"294.66","294.66","288.79","294.30","222,759"
12/20/2023,"294.91","299.96","290.26","290.60","289,246"
12/19/2023,"300.85","302.20","295.19","295.40","455,786"
12/18/2023,"293.79","301.29","292.82","300.35","898,876"
12/15/2023,"290.75","297.54","288.44","293.07","870,681"
12/14/2023,"283.29","292.82","282.81","291.46","738,194"
12/13/2023,"277.05","281.66","271.43","279.55","471,013"
12/12/2023,"275.20","277.47","272.61","276.14","317,159"
12/11/2023,"266.53","278.52","266.53","275.12","522,035"
12/08/2023,"263.79","269.74","262.84","268.50","387,760"
12/07/2023,"258.83","264.66","256.50","264.36","457,263"
12/06/2023,"257.59","262.41","256.86","258.83","294,177"
12/05/2023,"259.78","260.17","255.23","255.33","396,890"
12/04/2023,"254.59","261.52","254.51","261.46","476,040"
12/01/2023,"258.17","260.90","252.03","258.89","792,588"
11/30/2023,"263.07","263.07","257.66","258.19","459,136"
11/29/2023,"260.21","263.54","260.21","261.98","292,383"
11/28/2023,"254.32","257.31","253.39","257.29","375,091"
11/27/2023,"255.48","257.60","254.50","255.41","398,452"
11/24/2023,"252.79","255.81","251.43","255.47","343,815"
11/22/2023,"261.10","261.66","253.97","255.00","979,600"
11/21/2023,"258.62","261.70","257.80","258.00","351,224"
