Date,Open,High,Low,Close,Volume
02/16/2024,"59.87","60.43","59.50","60.03","2,659,542"
02/15/2024,"59.05","60.37","58.87","60.35","1,528,999"
02/14/2024,"58.27","59.06","58.10","58.65","1,556,989"
02/13/2024,"58.09","58.29","57.33","58.13","1,964,405"
02/12/2024,"59.00","59.47","58.64","59.20","1,620,842"
02/09/2024,"59.09","59.28","58.65","58.86","1,557,277"
02/08/2024,"58.70","59.23","58.57","59.20","1,502,603"
02/07/2024,"59.30","59.37","58.46","58.82","1,625,862"
02/06/2024,"58.47","59.32","58.30","59.18","1,909,644"
02/05/2024,"59.50","59.55","58.40","58.51","2,666,657"
02/02/2024,"60.27","60.68","59.30","60.17","3,127,711"
02/01/2024,"59.60","60.99","59.11","60.96","4,260,848"
01/31/2024,"61.18","61.80","59.76","60.19","5,436,776"
01/30/2024,"59.06","59.75","58.88","59.30","2,836,290"
01/29/2024,"58.93","59.80","58.89","59.48","2,093,129"
01/26/2024,"58.95","59.18","58.46","59.16","1,930,033"
01/25/2024,"59.36","59.69","58.60","58.86","3,087,527"
01/24/2024,"60.02","60.17","58.61","58.76","3,223,751"
01/23/2024,"60.32","60.63","59.37","59.53","3,109,636"
01/22/2024,"60.77","61.01","60.14","60.30","2,120,888"
01/19/2024,"59.99","60.56","59.28","60.56","3,195,231"
01/18/2024,"60.04","60.43","59.42","59.72","2,619,903"
01/17/2024,"60.62","61.60","59.39","60.20","1,634,858"
01/16/2024,"62.03","62.11","61.12","61.44","1,895,690"
01/12/2024,"62.29","62.86","62.01","62.16","2,280,821"
01/11/2024,"61.43","62.09","61.02","61.79","2,130,702"
01/10/2024,"61.89","61.95","61.49","61.71","1,539,860"
01/09/2024,"61.11","61.84","60.65","61.53","1,611,114"
01/08/2024,"60.52","61.83","60.32","61.73","1,831,330"
01/05/2024,"60.37","61.15","60.07","60.70","1,850,942"
01/04/2024,"60.63","61.35","60.38","60.75","1,732,074"
01/03/2024,"61.75","61.99","60.57","60.66","1,864,093"
01/02/2024,"60.97","62.20","60.76","62.15","2,115,653"
12/29/2023,"61.51","61.92","61.15","61.16","1,962,266"
12/28/2023,"61.73","62.54","61.73","62.50","1,505,454"
12/27/2023,"61.48","62.00","61.16","61.87","1,695,462"
12/26/2023,"61.15","61.66","61.05","61.41","1,343,677"
12/22/2023,"61.25","61.87","61.00","61.14","3,261,107"
12/21/2023,"61.25","61.25","60.08","60.82","2,552,640"
12/20/2023,"61.42","61.67","60.70","60.72","2,658,932"
12/19/2023,"61.75","61.94","61.19","61.48","2,043,007"
12/18/2023,"61.55","61.74","60.91","61.58","2,544,536"
12/15/2023,"61.39","61.80","60.70","61.31","4,398,266"
12/14/2023,"62.07","63.02","61.94","62.31","4,794,856"
12/13/2023,"58.35","61.24","58.25","60.95","2,451,293"
12/12/2023,"58.12","58.44","57.75","58.18","1,705,123"
12/11/2023,"58.20","58.66","57.87","58.17","1,992,348"
12/08/2023,"58.45","58.85","58.15","58.82","1,652,220"
12/07/2023,"58.27","58.97","57.81","58.70","1,963,379"
12/06/2023,"58.40","58.74","58.22","58.27","2,107,203"
12/05/2023,"58.30","58.40","57.65","58.25","2,838,732"
12/04/2023,"58.02","58.83","57.91","58.69","2,525,749"
12/01/2023,"56.89","58.54","56.81","58.54","2,933,526"
11/30/2023,"56.71","57.01","56.40","56.84","3,485,528"
11/29/2023,"57.56","57.86","56.54","56.58","2,446,634"
11/28/2023,"56.45","57.30","56.05","56.99","2,031,711"
11/27/2023,"56.78","56.92","56.40","56.51","2,068,436"
11/24/2023,"56.34","56.85","56.29","56.83","798,915"
11/22/2023,"56.78","56.83","56.26","56.49","1,795,971"
11/21/2023,"56.00","56.30","55.78","56.14","2,475,946"
