Date,Open,High,Low,Close,Volume
02/16/2024,"34.50","35.06","34.04","34.70","4,934,614"
02/15/2024,"33.44","34.75","33.19","34.49","7,970,939"
02/14/2024,"32.73","33.60","32.07","32.96","13,748,760"
02/13/2024,"34.42","34.66","33.72","34.10","6,480,697"
02/12/2024,"34.66","35.36","34.39","34.93","5,205,470"
02/09/2024,"34.50","34.82","34.21","34.33","3,616,765"
02/08/2024,"34.00","34.85","33.87","34.75","4,380,419"
02/07/2024,"34.37","34.51","33.84","34.23","4,576,687"
02/06/2024,"34.12","34.62","33.91","34.23","3,247,537"
02/05/2024,"34.78","34.88","34.14","34.18","4,790,032"
02/02/2024,"35.01","35.39","34.58","35.04","3,834,266"
02/01/2024,"35.58","35.76","34.87","35.06","3,652,986"
01/31/2024,"36.22","36.25","35.37","35.40","4,259,783"
01/30/2024,"35.44","36.50","35.37","36.15","3,431,102"
01/29/2024,"35.77","35.85","35.16","35.82","3,882,346"
01/26/2024,"35.97","36.05","35.20","35.88","4,477,758"
01/25/2024,"35.99","36.07","35.27","36.06","3,800,104"
01/24/2024,"35.56","36.25","35.47","35.66","4,359,369"
01/23/2024,"35.44","35.68","35.01","35.26","3,559,800"
01/22/2024,"34.89","35.67","34.77","35.38","7,055,568"
01/19/2024,"35.05","35.35","34.64","35.33","6,086,337"
01/18/2024,"35.90","36.02","34.84","35.21","6,872,628"
01/17/2024,"35.74","36.34","35.71","35.96","5,684,878"
01/16/2024,"36.91","37.37","36.25","36.30","5,563,949"
01/12/2024,"37.96","38.39","37.40","37.82","4,357,238"
01/11/2024,"37.54","38.11","37.02","37.05","6,627,528"
01/10/2024,"37.71","37.88","37.23","37.71","4,098,201"
01/09/2024,"38.53","38.59","37.65","38.07","6,252,494"
01/08/2024,"38.02","38.28","37.12","38.21","6,001,833"
01/05/2024,"38.10","38.71","37.55","38.71","8,312,331"
01/04/2024,"39.40","39.40","38.17","38.20","5,823,471"
01/03/2024,"38.77","38.99","38.18","38.73","8,412,430"
01/02/2024,"39.11","39.32","38.58","38.92","4,707,210"
12/29/2023,"38.95","39.30","38.66","38.66","2,090,992"
12/28/2023,"39.20","39.88","38.99","39.02","4,005,609"
12/27/2023,"39.53","39.66","38.94","39.18","3,209,018"
12/26/2023,"39.00","39.56","39.00","39.21","2,657,062"
12/22/2023,"39.08","39.33","38.80","38.99","3,310,982"
12/21/2023,"38.52","39.05","38.20","39.02","5,239,594"
12/20/2023,"38.85","39.10","37.88","38.00","7,190,931"
12/19/2023,"38.57","38.88","37.68","38.84","7,433,584"
12/18/2023,"39.23","39.56","38.71","38.91","6,630,774"
12/15/2023,"38.84","38.86","37.99","38.44","19,031,859"
12/14/2023,"37.63","38.83","37.38","38.82","9,302,462"
12/13/2023,"36.15","37.29","35.96","37.26","6,643,341"
12/12/2023,"36.32","36.65","35.85","36.01","6,437,763"
12/11/2023,"36.26","37.23","36.12","36.89","5,518,773"
12/08/2023,"37.25","37.34","36.52","37.13","4,769,202"
12/07/2023,"36.96","37.19","36.09","36.99","6,629,514"
12/06/2023,"38.20","38.67","36.83","36.87","6,001,766"
12/05/2023,"39.28","39.54","38.33","38.36","2,946,760"
12/04/2023,"39.65","39.91","38.81","38.97","6,762,535"
12/01/2023,"39.81","40.51","39.65","40.24","3,301,567"
11/30/2023,"40.25","40.79","39.25","39.96","11,829,010"
11/29/2023,"40.10","40.11","39.31","39.75","4,361,687"
11/28/2023,"40.36","40.48","39.74","39.85","4,504,033"
11/27/2023,"40.51","40.51","39.70","40.23","3,773,165"
11/24/2023,"39.95","41.10","39.95","40.85","1,873,406"
11/22/2023,"39.38","40.56","39.18","40.32","3,271,292"
11/21/2023,"39.97","40.36","39.42","40.02","3,956,452"
