Date,Open,High,Low,Close,Volume
02/20/2024,"276.23","277.86","274.21","276.09","1,263,612"
02/16/2024,"276.07","278.94","273.80","277.52","1,650,973"
02/15/2024,"275.62","277.04","272.78","275.79","1,398,168"
02/14/2024,"274.27","277.15","272.61","275.62","1,430,988"
02/13/2024,"268.41","273.06","266.00","272.38","2,512,428"
02/12/2024,"276.93","277.51","272.51","274.05","1,331,703"
02/09/2024,"273.54","278.58","273.00","277.96","1,557,586"
02/08/2024,"273.00","274.70","272.39","273.21","1,581,042"
02/07/2024,"272.88","274.01","271.15","272.85","1,377,657"
02/06/2024,"270.30","272.32","267.96","271.12","1,919,656"
02/05/2024,"269.36","270.70","266.56","269.42","1,990,092"
02/02/2024,"266.13","271.78","265.26","270.10","3,172,824"
02/01/2024,"255.63","264.75","255.46","264.57","3,663,843"
01/31/2024,"248.76","250.64","245.66","246.08","2,301,039"
01/30/2024,"248.81","251.14","248.06","250.27","1,827,962"
01/29/2024,"244.41","248.81","244.35","248.72","1,464,781"
01/26/2024,"246.00","247.55","245.01","245.89","1,138,692"
01/25/2024,"243.73","246.29","241.87","245.82","1,678,461"
01/24/2024,"244.93","244.99","241.45","241.57","1,541,938"
01/23/2024,"244.00","244.00","239.17","243.25","1,959,271"
01/22/2024,"245.76","246.95","243.66","243.90","1,727,434"
01/19/2024,"241.77","244.62","240.05","244.60","1,500,477"
01/18/2024,"237.30","240.68","236.20","240.12","1,295,292"
01/17/2024,"236.90","238.98","236.04","237.26","2,041,823"
01/16/2024,"241.18","243.25","239.20","241.74","1,538,271"
01/12/2024,"244.27","244.27","240.77","242.11","1,011,668"
01/11/2024,"241.40","243.65","239.22","243.42","1,366,590"
01/10/2024,"241.00","242.41","239.81","240.89","1,232,995"
01/09/2024,"237.45","239.76","235.67","239.48","974,324"
01/08/2024,"236.13","239.17","234.20","238.98","1,278,656"
01/05/2024,"234.58","235.56","233.73","234.86","985,758"
01/04/2024,"233.76","236.95","233.76","234.48","1,303,589"
01/03/2024,"237.40","237.44","231.84","233.10","1,843,236"
01/02/2024,"238.89","240.27","236.85","238.90","1,309,123"
12/29/2023,"241.29","241.97","239.91","240.82","949,063"
12/28/2023,"239.50","241.84","238.39","240.75","773,334"
12/27/2023,"240.03","241.36","239.82","240.82","938,375"
12/26/2023,"238.73","240.72","238.73","240.21","683,926"
12/22/2023,"237.90","239.26","237.30","238.64","743,080"
12/21/2023,"235.72","237.45","234.18","237.29","1,054,521"
12/20/2023,"237.98","238.59","233.74","233.95","1,435,139"
12/19/2023,"237.69","239.06","236.65","238.15","1,012,975"
12/18/2023,"237.71","238.70","236.37","237.13","1,523,957"
12/15/2023,"234.25","238.48","233.91","237.41","4,369,975"
12/14/2023,"238.84","239.89","235.87","237.70","2,209,005"
12/13/2023,"237.46","238.08","234.36","236.79","1,210,289"
12/12/2023,"235.03","237.62","234.81","237.05","1,258,935"
12/11/2023,"233.73","236.68","232.70","234.68","1,575,180"
12/08/2023,"228.18","233.45","227.93","232.31","1,909,765"
12/07/2023,"227.74","229.34","226.80","227.93","1,397,899"
12/06/2023,"228.04","232.59","226.63","226.92","1,305,378"
12/05/2023,"227.42","227.88","224.61","225.60","1,392,617"
12/04/2023,"228.62","229.32","226.19","228.20","1,592,443"
12/01/2023,"227.83","232.01","227.60","230.46","1,605,643"
11/30/2023,"226.94","228.47","225.92","227.69","2,210,140"
11/29/2023,"227.46","228.58","225.33","225.80","1,432,182"
11/28/2023,"228.56","229.33","224.52","224.59","1,886,169"
11/27/2023,"228.28","229.89","227.70","228.78","975,212"
11/24/2023,"229.74","230.35","228.14","228.72","526,207"
11/22/2023,"227.88","231.43","227.63","228.91","1,470,653"
