Date,Open,High,Low,Close,Volume
02/16/2024,"99.35","100.77","99.00","100.15","1,576,502"
02/15/2024,"98.40","100.05","97.86","100.00","1,257,089"
02/14/2024,"98.46","98.87","97.61","98.08","1,028,352"
02/13/2024,"98.52","98.99","96.15","98.25","1,932,950"
02/12/2024,"98.05","99.36","97.54","99.05","1,347,373"
02/09/2024,"97.07","98.03","96.80","97.95","948,143"
02/08/2024,"97.22","97.76","96.24","97.40","1,337,133"
02/07/2024,"99.81","100.05","98.60","98.76","1,517,053"
02/06/2024,"99.38","99.83","98.70","99.45","2,232,332"
02/05/2024,"99.60","100.33","98.80","99.60","1,789,527"
02/02/2024,"101.01","101.56","99.25","100.59","1,648,379"
02/01/2024,"99.35","102.08","98.75","101.99","931,639"
01/31/2024,"100.92","101.09","99.13","99.76","2,715,193"
01/30/2024,"99.74","100.70","98.96","100.25","1,401,580"
01/29/2024,"99.38","100.12","98.77","99.74","1,130,477"
01/26/2024,"99.22","99.87","98.87","99.31","1,114,707"
01/25/2024,"98.93","99.32","97.56","99.08","1,290,840"
01/24/2024,"99.04","99.25","97.10","97.20","2,014,439"
01/23/2024,"98.44","98.80","97.49","98.33","1,125,254"
01/22/2024,"99.07","99.71","97.82","98.34","1,322,203"
01/19/2024,"99.20","99.43","98.40","99.08","1,420,219"
01/18/2024,"100.00","100.23","98.76","98.86","1,218,864"
01/17/2024,"102.32","102.72","99.45","100.71","1,929,099"
01/16/2024,"102.80","103.72","102.11","102.96","1,461,924"
01/12/2024,"103.12","103.45","102.72","103.13","972,064"
01/11/2024,"104.28","104.37","101.93","102.47","1,129,399"
01/10/2024,"104.37","104.91","103.88","104.54","767,947"
01/09/2024,"104.07","104.55","103.69","104.37","885,234"
01/08/2024,"103.95","104.72","103.53","104.68","1,033,243"
01/05/2024,"102.79","104.14","102.63","103.94","1,072,978"
01/04/2024,"103.42","104.42","102.76","103.04","1,240,152"
01/03/2024,"102.73","103.21","101.99","103.07","1,260,832"
01/02/2024,"100.61","102.67","100.50","102.64","1,079,562"
12/29/2023,"100.37","101.26","100.20","101.19","844,128"
12/28/2023,"100.32","101.20","100.30","100.91","716,618"
12/27/2023,"100.12","100.37","99.73","100.31","744,782"
12/26/2023,"100.00","100.94","100.00","100.35","1,519,807"
12/22/2023,"100.35","101.27","99.98","100.22","1,170,589"
12/21/2023,"99.75","100.21","98.81","99.73","985,368"
12/20/2023,"101.33","102.00","99.59","99.63","1,190,190"
12/19/2023,"101.12","102.00","100.89","101.55","1,541,184"
12/18/2023,"101.00","102.10","101.00","101.53","2,042,470"
12/15/2023,"101.95","102.54","100.02","100.88","3,148,163"
12/14/2023,"106.01","106.45","103.25","103.27","2,208,051"
12/13/2023,"101.59","105.46","100.96","105.40","1,628,364"
12/12/2023,"102.41","102.41","100.45","101.59","1,452,987"
12/11/2023,"101.69","102.37","101.10","102.11","1,264,253"
12/08/2023,"101.76","102.19","101.06","102.01","1,523,371"
12/07/2023,"101.73","102.41","100.88","101.89","1,544,355"
12/06/2023,"100.88","101.56","100.36","101.55","1,273,191"
12/05/2023,"101.48","101.57","100.30","100.42","1,001,470"
12/04/2023,"101.23","102.48","100.56","101.39","1,477,425"
12/01/2023,"101.40","102.23","101.01","102.03","1,929,978"
11/30/2023,"100.84","101.87","100.30","101.41","2,052,450"
11/29/2023,"101.55","102.20","100.07","100.59","1,481,016"
11/28/2023,"101.47","102.79","101.21","101.65","1,408,939"
11/27/2023,"101.27","102.10","100.24","101.63","1,211,707"
11/24/2023,"101.23","101.46","100.50","101.10","372,144"
11/22/2023,"100.89","101.34","100.05","101.19","1,114,139"
11/21/2023,"99.46","100.69","98.85","100.60","1,679,223"
