Date,Open,High,Low,Close,Volume
02/16/2024,"85.84","87.25","85.43","86.10","2,122,134"
02/15/2024,"86.30","86.71","85.38","86.04","2,727,306"
02/14/2024,"86.62","87.28","85.03","86.04","4,976,605"
02/13/2024,"86.00","87.48","85.31","86.26","4,012,986"
02/12/2024,"84.83","87.47","84.44","87.12","3,826,186"
02/09/2024,"86.08","86.69","84.89","85.01","3,052,186"
02/08/2024,"86.45","86.65","85.21","85.80","3,723,162"
02/07/2024,"89.44","89.44","82.53","86.61","7,386,808"
02/06/2024,"86.13","88.83","85.00","88.25","7,193,564"
02/05/2024,"88.00","90.20","85.99","86.06","10,824,780"
02/02/2024,"80.00","86.47","79.72","86.09","11,803,020"
02/01/2024,"78.29","78.91","77.11","78.71","5,020,840"
01/31/2024,"77.76","79.93","77.20","78.47","9,470,520"
01/30/2024,"74.36","74.48","73.68","73.90","2,118,650"
01/29/2024,"72.98","74.62","72.71","74.57","2,685,701"
01/26/2024,"73.55","73.81","72.97","73.24","2,812,092"
01/25/2024,"73.33","73.78","71.92","73.55","4,588,601"
01/24/2024,"75.16","75.19","72.47","72.54","4,457,582"
01/23/2024,"75.59","75.86","74.13","74.83","2,410,194"
01/22/2024,"74.75","76.54","74.61","75.16","3,408,110"
01/19/2024,"74.64","74.75","73.53","74.31","3,581,190"
01/18/2024,"73.93","74.55","73.38","74.44","3,822,650"
01/17/2024,"73.59","73.94","72.81","73.82","2,763,274"
01/16/2024,"73.43","74.27","72.99","73.99","4,298,167"
01/12/2024,"75.64","76.01","73.89","74.03","2,756,461"
01/11/2024,"76.03","76.12","74.80","75.14","2,650,358"
01/10/2024,"76.20","76.61","75.25","76.12","2,548,487"
01/09/2024,"75.21","76.65","75.08","75.83","2,630,462"
01/08/2024,"73.17","75.72","72.50","75.67","3,060,637"
01/05/2024,"73.17","73.61","72.40","72.85","2,694,304"
01/04/2024,"71.97","73.83","71.67","73.52","3,705,930"
01/03/2024,"75.26","75.26","72.97","73.13","3,057,922"
01/02/2024,"75.69","76.68","74.96","75.57","2,677,623"
12/29/2023,"76.65","76.77","76.14","76.25","1,905,679"
12/28/2023,"76.30","77.20","76.10","76.71","1,982,815"
12/27/2023,"76.08","76.63","75.82","76.21","2,152,641"
12/26/2023,"75.75","76.63","75.50","76.28","2,191,446"
12/22/2023,"75.29","76.27","75.08","75.83","3,002,372"
12/21/2023,"74.37","75.52","74.37","74.95","3,509,397"
12/20/2023,"75.20","76.09","74.04","74.12","4,275,575"
12/19/2023,"75.24","76.08","75.15","75.31","5,135,330"
12/18/2023,"76.85","77.26","74.82","74.88","5,090,008"
12/15/2023,"77.69","78.35","76.84","76.90","11,292,860"
12/14/2023,"76.07","79.05","76.00","77.76","8,705,925"
12/13/2023,"72.07","75.99","71.81","75.22","8,097,631"
12/12/2023,"70.51","72.45","70.14","72.18","6,581,302"
12/11/2023,"68.94","70.32","68.94","70.31","4,642,419"
12/08/2023,"68.63","69.97","68.00","69.18","5,901,812"
12/07/2023,"70.36","70.87","66.86","68.26","6,138,881"
12/06/2023,"68.72","70.18","68.34","69.49","4,710,545"
12/05/2023,"68.71","69.57","68.04","68.85","4,509,546"
12/04/2023,"68.36","69.97","68.03","69.18","4,426,968"
12/01/2023,"67.46","68.59","67.08","68.36","4,207,618"
11/30/2023,"67.50","67.74","66.40","67.71","7,548,445"
11/29/2023,"67.55","68.31","67.14","67.43","3,148,699"
11/28/2023,"65.60","67.27","65.12","67.10","5,196,060"
11/27/2023,"67.59","67.90","66.93","67.16","2,797,376"
11/24/2023,"67.00","67.91","67.00","67.90","2,053,739"
11/22/2023,"67.23","67.77","66.91","67.06","3,488,861"
11/21/2023,"67.74","67.87","66.58","66.96","3,497,130"
