Date,Open,High,Low,Close,Volume
02/20/2024,"34.90","35.34","34.68","34.73","6,695,058"
02/16/2024,"34.76","35.14","34.43","34.91","7,830,957"
02/15/2024,"34.31","34.94","34.30","34.86","5,052,482"
02/14/2024,"34.25","34.49","34.04","34.12","6,822,225"
02/13/2024,"34.42","34.66","33.50","34.19","9,168,844"
02/12/2024,"33.79","34.50","33.58","34.38","7,862,484"
02/09/2024,"33.64","33.90","33.35","33.84","6,520,357"
02/08/2024,"33.98","33.98","33.53","33.75","5,935,435"
02/07/2024,"34.11","34.26","33.66","34.10","6,946,774"
02/06/2024,"33.62","34.15","33.46","33.91","6,444,677"
02/05/2024,"33.94","34.23","33.58","33.62","6,336,293"
02/02/2024,"34.70","34.70","33.94","34.35","5,819,726"
02/01/2024,"34.81","35.06","34.46","35.02","5,605,729"
01/31/2024,"35.23","35.30","34.53","34.81","13,440,810"
01/30/2024,"35.01","35.15","34.65","35.05","6,400,527"
01/29/2024,"34.97","35.30","34.66","35.29","5,454,521"
01/26/2024,"34.91","35.03","34.66","35.01","6,182,280"
01/25/2024,"34.43","34.90","34.08","34.90","12,960,440"
01/24/2024,"34.85","34.99","34.03","34.08","7,287,593"
01/23/2024,"34.91","35.12","34.51","34.75","6,110,327"
01/22/2024,"34.94","35.38","34.66","34.86","5,031,603"
01/19/2024,"35.19","35.39","34.81","35.04","9,295,210"
01/18/2024,"35.36","35.44","34.88","35.30","6,258,190"
01/17/2024,"35.51","36.06","35.29","35.59","7,004,149"
01/16/2024,"35.91","35.99","35.46","35.70","7,465,102"
01/12/2024,"36.50","36.59","36.05","36.07","4,096,934"
01/11/2024,"36.41","36.57","35.98","36.21","6,882,002"
01/10/2024,"36.63","36.79","36.40","36.64","5,345,756"
01/09/2024,"36.47","36.59","36.23","36.44","6,096,331"
01/08/2024,"36.05","36.74","35.95","36.69","6,027,310"
01/05/2024,"35.91","36.50","35.74","36.31","4,980,034"
01/04/2024,"36.09","36.32","35.97","36.02","5,443,823"
01/03/2024,"36.53","36.67","35.90","36.18","6,784,003"
01/02/2024,"35.75","36.68","35.58","36.47","7,584,693"
12/29/2023,"35.70","35.95","35.57","35.90","4,634,225"
12/28/2023,"35.40","35.99","35.34","35.85","5,832,925"
12/27/2023,"35.56","35.66","35.10","35.41","6,881,963"
12/26/2023,"35.19","35.63","35.18","35.53","3,900,339"
12/22/2023,"35.24","35.82","35.20","35.26","5,795,248"
12/21/2023,"34.92","35.25","34.81","35.07","8,332,634"
12/20/2023,"35.45","35.60","34.81","34.81","10,523,460"
12/19/2023,"34.43","35.42","34.05","35.41","16,414,340"
12/18/2023,"35.39","35.59","34.22","34.45","23,411,039"
12/15/2023,"37.44","37.50","35.32","35.49","38,846,633"
12/14/2023,"41.22","41.43","37.46","37.90","26,398,971"
12/13/2023,"39.49","41.08","39.34","41.00","7,994,483"
12/12/2023,"39.66","39.66","39.18","39.44","5,695,696"
12/11/2023,"39.35","39.63","39.10","39.52","7,793,061"
12/08/2023,"39.37","39.38","38.98","39.21","7,433,414"
12/07/2023,"39.52","39.88","39.15","39.34","7,687,068"
12/06/2023,"38.74","39.45","38.63","39.41","7,815,835"
12/05/2023,"38.79","38.80","38.21","38.50","7,114,955"
12/04/2023,"38.77","39.01","38.55","38.73","8,158,328"
12/01/2023,"38.58","39.01","38.22","38.99","7,383,002"
11/30/2023,"38.41","38.60","38.17","38.51","11,572,740"
11/29/2023,"39.27","39.33","38.25","38.39","5,268,269"
11/28/2023,"39.19","39.57","38.93","39.16","5,652,487"
11/27/2023,"39.19","39.26","38.85","39.14","6,884,733"
11/24/2023,"38.93","39.24","38.74","39.19","2,523,101"
11/22/2023,"38.98","39.07","38.62","38.86","6,251,043"
