Date,Open,High,Low,Close,Volume
02/16/2024,"137.94","137.96","134.82","135.25","2,670,363"
02/15/2024,"136.00","139.72","135.89","138.53","3,710,946"
02/14/2024,"135.44","136.46","133.88","134.82","3,396,305"
02/13/2024,"131.39","136.38","130.70","134.84","4,907,433"
02/12/2024,"132.04","137.30","132.04","133.60","6,862,153"
02/09/2024,"130.61","132.80","126.05","131.11","18,487,359"
02/08/2024,"156.50","160.05","154.82","159.47","7,400,430"
02/07/2024,"155.06","156.77","151.09","154.38","2,300,934"
02/06/2024,"152.92","154.38","150.63","153.70","1,865,684"
02/05/2024,"149.95","152.33","147.54","151.71","1,899,403"
02/02/2024,"150.71","153.39","146.55","151.05","1,969,314"
02/01/2024,"148.99","151.77","146.77","151.52","1,961,069"
01/31/2024,"151.15","151.86","147.96","148.33","1,459,918"
01/30/2024,"153.53","153.80","150.02","151.72","2,014,390"
01/29/2024,"151.93","154.19","150.44","153.98","1,811,626"
01/26/2024,"152.60","153.54","151.71","151.93","1,700,997"
01/25/2024,"150.79","153.57","149.76","152.30","2,112,805"
01/24/2024,"150.00","150.97","147.85","148.57","1,302,545"
01/23/2024,"146.62","148.93","145.40","148.50","1,911,235"
01/22/2024,"149.47","149.90","145.28","145.66","2,510,524"
01/19/2024,"149.94","149.98","145.31","148.57","2,514,125"
01/18/2024,"148.83","149.79","146.19","148.96","2,179,911"
01/17/2024,"146.60","147.82","145.98","147.30","1,657,530"
01/16/2024,"147.33","149.34","146.71","148.65","1,342,064"
01/12/2024,"151.22","151.78","148.02","148.61","1,376,284"
01/11/2024,"151.55","153.09","150.27","151.20","1,621,897"
01/10/2024,"152.03","154.78","151.35","151.85","1,566,700"
01/09/2024,"148.61","153.16","148.58","152.73","2,094,908"
01/08/2024,"147.11","150.47","146.03","149.68","2,333,850"
01/05/2024,"144.28","147.55","144.28","146.32","1,579,759"
01/04/2024,"145.99","147.34","144.56","144.82","2,709,594"
01/03/2024,"146.61","148.47","144.90","144.99","4,108,311"
01/02/2024,"151.67","152.38","147.24","148.76","2,898,013"
12/29/2023,"154.06","155.16","151.35","151.79","1,307,377"
12/28/2023,"153.01","153.95","152.33","153.28","1,146,889"
12/27/2023,"153.34","154.04","151.70","153.25","1,420,189"
12/26/2023,"155.25","155.84","152.85","153.14","1,530,553"
12/22/2023,"154.88","155.61","153.68","155.31","1,940,267"
12/21/2023,"150.50","154.58","150.10","154.52","2,590,730"
12/20/2023,"151.28","154.77","148.27","148.46","2,938,684"
12/19/2023,"148.48","151.80","148.48","151.52","2,589,038"
12/18/2023,"146.62","148.68","145.88","148.47","1,856,974"
12/15/2023,"145.88","147.08","143.87","145.99","4,764,161"
12/14/2023,"145.78","148.32","145.09","146.83","2,207,341"
12/13/2023,"144.88","146.30","142.24","144.90","2,202,657"
12/12/2023,"146.35","147.52","143.39","144.88","1,805,334"
12/11/2023,"146.00","149.94","145.88","148.34","2,041,032"
12/08/2023,"142.70","145.83","142.51","145.50","1,748,691"
12/07/2023,"139.40","143.90","139.09","143.65","2,059,451"
12/06/2023,"139.90","140.50","138.21","139.00","1,749,804"
12/05/2023,"138.46","139.46","137.10","138.40","1,419,397"
12/04/2023,"138.50","141.16","138.46","139.82","1,685,551"
12/01/2023,"136.05","139.78","136.05","139.31","3,259,853"
11/30/2023,"136.37","136.79","134.33","136.18","3,584,848"
11/29/2023,"135.69","138.73","135.36","135.75","7,804,365"
11/28/2023,"136.11","137.65","134.74","135.42","1,555,895"
11/27/2023,"135.48","137.35","135.32","135.90","1,361,218"
11/24/2023,"136.03","137.16","134.82","136.42","723,246"
11/22/2023,"136.49","138.16","136.21","136.89","1,653,952"
11/21/2023,"134.04","136.13","133.68","135.47","1,817,854"
