Date,Open,High,Low,Close,Volume
02/21/2024,"145.85","146.45","141.50","143.11","1,237,913"
02/20/2024,"140.90","141.55","139.69","141.42","1,043,248"
02/16/2024,"139.81","141.95","139.71","141.57","1,788,118"
02/15/2024,"141.91","142.76","140.38","141.77","1,550,058"
02/14/2024,"139.14","140.38","137.57","139.60","1,219,576"
02/13/2024,"138.27","139.18","136.06","138.55","1,190,074"
02/12/2024,"143.71","144.33","141.65","142.02","866,212"
02/09/2024,"143.15","144.18","142.39","143.38","756,915"
02/08/2024,"143.38","144.37","142.68","143.47","807,995"
02/07/2024,"142.77","144.93","142.07","142.41","947,100"
02/06/2024,"140.03","143.21","139.56","142.73","974,094"
02/05/2024,"141.37","141.95","139.42","139.68","1,101,622"
02/02/2024,"143.92","144.55","141.43","143.53","944,213"
02/01/2024,"144.12","146.35","143.19","146.07","1,393,642"
01/31/2024,"146.25","148.29","143.58","144.44","1,752,670"
01/30/2024,"146.42","147.81","144.55","145.56","743,219"
01/29/2024,"147.43","148.42","146.11","148.05","706,211"
01/26/2024,"149.67","149.96","147.28","147.47","547,550"
01/25/2024,"149.16","149.99","147.65","148.83","881,793"
01/24/2024,"149.05","149.79","146.43","146.91","874,806"
01/23/2024,"149.17","149.80","146.65","147.24","858,715"
01/22/2024,"147.36","150.22","147.36","148.69","794,334"
01/19/2024,"147.00","147.73","145.02","146.76","1,143,343"
01/18/2024,"148.31","148.79","144.65","146.44","1,439,544"
01/17/2024,"148.28","150.23","147.06","148.17","1,438,083"
01/16/2024,"151.16","151.35","149.35","150.45","1,383,821"
01/12/2024,"152.03","153.13","149.84","152.32","1,563,493"
01/11/2024,"155.82","155.82","149.91","150.74","2,673,832"
01/10/2024,"157.16","158.24","155.69","156.84","1,098,878"
01/09/2024,"158.50","158.96","156.92","158.03","1,055,648"
01/08/2024,"157.39","160.56","156.94","159.84","1,101,860"
01/05/2024,"156.32","159.25","154.70","158.08","796,308"
01/04/2024,"157.58","159.21","156.31","156.95","1,141,212"
01/03/2024,"162.61","163.00","158.05","158.80","1,356,780"
01/02/2024,"159.87","164.99","159.02","164.40","1,183,271"
12/29/2023,"160.74","162.02","160.28","160.33","1,018,079"
12/28/2023,"160.89","162.38","160.60","162.16","848,664"
12/27/2023,"159.72","161.83","159.28","161.09","1,133,282"
12/26/2023,"156.92","160.18","156.70","159.45","710,287"
12/22/2023,"156.38","158.49","155.80","156.54","806,310"
12/21/2023,"154.51","156.36","153.54","156.10","933,313"
12/20/2023,"153.96","156.17","152.14","152.21","1,192,603"
12/19/2023,"152.62","155.51","152.34","153.59","1,255,258"
12/18/2023,"152.54","153.55","151.12","151.61","1,378,936"
12/15/2023,"153.52","154.71","150.84","153.73","3,261,535"
12/14/2023,"147.82","154.88","147.73","154.71","2,976,599"
12/13/2023,"139.69","147.37","139.17","146.00","2,047,188"
12/12/2023,"138.08","139.55","136.83","139.04","946,766"
12/11/2023,"137.72","138.50","136.28","138.12","842,680"
12/08/2023,"137.06","138.83","136.42","138.68","994,344"
12/07/2023,"137.00","138.93","136.50","137.11","940,229"
12/06/2023,"136.87","138.31","136.18","136.62","1,259,589"
12/05/2023,"136.36","137.11","135.13","136.17","865,779"
12/04/2023,"134.11","137.29","134.11","137.07","1,226,013"
12/01/2023,"130.69","134.52","130.05","134.37","1,067,727"
11/30/2023,"129.36","130.85","129.23","130.17","1,310,257"
11/29/2023,"128.55","131.16","128.55","129.53","867,070"
11/28/2023,"126.11","127.53","125.82","127.29","823,686"
11/27/2023,"127.14","127.25","126.20","126.73","826,642"
11/24/2023,"126.29","127.57","125.32","127.12","282,374"
