Date,Open,High,Low,Close,Volume
02/16/2024,"12.42","12.51","12.26","12.30","43,228,566"
02/15/2024,"12.35","12.55","12.31","12.52","57,811,770"
02/14/2024,"12.72","12.79","12.52","12.56","52,978,762"
02/13/2024,"12.77","12.90","12.48","12.68","67,907,695"
02/12/2024,"12.68","13.07","12.64","12.98","54,036,500"
02/09/2024,"12.81","12.92","12.64","12.68","47,649,648"
02/08/2024,"12.87","12.90","12.54","12.83","68,653,953"
02/07/2024,"12.73","12.98","12.20","12.80","137,224,000"
02/06/2024,"11.64","12.10","11.62","12.07","99,263,930"
02/05/2024,"12.01","12.08","11.54","11.59","81,026,750"
02/02/2024,"12.03","12.19","11.94","12.14","73,130,930"
02/01/2024,"11.82","12.14","11.62","12.10","81,065,805"
01/31/2024,"11.76","11.99","11.72","11.72","74,558,852"
01/30/2024,"11.77","11.87","11.62","11.78","70,213,344"
01/29/2024,"11.38","11.56","11.30","11.55","58,249,566"
01/26/2024,"11.40","11.50","11.30","11.39","35,837,039"
01/25/2024,"11.09","11.36","11.03","11.34","49,356,727"
01/24/2024,"11.44","11.45","11.00","11.03","59,064,621"
01/23/2024,"11.36","11.46","11.24","11.37","45,465,168"
01/22/2024,"11.23","11.40","11.14","11.20","45,479,609"
01/19/2024,"10.94","11.22","10.83","11.20","61,143,352"
01/18/2024,"11.25","11.31","10.96","10.99","71,667,172"
01/17/2024,"11.17","11.31","11.11","11.27","52,671,320"
01/16/2024,"11.30","11.50","11.18","11.46","45,207,711"
01/12/2024,"11.65","11.77","11.41","11.46","55,030,078"
01/11/2024,"11.75","11.77","11.57","11.71","48,691,961"
01/10/2024,"11.83","11.86","11.71","11.83","37,539,238"
01/09/2024,"11.81","11.90","11.77","11.84","49,536,672"
01/08/2024,"11.85","12.05","11.79","11.97","41,514,367"
01/05/2024,"11.65","12.04","11.63","11.85","44,443,781"
01/04/2024,"11.76","11.82","11.63","11.68","54,920,320"
01/03/2024,"12.02","12.03","11.64","11.71","70,120,141"
01/02/2024,"12.04","12.38","11.94","12.16","47,494,840"
12/29/2023,"12.35","12.39","12.16","12.19","40,964,738"
12/28/2023,"12.38","12.43","12.28","12.34","26,688,510"
12/27/2023,"12.43","12.45","12.23","12.39","39,891,281"
12/26/2023,"12.39","12.50","12.37","12.45","26,293,670"
12/22/2023,"12.32","12.46","12.28","12.35","43,764,609"
12/21/2023,"11.93","12.36","11.90","12.34","66,424,641"
12/20/2023,"11.97","12.14","11.79","11.80","54,981,070"
12/19/2023,"11.97","12.07","11.89","12.02","35,722,953"
12/18/2023,"11.99","12.08","11.91","11.93","43,424,398"
12/15/2023,"12.07","12.18","11.93","12.02","85,298,227"
12/14/2023,"11.47","12.13","11.47","12.08","110,777,602"
12/13/2023,"11.03","11.29","10.80","11.24","68,066,734"
12/12/2023,"11.09","11.20","11.05","11.16","40,206,238"
12/11/2023,"11.02","11.15","10.98","11.07","39,700,859"
12/08/2023,"10.81","11.07","10.79","11.01","48,961,191"
12/07/2023,"10.71","10.88","10.68","10.82","40,523,180"
12/06/2023,"10.75","10.88","10.67","10.69","47,223,512"
12/05/2023,"10.64","10.68","10.54","10.60","41,551,113"
12/04/2023,"10.52","10.79","10.50","10.70","54,196,102"
12/01/2023,"10.29","10.60","10.22","10.58","61,619,840"
11/30/2023,"10.68","10.70","10.18","10.26","80,525,750"
11/29/2023,"10.88","10.96","10.56","10.59","77,246,758"
11/28/2023,"10.33","10.40","10.24","10.37","38,510,648"
11/27/2023,"10.37","10.42","10.30","10.34","32,247,600"
11/24/2023,"10.28","10.53","10.28","10.40","22,028,061"
11/22/2023,"10.24","10.38","10.17","10.26","41,151,672"
11/21/2023,"10.28","10.32","10.10","10.19","47,284,273"
