Date,Open,High,Low,Close,Volume
02/20/2024,"70.40","70.54","69.62","70.08","3,099,421"
02/16/2024,"70.30","70.67","70.05","70.24","3,083,711"
02/15/2024,"70.13","70.36","69.51","70.15","2,537,461"
02/14/2024,"69.33","70.18","69.17","70.13","2,716,518"
02/13/2024,"69.37","69.57","68.46","68.92","3,738,307"
02/12/2024,"69.89","70.27","69.67","70.01","2,891,028"
02/09/2024,"69.30","70.06","69.16","70.02","2,694,410"
02/08/2024,"69.49","69.71","69.00","69.26","2,659,316"
02/07/2024,"70.09","70.34","69.39","69.46","3,212,746"
02/06/2024,"69.46","69.73","68.97","69.48","3,516,844"
02/05/2024,"70.52","70.71","69.32","69.46","3,752,640"
02/02/2024,"69.93","70.95","69.74","70.65","4,296,746"
02/01/2024,"68.55","69.84","67.96","69.84","4,623,931"
01/31/2024,"68.56","69.06","67.91","68.23","11,905,170"
01/30/2024,"68.34","69.15","68.23","69.11","3,418,919"
01/29/2024,"68.11","68.62","67.59","68.60","4,167,951"
01/26/2024,"69.07","69.20","68.28","68.40","3,561,068"
01/25/2024,"69.16","69.57","68.68","69.21","3,854,024"
01/24/2024,"69.86","69.99","68.62","68.84","3,771,048"
01/23/2024,"70.02","70.10","68.89","69.51","4,129,819"
01/22/2024,"69.60","69.94","68.64","69.91","5,142,365"
01/19/2024,"68.08","69.51","67.80","69.34","7,807,631"
01/18/2024,"66.04","68.69","65.40","67.93","12,793,080"
01/17/2024,"63.77","64.25","63.21","63.38","5,729,115"
01/16/2024,"63.40","63.83","63.26","63.77","4,559,147"
01/12/2024,"63.53","63.61","62.97","63.52","3,451,970"
01/11/2024,"63.00","63.42","62.59","63.37","4,359,317"
01/10/2024,"62.68","63.15","62.49","63.08","3,088,147"
01/09/2024,"61.60","62.63","61.33","62.53","3,552,358"
01/08/2024,"62.17","62.55","62.00","62.47","3,756,932"
01/05/2024,"61.92","62.27","61.66","61.98","2,858,295"
01/04/2024,"62.08","62.48","61.90","62.19","3,240,005"
01/03/2024,"63.45","63.53","62.06","62.08","4,012,663"
01/02/2024,"64.28","64.71","63.30","63.55","3,291,652"
12/29/2023,"64.80","65.10","64.49","64.77","2,716,229"
12/28/2023,"65.39","65.39","64.80","64.84","2,179,430"
12/27/2023,"65.64","65.66","65.26","65.34","2,363,801"
12/26/2023,"65.57","65.66","65.30","65.45","1,709,928"
12/22/2023,"65.35","65.58","65.19","65.34","2,044,581"
12/21/2023,"65.05","65.42","64.84","65.09","2,464,379"
12/20/2023,"64.76","65.34","64.53","64.64","3,250,844"
12/19/2023,"64.69","65.03","64.47","64.69","2,407,203"
12/18/2023,"64.53","64.73","64.10","64.63","3,152,650"
12/15/2023,"64.19","64.27","63.61","64.16","8,254,983"
12/14/2023,"63.63","64.29","63.02","64.23","4,767,902"
12/13/2023,"63.92","64.20","63.05","64.04","3,507,583"
12/12/2023,"63.52","63.93","63.37","63.88","3,857,619"
12/11/2023,"62.40","63.39","62.37","63.35","4,071,692"
12/08/2023,"62.31","62.47","62.00","62.29","3,136,730"
12/07/2023,"62.41","62.60","61.90","62.36","3,530,245"
12/06/2023,"61.05","62.20","61.05","62.13","5,305,568"
12/05/2023,"60.50","60.91","60.16","60.75","3,006,340"
12/04/2023,"60.44","61.04","60.32","60.97","2,763,225"
12/01/2023,"59.78","60.83","59.78","60.82","2,774,375"
11/30/2023,"59.99","60.17","59.49","59.97","4,164,380"
11/29/2023,"60.13","60.40","59.47","59.64","2,654,776"
11/28/2023,"60.83","60.97","59.83","59.90","2,957,491"
11/27/2023,"60.67","61.05","60.60","60.95","2,537,134"
11/24/2023,"60.95","61.17","60.83","60.96","895,581"
11/22/2023,"60.88","61.02","60.56","60.87","2,024,825"
