Date,Open,High,Low,Close,Volume
02/16/2024,"39.10","39.75","38.80","38.83","12,614,250"
02/15/2024,"37.36","38.35","37.36","38.25","10,171,030"
02/14/2024,"36.89","37.25","36.55","37.20","9,269,205"
02/13/2024,"36.88","37.12","36.26","36.66","14,272,260"
02/12/2024,"37.48","37.97","37.31","37.69","12,932,560"
02/09/2024,"37.84","37.91","37.26","37.36","15,822,190"
02/08/2024,"38.85","38.90","37.89","38.12","13,849,260"
02/07/2024,"40.10","40.12","38.91","39.20","9,705,246"
02/06/2024,"39.02","40.22","38.93","40.17","13,064,890"
02/05/2024,"39.21","39.23","37.99","38.68","16,202,090"
02/02/2024,"39.52","40.26","38.89","40.10","14,120,190"
02/01/2024,"39.88","40.21","39.51","40.18","10,854,320"
01/31/2024,"40.16","40.81","39.65","39.69","16,275,430"
01/30/2024,"39.85","40.14","39.46","39.97","10,858,990"
01/29/2024,"39.74","40.29","39.01","40.23","8,875,489"
01/26/2024,"39.68","40.15","39.41","39.59","10,135,060"
01/25/2024,"39.97","40.13","38.76","39.44","15,599,790"
01/24/2024,"40.65","40.99","39.67","39.72","27,944,551"
01/23/2024,"38.15","38.72","37.82","38.17","18,432,920"
01/22/2024,"38.09","38.20","37.47","37.48","19,429,020"
01/19/2024,"38.19","38.82","37.78","38.77","13,539,640"
01/18/2024,"38.39","38.41","37.82","38.21","10,158,550"
01/17/2024,"38.00","38.32","37.60","38.24","11,757,160"
01/16/2024,"40.31","40.31","38.72","38.90","16,524,359"
01/12/2024,"41.35","41.77","40.76","40.94","7,622,495"
01/11/2024,"41.59","41.59","40.61","41.03","8,279,732"
01/10/2024,"41.55","41.65","41.13","41.30","8,167,485"
01/09/2024,"41.63","41.92","41.46","41.70","9,119,845"
01/08/2024,"41.27","42.25","41.03","42.20","9,226,338"
01/05/2024,"41.25","41.97","41.10","41.41","8,228,617"
01/04/2024,"41.12","41.58","40.72","41.55","11,897,520"
01/03/2024,"40.97","41.69","40.59","41.37","13,722,980"
01/02/2024,"41.96","42.54","41.76","42.09","9,620,896"
12/29/2023,"42.41","42.92","42.27","42.57","6,509,679"
12/28/2023,"42.95","43.25","42.88","43.02","5,426,731"
12/27/2023,"43.04","43.42","42.78","43.20","7,172,571"
12/26/2023,"42.60","43.08","42.51","42.83","6,701,020"
12/22/2023,"42.53","42.84","42.10","42.38","6,984,632"
12/21/2023,"41.97","42.30","41.83","42.23","7,032,254"
12/20/2023,"41.77","42.35","41.29","41.34","10,798,740"
12/19/2023,"42.03","42.62","42.00","42.18","16,499,789"
12/18/2023,"41.57","42.44","41.34","41.35","12,242,020"
12/15/2023,"40.95","41.96","40.95","41.50","23,084,721"
12/14/2023,"40.30","42.32","40.30","41.97","29,234,551"
12/13/2023,"37.49","39.23","37.14","39.19","15,442,470"
12/12/2023,"37.70","37.77","37.17","37.42","13,640,470"
12/11/2023,"37.53","38.04","37.30","37.87","8,606,765"
12/08/2023,"37.05","38.41","36.89","38.15","19,549,150"
12/07/2023,"36.57","36.85","36.04","36.37","10,691,600"
12/06/2023,"36.87","37.18","36.20","36.25","9,356,936"
12/05/2023,"37.33","37.33","36.55","36.57","13,057,240"
12/04/2023,"38.09","38.58","37.50","37.61","15,675,120"
12/01/2023,"37.84","39.46","37.74","39.24","18,671,381"
11/30/2023,"37.27","37.47","36.93","37.32","10,438,950"
11/29/2023,"37.43","37.58","36.77","37.17","9,792,329"
11/28/2023,"36.71","37.50","36.46","37.22","11,345,440"
11/27/2023,"36.53","36.67","36.16","36.59","8,251,556"
11/24/2023,"36.74","37.22","36.61","36.84","3,536,721"
11/22/2023,"36.80","37.04","36.52","36.89","7,624,507"
11/21/2023,"36.97","37.53","36.85","37.00","11,351,780"
