Date,Open,High,Low,Close,Volume
02/16/2024,"463.56","465.67","456.33","458.42","455,503"
02/15/2024,"464.43","466.72","460.13","464.02","238,492"
02/14/2024,"465.23","468.02","456.93","461.78","252,499"
02/13/2024,"465.91","466.76","458.66","463.33","286,551"
02/12/2024,"477.24","477.74","468.88","471.22","238,147"
02/09/2024,"469.97","477.65","469.97","477.59","196,881"
02/08/2024,"482.26","482.26","468.14","470.06","231,295"
02/07/2024,"480.00","483.91","477.48","483.06","164,993"
02/06/2024,"477.78","480.29","474.81","477.41","180,902"
02/05/2024,"484.21","485.91","476.26","477.40","205,035"
02/02/2024,"480.19","487.79","479.44","486.77","210,691"
02/01/2024,"476.02","484.57","474.26","484.57","174,601"
01/31/2024,"480.00","482.51","474.59","475.92","254,260"
01/30/2024,"472.59","479.70","472.59","479.24","136,040"
01/29/2024,"468.43","472.80","465.67","472.70","167,706"
01/26/2024,"472.23","472.92","469.58","470.67","128,962"
01/25/2024,"469.00","473.91","465.27","471.08","180,805"
01/24/2024,"472.56","473.69","469.85","470.85","155,775"
01/23/2024,"468.71","471.66","468.03","470.91","163,355"
01/22/2024,"464.12","468.81","463.78","467.77","166,510"
01/19/2024,"463.53","465.06","459.44","463.45","204,596"
01/18/2024,"460.49","462.46","458.08","461.18","147,994"
01/17/2024,"461.12","465.47","458.29","458.42","136,900"
01/16/2024,"465.00","465.84","460.14","462.23","176,915"
01/12/2024,"467.65","469.22","463.07","466.56","147,314"
01/11/2024,"463.97","465.45","459.22","464.96","214,236"
01/10/2024,"455.59","463.25","454.84","462.77","233,748"
01/09/2024,"456.49","460.09","454.28","454.51","152,249"
01/08/2024,"459.26","460.08","454.26","458.76","183,562"
01/05/2024,"458.25","460.00","454.99","456.58","182,682"
01/04/2024,"453.53","460.64","451.96","458.16","163,120"
01/03/2024,"462.43","463.39","454.14","454.72","244,028"
01/02/2024,"464.12","471.74","450.50","462.74","301,531"
12/29/2023,"473.30","478.35","473.30","477.05","148,783"
12/28/2023,"475.34","478.60","473.36","476.79","226,748"
12/27/2023,"472.64","474.73","470.77","474.21","162,938"
12/26/2023,"466.45","472.83","466.45","472.31","181,293"
12/22/2023,"472.68","475.00","465.62","469.13","250,677"
12/21/2023,"454.86","471.36","453.84","470.18","485,272"
12/20/2023,"445.44","461.73","444.30","452.32","435,363"
12/19/2023,"445.00","468.72","441.15","448.65","561,016"
12/18/2023,"459.46","460.18","455.19","458.48","358,885"
12/15/2023,"450.50","460.84","450.50","456.96","651,099"
12/14/2023,"458.94","461.66","452.60","454.00","321,546"
12/13/2023,"455.48","461.85","454.59","458.98","300,732"
12/12/2023,"449.61","453.43","446.95","453.20","299,571"
12/11/2023,"444.99","450.64","444.99","449.14","230,821"
12/08/2023,"439.96","444.64","439.03","443.89","228,773"
12/07/2023,"444.01","445.61","441.49","442.14","210,661"
12/06/2023,"448.37","450.69","441.47","443.54","229,414"
12/05/2023,"453.56","453.56","442.59","446.50","253,445"
12/04/2023,"451.09","455.94","448.91","454.30","250,998"
12/01/2023,"452.79","455.26","450.53","455.17","239,822"
11/30/2023,"454.67","455.24","450.18","453.46","734,824"
11/29/2023,"457.26","460.42","452.43","454.39","247,942"
11/28/2023,"459.92","463.81","456.54","456.54","140,844"
11/27/2023,"459.42","461.90","458.21","460.28","178,407"
11/24/2023,"458.63","462.07","454.94","460.11","95,522"
11/22/2023,"458.61","462.25","455.29","457.76","171,251"
11/21/2023,"457.37","461.26","455.89","457.41","228,167"
