Date,Open,High,Low,Close,Volume
02/16/2024,"235.81","238.19","234.45","237.59","2,113,042"
02/15/2024,"236.27","238.32","235.74","236.52","1,520,410"
02/14/2024,"237.42","237.70","235.31","236.83","1,454,009"
02/13/2024,"240.75","240.84","235.05","236.39","2,513,560"
02/12/2024,"242.71","244.60","241.86","244.44","1,773,250"
02/09/2024,"242.06","242.82","240.13","242.62","1,786,278"
02/08/2024,"241.90","243.34","240.41","241.75","1,847,276"
02/07/2024,"242.02","243.28","240.33","242.13","2,155,680"
02/06/2024,"238.90","243.78","238.71","241.32","2,625,108"
02/05/2024,"240.79","241.60","237.95","238.31","2,624,882"
02/02/2024,"241.50","243.82","239.34","242.36","1,999,383"
02/01/2024,"241.39","242.59","239.18","241.95","2,417,149"
01/31/2024,"243.41","244.45","240.54","241.29","2,990,634"
01/30/2024,"243.32","247.05","241.35","243.77","3,961,508"
01/29/2024,"250.86","251.01","246.01","248.03","2,612,201"
01/26/2024,"253.42","254.44","250.78","251.55","1,755,791"
01/25/2024,"251.85","254.85","251.46","253.13","1,714,542"
01/24/2024,"252.17","253.52","248.79","249.73","2,466,739"
01/23/2024,"251.18","251.84","249.30","250.85","1,633,893"
01/22/2024,"247.40","251.73","247.40","250.69","2,300,042"
01/19/2024,"244.79","246.65","242.02","246.53","2,430,484"
01/18/2024,"244.92","244.92","242.00","244.07","1,995,349"
01/17/2024,"242.00","244.79","241.50","243.29","1,904,154"
01/16/2024,"247.25","247.25","243.66","245.04","2,804,970"
01/12/2024,"250.27","251.53","247.60","248.57","1,603,988"
01/11/2024,"250.14","251.73","248.39","250.85","2,020,364"
01/10/2024,"246.79","251.09","246.03","250.81","1,968,739"
01/09/2024,"247.10","248.71","246.64","247.25","1,514,107"
01/08/2024,"248.27","249.84","246.11","248.59","2,226,695"
01/05/2024,"245.04","248.83","244.51","246.81","2,268,168"
01/04/2024,"247.25","247.74","245.08","245.29","2,911,784"
01/03/2024,"250.27","250.27","245.80","247.64","2,949,909"
01/02/2024,"251.51","252.94","250.23","252.24","2,488,189"
12/29/2023,"254.07","255.63","251.87","252.97","1,948,991"
12/28/2023,"250.78","253.98","250.60","253.58","2,246,942"
12/27/2023,"252.76","254.65","250.72","250.94","3,134,359"
12/26/2023,"250.00","253.29","249.20","251.99","3,594,475"
12/22/2023,"247.22","249.42","245.85","248.03","3,347,351"
12/21/2023,"248.11","248.75","244.63","247.36","5,851,662"
12/20/2023,"246.50","252.68","245.93","246.25","18,816,520"
12/19/2023,"281.07","283.58","278.50","280.00","6,880,302"
12/18/2023,"283.25","285.53","280.64","281.92","2,469,078"
12/15/2023,"277.85","284.52","276.89","281.29","2,767,757"
12/14/2023,"277.50","282.24","275.97","279.46","2,889,748"
12/13/2023,"272.04","274.87","268.56","273.83","1,499,964"
12/12/2023,"273.48","276.25","272.14","273.01","1,539,948"
12/11/2023,"271.96","273.90","271.09","271.38","1,295,508"
12/08/2023,"267.42","273.76","267.38","272.21","2,046,438"
12/07/2023,"268.00","268.98","265.53","267.63","1,401,366"
12/06/2023,"267.43","269.04","266.39","267.21","1,649,335"
12/05/2023,"264.22","267.28","262.51","266.08","1,176,323"
12/04/2023,"262.63","267.80","261.89","265.60","1,420,373"
12/01/2023,"259.15","265.30","258.53","264.42","1,994,950"
11/30/2023,"253.83","259.19","252.17","258.83","1,806,611"
11/29/2023,"255.59","257.26","253.43","253.93","1,012,088"
11/28/2023,"254.06","256.30","252.16","253.41","1,141,912"
11/27/2023,"255.83","256.84","251.66","253.60","1,787,553"
11/24/2023,"257.23","259.21","256.46","257.61","452,183"
11/22/2023,"257.56","257.56","255.12","256.46","954,899"
11/21/2023,"255.06","256.58","253.27","255.86","851,688"
