Date,Open,High,Low,Close,Volume
02/21/2024,"1,248.91","1,259.38","1,223.88","1,246.56","151,191"
02/20/2024,"1,278.76","1,278.76","1,252.69","1,259.20","153,381"
02/16/2024,"1,295.88","1,304.23","1,280.60","1,282.06","115,327"
02/15/2024,"1,299.64","1,307.49","1,283.23","1,302.70","143,552"
02/14/2024,"1,283.56","1,297.77","1,279.43","1,293.84","154,982"
02/13/2024,"1,269.68","1,289.88","1,257.78","1,269.48","272,961"
02/12/2024,"1,333.93","1,333.93","1,295.02","1,298.35","159,583"
02/09/2024,"1,327.95","1,336.39","1,317.42","1,323.81","118,953"
02/08/2024,"1,283.23","1,325.00","1,283.23","1,321.44","196,762"
02/07/2024,"1,263.63","1,286.75","1,261.96","1,280.45","168,593"
02/06/2024,"1,259.81","1,264.24","1,230.39","1,259.81","208,992"
02/05/2024,"1,256.13","1,258.79","1,233.87","1,256.13","100,646"
02/02/2024,"1,243.20","1,257.50","1,239.98","1,255.30","121,410"
02/01/2024,"1,198.83","1,243.65","1,198.83","1,243.17","159,725"
01/31/2024,"1,197.34","1,219.34","1,187.89","1,198.83","206,128"
01/30/2024,"1,216.62","1,222.72","1,196.99","1,197.06","195,248"
01/29/2024,"1,200.00","1,228.36","1,199.04","1,222.38","198,417"
01/26/2024,"1,235.50","1,275.92","1,195.01","1,196.36","407,235"
01/25/2024,"1,286.92","1,292.17","1,273.89","1,284.27","219,995"
01/24/2024,"1,307.14","1,307.14","1,274.55","1,275.55","181,995"
01/23/2024,"1,280.00","1,291.48","1,263.36","1,281.51","260,545"
01/22/2024,"1,272.00","1,297.45","1,264.52","1,288.32","248,384"
01/19/2024,"1,260.25","1,266.71","1,248.02","1,260.21","176,049"
01/18/2024,"1,237.25","1,253.48","1,231.99","1,250.42","130,868"
01/17/2024,"1,220.00","1,231.24","1,204.69","1,230.16","162,759"
01/16/2024,"1,230.00","1,254.42","1,211.59","1,224.39","214,680"
01/12/2024,"1,221.12","1,231.50","1,215.77","1,230.99","117,315"
01/11/2024,"1,204.27","1,215.69","1,190.57","1,214.84","105,107"
01/10/2024,"1,168.33","1,200.34","1,165.77","1,200.23","141,312"
01/09/2024,"1,144.84","1,163.94","1,139.75","1,159.66","109,963"
01/08/2024,"1,120.92","1,154.52","1,115.81","1,152.43","134,291"
01/05/2024,"1,115.52","1,132.40","1,113.19","1,115.46","164,641"
01/04/2024,"1,124.09","1,132.93","1,115.10","1,117.46","127,731"
01/03/2024,"1,131.16","1,135.00","1,116.12","1,122.37","158,588"
01/02/2024,"1,152.40","1,158.01","1,119.88","1,131.16","190,842"
12/29/2023,"1,168.10","1,176.22","1,155.27","1,164.01","97,009"
12/28/2023,"1,172.28","1,173.71","1,167.04","1,169.34","62,817"
12/27/2023,"1,163.99","1,175.35","1,162.34","1,170.61","115,164"
12/26/2023,"1,175.17","1,175.17","1,160.57","1,164.62","111,451"
12/22/2023,"1,175.61","1,175.61","1,160.26","1,168.88","67,053"
12/21/2023,"1,162.23","1,172.20","1,154.57","1,165.46","135,161"
12/20/2023,"1,152.51","1,180.56","1,149.92","1,155.15","130,052"
12/19/2023,"1,150.26","1,156.39","1,149.16","1,152.51","322,347"
12/18/2023,"1,135.00","1,152.53","1,130.75","1,148.77","359,591"
12/15/2023,"1,127.12","1,136.63","1,121.53","1,129.78","467,099"
12/14/2023,"1,181.69","1,185.42","1,123.56","1,129.59","423,633"
12/13/2023,"1,163.29","1,183.79","1,157.76","1,166.78","236,277"
12/12/2023,"1,140.19","1,159.67","1,132.73","1,159.22","160,563"
12/11/2023,"1,131.81","1,147.52","1,123.93","1,145.82","133,110"
12/08/2023,"1,114.12","1,140.85","1,112.92","1,134.39","130,079"
12/07/2023,"1,110.29","1,120.49","1,099.74","1,118.06","138,422"
12/06/2023,"1,133.58","1,140.51","1,108.17","1,111.61","161,954"
12/05/2023,"1,115.14","1,131.69","1,110.72","1,131.04","156,112"
12/04/2023,"1,120.00","1,151.49","1,117.26","1,122.43","191,052"
12/01/2023,"1,084.97","1,130.47","1,083.72","1,127.71","299,849"
11/30/2023,"1,075.00","1,092.15","1,070.37","1,087.60","370,491"
11/29/2023,"1,084.67","1,105.56","1,071.68","1,075.10","219,898"
11/28/2023,"1,077.76","1,089.73","1,067.36","1,073.31","161,249"
11/27/2023,"1,073.36","1,083.53","1,072.31","1,081.96","142,641"
11/24/2023,"1,061.96","1,070.96","1,061.96","1,069.54","36,011"
