Date,Open,High,Low,Close,Volume
02/20/2024,"63.09","63.77","62.92","62.96","2,964,530"
02/16/2024,"63.39","64.52","63.07","63.65","3,268,477"
02/15/2024,"62.89","63.86","62.80","63.65","2,915,890"
02/14/2024,"61.92","62.70","61.62","62.64","4,899,738"
02/13/2024,"61.52","61.72","60.39","61.24","3,777,239"
02/12/2024,"61.95","62.62","61.56","62.32","3,422,519"
02/09/2024,"61.28","62.11","61.28","61.76","3,294,413"
02/08/2024,"61.45","61.98","61.31","61.44","2,480,014"
02/07/2024,"62.01","62.04","60.84","61.67","2,955,151"
02/06/2024,"61.44","61.66","60.50","61.62","3,597,191"
02/05/2024,"61.47","62.14","61.26","61.71","3,001,828"
02/02/2024,"62.64","62.91","61.79","62.29","2,778,704"
02/01/2024,"62.51","63.24","61.55","62.87","4,684,154"
01/31/2024,"63.17","63.59","62.26","62.26","4,098,191"
01/30/2024,"63.12","63.42","62.46","63.15","4,985,656"
01/29/2024,"63.25","63.86","62.92","63.50","5,660,777"
01/26/2024,"62.06","63.85","62.06","63.51","5,929,764"
01/25/2024,"61.66","62.36","61.11","62.25","4,676,280"
01/24/2024,"60.42","61.11","59.90","61.06","16,353,950"
01/23/2024,"62.15","62.71","60.37","60.43","7,548,338"
01/22/2024,"60.41","61.98","60.32","61.83","8,135,538"
01/19/2024,"59.36","60.08","58.62","59.86","4,127,401"
01/18/2024,"59.72","59.85","58.24","59.01","6,111,673"
01/17/2024,"60.32","61.28","59.63","59.80","3,997,457"
01/16/2024,"61.25","61.78","60.82","61.16","4,524,029"
01/12/2024,"62.56","62.88","61.57","61.79","2,570,719"
01/11/2024,"62.46","62.66","61.59","62.30","3,960,179"
01/10/2024,"62.06","62.63","61.75","62.45","3,567,175"
01/09/2024,"62.97","63.83","62.08","62.17","4,280,788"
01/08/2024,"62.00","63.55","61.67","63.35","5,878,788"
01/05/2024,"60.41","61.83","60.24","61.41","4,634,506"
01/04/2024,"60.34","61.10","60.23","60.57","7,565,577"
01/03/2024,"60.66","60.92","59.94","60.21","3,794,267"
01/02/2024,"59.81","61.51","59.62","60.97","6,208,345"
12/29/2023,"60.58","61.19","59.96","60.07","2,647,304"
12/28/2023,"60.20","60.92","60.20","60.80","1,745,826"
12/27/2023,"60.51","60.75","60.10","60.40","1,778,024"
12/26/2023,"59.78","60.43","59.74","60.27","2,158,372"
12/22/2023,"60.00","60.39","59.46","59.94","2,843,760"
12/21/2023,"59.07","59.74","58.86","59.71","2,663,677"
12/20/2023,"59.50","60.13","58.85","58.88","2,450,118"
12/19/2023,"60.21","60.31","59.70","59.92","5,128,387"
12/18/2023,"59.82","60.42","59.29","60.04","6,678,035"
12/15/2023,"59.70","60.74","59.10","59.41","7,523,621"
12/14/2023,"60.85","61.89","59.41","60.36","9,352,245"
12/13/2023,"57.86","60.10","57.13","60.00","7,332,658"
12/12/2023,"58.67","58.85","57.50","57.84","7,215,557"
12/11/2023,"58.99","59.60","58.63","58.72","7,024,585"
12/08/2023,"58.95","59.21","58.43","58.94","15,519,350"
12/07/2023,"58.69","58.99","58.24","58.92","9,540,759"
12/06/2023,"59.98","60.56","58.65","58.96","8,202,456"
12/05/2023,"59.70","60.04","59.36","59.59","4,919,471"
12/04/2023,"59.49","60.29","59.49","59.93","6,297,905"
12/01/2023,"58.64","59.95","58.64","59.90","8,827,503"
11/30/2023,"58.40","59.07","58.33","58.64","8,568,480"
11/29/2023,"57.26","59.02","57.18","58.18","7,615,751"
11/28/2023,"56.00","57.34","55.98","56.91","6,094,993"
11/27/2023,"55.25","56.42","55.24","55.99","6,377,206"
11/24/2023,"54.67","55.55","54.65","55.50","2,094,009"
11/22/2023,"54.07","54.53","53.93","54.43","4,368,443"
