Date,Open,High,Low,Close,Volume
02/22/2024,"51.20","51.82","50.24","51.65","1,535,980"
02/21/2024,"50.79","51.32","50.03","51.11","1,807,337"
02/20/2024,"51.80","51.90","50.72","50.99","2,112,725"
02/16/2024,"51.48","52.79","51.10","52.34","1,969,818"
02/15/2024,"51.55","52.68","51.23","51.74","2,154,383"
02/14/2024,"51.89","52.10","50.60","51.13","2,571,283"
02/13/2024,"52.20","53.04","51.27","51.49","2,501,422"
02/12/2024,"51.91","53.96","51.51","53.61","2,259,644"
02/09/2024,"51.89","52.41","50.63","51.75","3,290,691"
02/08/2024,"54.40","54.86","51.59","52.04","2,738,639"
02/07/2024,"53.51","55.38","53.34","54.65","3,777,114"
02/06/2024,"52.10","57.33","52.00","53.45","5,842,622"
02/05/2024,"60.00","61.42","59.75","60.42","3,620,437"
02/02/2024,"61.74","62.10","60.03","61.43","2,948,738"
02/01/2024,"58.34","62.17","58.06","62.14","3,790,860"
01/31/2024,"57.59","58.31","56.18","56.20","1,387,548"
01/30/2024,"57.22","58.25","57.00","57.49","922,483"
01/29/2024,"58.14","58.18","56.62","57.80","1,143,218"
01/26/2024,"58.34","59.08","57.95","58.35","1,145,300"
01/25/2024,"57.50","57.91","56.30","57.47","864,072"
01/24/2024,"58.11","58.44","56.27","57.01","1,326,783"
01/23/2024,"57.50","58.04","56.92","57.82","1,409,131"
01/22/2024,"55.14","56.43","54.88","56.40","1,303,267"
01/19/2024,"55.17","56.03","54.38","55.65","1,489,912"
01/18/2024,"55.35","55.47","54.31","55.04","1,233,805"
01/17/2024,"56.21","56.80","54.95","55.47","1,546,931"
01/16/2024,"57.50","57.65","56.06","57.04","2,002,990"
01/12/2024,"59.48","59.70","58.11","58.21","1,016,224"
01/11/2024,"59.70","59.98","58.75","58.93","1,339,759"
01/10/2024,"59.93","60.49","59.22","59.51","1,098,842"
01/09/2024,"61.07","61.54","60.06","60.59","1,018,520"
01/08/2024,"60.39","61.90","59.86","61.58","1,085,915"
01/05/2024,"59.99","61.41","59.31","60.78","1,129,929"
01/04/2024,"61.64","61.97","59.86","60.27","1,959,698"
01/03/2024,"64.07","64.50","60.94","61.19","1,815,708"
01/02/2024,"62.81","65.81","62.81","64.84","1,776,744"
12/29/2023,"62.83","63.40","62.60","63.05","1,405,085"
12/28/2023,"63.68","63.68","63.08","63.31","1,097,286"
12/27/2023,"63.57","63.98","63.21","63.63","1,194,374"
12/26/2023,"63.00","64.00","62.65","63.74","1,180,591"
12/22/2023,"62.46","63.63","62.10","62.74","1,655,858"
12/21/2023,"60.57","62.11","60.18","62.10","1,804,343"
12/20/2023,"60.72","61.21","59.56","59.73","2,172,371"
12/19/2023,"59.90","61.14","59.48","60.98","1,961,627"
12/18/2023,"59.78","59.78","58.12","58.89","1,690,464"
12/15/2023,"60.00","60.50","59.51","59.51","4,583,795"
12/14/2023,"58.84","61.57","58.84","60.23","2,532,793"
12/13/2023,"54.54","57.76","54.34","57.76","1,508,964"
12/12/2023,"55.80","55.88","54.24","54.65","1,346,232"
12/11/2023,"55.66","56.03","55.09","55.80","1,758,074"
12/08/2023,"55.95","56.57","55.36","55.88","1,307,737"
12/07/2023,"54.93","56.37","54.75","55.37","1,804,948"
12/06/2023,"54.22","55.59","53.81","55.21","1,413,740"
12/05/2023,"55.07","55.18","53.54","53.78","1,754,734"
12/04/2023,"55.50","56.58","55.14","55.42","1,866,115"
12/01/2023,"54.03","55.86","53.28","55.75","2,116,550"
11/30/2023,"52.96","53.69","51.98","53.66","3,168,002"
11/29/2023,"52.62","53.76","52.13","52.68","1,288,114"
11/28/2023,"51.97","52.80","51.24","52.37","1,249,577"
11/27/2023,"52.50","52.85","51.62","52.00","1,578,442"
11/24/2023,"53.33","53.89","52.88","53.09","497,699"
