Date,Open,High,Low,Close,Volume
02/22/2024,"27.46","27.62","27.22","27.41","957,776"
02/21/2024,"27.61","27.66","27.14","27.46","1,048,726"
02/20/2024,"27.84","28.01","27.59","27.63","1,216,888"
02/16/2024,"28.15","28.16","27.78","27.95","1,131,163"
02/15/2024,"27.81","28.30","27.75","28.14","1,478,466"
02/14/2024,"27.43","27.86","27.28","27.74","1,097,753"
02/13/2024,"27.83","27.83","26.97","27.36","1,381,351"
02/12/2024,"27.46","28.16","27.43","28.01","1,363,817"
02/09/2024,"26.72","27.58","26.61","27.45","1,916,505"
02/08/2024,"27.37","27.72","26.41","26.62","2,124,970"
02/07/2024,"30.50","30.50","27.31","27.44","2,547,114"
02/06/2024,"29.24","29.55","29.03","29.34","1,037,733"
02/05/2024,"29.29","29.46","29.16","29.18","1,004,058"
02/02/2024,"29.86","30.01","29.43","29.56","1,050,607"
02/01/2024,"30.01","30.16","29.58","30.12","927,854"
01/31/2024,"29.91","30.41","29.70","30.01","1,813,045"
01/30/2024,"29.89","30.00","29.75","29.80","641,853"
01/29/2024,"29.75","29.94","29.61","29.92","738,062"
01/26/2024,"29.74","29.89","29.66","29.74","731,511"
01/25/2024,"29.25","29.82","29.25","29.71","1,149,127"
01/24/2024,"29.37","29.37","28.97","29.06","796,719"
01/23/2024,"29.14","29.37","28.93","29.18","678,725"
01/22/2024,"28.79","29.11","28.78","28.94","766,179"
01/19/2024,"28.72","28.81","28.33","28.73","798,482"
01/18/2024,"28.44","28.71","28.21","28.58","989,073"
01/17/2024,"28.26","28.67","28.16","28.38","919,182"
01/16/2024,"28.68","28.68","28.21","28.45","978,964"
01/12/2024,"28.76","28.90","28.52","28.75","779,983"
01/11/2024,"28.48","28.67","28.21","28.62","1,529,145"
01/10/2024,"27.97","28.57","27.78","28.50","1,283,869"
01/09/2024,"28.25","28.46","28.12","28.17","1,185,293"
01/08/2024,"28.10","28.56","27.97","28.48","934,081"
01/05/2024,"27.99","28.45","27.92","28.10","1,318,207"
01/04/2024,"28.03","28.11","27.77","27.99","1,257,669"
01/03/2024,"28.00","28.29","27.83","27.97","980,738"
01/02/2024,"27.79","28.41","27.46","28.14","1,510,726"
12/29/2023,"27.67","27.77","27.49","27.65","1,158,621"
12/28/2023,"27.70","27.90","27.57","27.70","852,707"
12/27/2023,"27.82","27.88","27.61","27.64","1,297,320"
12/26/2023,"27.83","27.90","27.41","27.85","968,407"
12/22/2023,"27.90","28.22","27.59","27.75","1,204,781"
12/21/2023,"27.60","27.98","27.35","27.89","1,068,229"
12/20/2023,"27.90","28.00","27.43","27.46","1,904,187"
12/19/2023,"27.67","27.90","27.55","27.90","1,544,439"
12/18/2023,"27.79","27.86","27.37","27.63","2,049,266"
12/15/2023,"28.01","28.17","27.53","27.65","3,906,014"
12/14/2023,"27.90","28.70","27.85","28.00","2,475,986"
12/13/2023,"27.09","27.61","26.81","27.61","2,206,476"
12/12/2023,"27.70","27.70","27.07","27.15","1,944,074"
12/11/2023,"27.98","28.07","27.62","27.62","2,324,078"
12/08/2023,"27.40","28.12","27.40","28.01","1,794,781"
12/07/2023,"27.32","27.62","27.20","27.33","2,187,547"
12/06/2023,"27.59","27.67","27.22","27.29","2,239,711"
12/05/2023,"28.05","28.09","27.13","27.46","2,199,887"
12/04/2023,"28.19","28.43","27.98","28.17","3,508,101"
12/01/2023,"27.78","28.42","27.66","28.26","1,404,920"
11/30/2023,"27.66","27.84","27.41","27.66","4,057,716"
11/29/2023,"28.11","28.11","27.47","27.69","1,813,635"
11/28/2023,"28.26","28.26","27.85","27.88","1,329,589"
11/27/2023,"28.39","28.39","28.13","28.24","2,251,324"
11/24/2023,"28.42","28.59","28.41","28.44","1,046,295"
