Date,Open,High,Low,Close,Volume
02/16/2024,"157.64","159.44","155.03","156.98","1,155,514"
02/15/2024,"160.00","163.43","157.75","159.78","1,952,989"
02/14/2024,"156.46","158.59","153.70","158.24","1,742,477"
02/13/2024,"150.00","155.41","149.79","152.34","2,509,795"
02/12/2024,"152.40","159.28","151.13","157.22","2,844,699"
02/09/2024,"144.50","153.02","144.00","151.50","2,749,313"
02/08/2024,"146.12","146.13","142.00","143.17","1,487,659"
02/07/2024,"148.40","150.27","142.56","145.46","2,270,025"
02/06/2024,"139.95","142.44","138.41","141.11","2,027,159"
02/05/2024,"138.86","140.77","135.88","139.80","2,217,580"
02/02/2024,"143.98","144.02","138.83","141.82","2,620,115"
02/01/2024,"149.78","154.31","146.81","147.89","2,311,876"
01/31/2024,"149.00","154.92","146.05","146.30","2,418,956"
01/30/2024,"148.40","150.75","146.49","149.03","1,354,076"
01/29/2024,"146.99","149.33","144.33","149.30","1,652,745"
01/26/2024,"149.06","150.65","147.42","147.83","1,148,632"
01/25/2024,"150.19","151.28","145.91","149.23","1,521,170"
01/24/2024,"153.54","154.13","148.25","148.87","1,600,520"
01/23/2024,"153.88","157.67","149.80","151.46","1,773,202"
01/22/2024,"148.49","159.23","147.94","149.91","2,747,436"
01/19/2024,"147.69","147.77","140.07","145.92","3,164,490"
01/18/2024,"148.73","148.94","145.71","147.45","1,700,253"
01/17/2024,"145.95","147.46","143.76","147.26","1,988,595"
01/16/2024,"159.56","159.56","148.90","149.10","3,035,624"
01/12/2024,"160.52","162.92","157.55","160.44","1,290,200"
01/11/2024,"162.49","163.64","158.38","160.29","1,535,571"
01/10/2024,"166.69","166.76","159.71","162.33","1,903,097"
01/09/2024,"164.79","167.71","163.40","166.91","1,224,048"
01/08/2024,"164.72","167.05","161.55","166.13","1,544,126"
01/05/2024,"165.08","170.50","164.50","166.87","1,106,060"
01/04/2024,"166.43","168.27","164.32","166.31","1,265,855"
01/03/2024,"169.00","170.42","164.12","167.42","1,954,549"
01/02/2024,"170.98","177.89","169.36","172.16","1,766,736"
12/29/2023,"173.45","173.95","171.10","172.28","1,079,219"
12/28/2023,"172.53","176.08","171.23","173.22","1,108,174"
12/27/2023,"173.20","174.89","170.94","172.44","1,071,837"
12/26/2023,"170.81","173.75","170.55","171.94","985,276"
12/22/2023,"171.23","172.06","169.16","170.39","1,314,664"
12/21/2023,"167.54","171.95","165.29","170.04","2,102,905"
12/20/2023,"172.00","172.14","162.69","164.60","2,948,858"
12/19/2023,"167.91","177.51","167.00","172.66","3,839,145"
12/18/2023,"166.50","169.36","162.95","165.94","2,583,398"
12/15/2023,"164.45","169.21","160.10","168.67","6,053,912"
12/14/2023,"151.69","164.16","151.32","158.25","5,557,826"
12/13/2023,"138.27","146.77","137.17","146.56","3,215,794"
12/12/2023,"145.74","146.38","137.54","139.90","3,489,342"
12/11/2023,"145.31","149.20","144.27","146.11","1,896,996"
12/08/2023,"150.99","153.24","142.59","145.38","4,314,178"
12/07/2023,"145.37","146.37","142.48","144.18","2,367,516"
12/06/2023,"156.75","156.82","144.98","145.29","3,281,533"
12/05/2023,"158.41","160.45","155.08","155.39","1,608,805"
12/04/2023,"161.15","165.71","159.46","159.54","1,933,424"
12/01/2023,"157.54","161.08","154.50","160.29","2,133,683"
11/30/2023,"155.96","158.27","152.52","157.78","2,705,503"
11/29/2023,"158.00","160.82","154.60","155.43","1,722,772"
11/28/2023,"153.27","156.98","151.52","155.02","1,287,648"
11/27/2023,"153.30","157.64","151.87","154.65","1,612,647"
11/24/2023,"159.01","159.08","154.17","154.38","1,111,296"
11/22/2023,"160.00","161.56","158.89","159.72","1,312,524"
11/21/2023,"159.84","162.48","158.06","158.60","1,380,651"
