Date,Open,High,Low,Close,Volume
02/16/2024,"269.98","271.18","268.89","269.44","702,718"
02/15/2024,"269.68","270.96","268.54","270.00","801,479"
02/14/2024,"268.31","269.22","263.10","269.10","1,629,840"
02/13/2024,"269.93","270.90","265.11","267.22","1,164,204"
02/12/2024,"269.98","270.97","269.21","269.44","696,309"
02/09/2024,"270.07","271.37","269.06","270.14","878,245"
02/08/2024,"269.00","269.44","267.12","269.00","617,092"
02/07/2024,"269.50","270.15","267.95","269.09","1,058,802"
02/06/2024,"266.10","267.79","264.64","267.69","814,601"
02/05/2024,"264.00","267.07","262.50","265.52","1,032,428"
02/02/2024,"265.74","266.40","264.33","265.27","1,949,414"
02/01/2024,"265.65","267.24","263.07","266.87","1,715,158"
01/31/2024,"269.00","269.50","263.84","264.99","2,305,088"
01/30/2024,"266.29","269.37","265.99","268.67","2,040,351"
01/29/2024,"264.57","265.91","263.20","264.78","961,685"
01/26/2024,"266.56","267.97","262.05","265.07","1,329,931"
01/25/2024,"261.76","265.97","261.16","265.86","1,968,787"
01/24/2024,"252.32","263.69","251.62","261.18","2,749,487"
01/23/2024,"250.35","252.10","247.88","249.37","1,775,553"
01/22/2024,"249.50","251.32","248.70","249.76","2,043,282"
01/19/2024,"251.50","251.50","248.98","249.34","1,410,323"
01/18/2024,"249.04","251.10","247.36","250.95","907,695"
01/17/2024,"249.23","252.10","249.00","249.97","882,739"
01/16/2024,"254.29","254.70","249.72","250.65","1,038,498"
01/12/2024,"251.34","254.91","251.34","254.81","1,107,546"
01/11/2024,"251.76","252.35","248.09","249.94","1,500,115"
01/10/2024,"251.24","253.01","250.81","251.25","877,919"
01/09/2024,"253.77","253.77","250.89","251.24","1,255,981"
01/08/2024,"253.00","253.85","250.88","253.82","1,257,124"
01/05/2024,"256.59","257.00","253.41","253.90","959,670"
01/04/2024,"258.75","259.00","256.00","256.18","1,096,846"
01/03/2024,"259.55","261.39","256.50","256.54","1,378,672"
01/02/2024,"259.67","261.14","257.62","258.60","992,514"
12/29/2023,"258.52","259.88","257.85","259.67","812,338"
12/28/2023,"257.97","258.79","257.47","258.14","569,704"
12/27/2023,"255.38","257.73","255.08","257.43","750,986"
12/26/2023,"254.04","256.81","253.85","256.21","637,901"
12/22/2023,"253.37","255.26","252.56","254.10","650,642"
12/21/2023,"251.00","252.97","250.00","252.43","702,281"
12/20/2023,"253.12","253.97","249.40","249.56","1,018,223"
12/19/2023,"252.71","253.98","252.25","253.89","738,976"
12/18/2023,"252.66","253.93","251.77","252.87","708,697"
12/15/2023,"249.64","252.74","249.35","252.55","2,410,879"
12/14/2023,"255.40","255.56","248.58","251.15","1,778,754"
12/13/2023,"253.66","256.32","253.03","255.85","1,287,264"
12/12/2023,"252.01","254.35","251.70","253.20","863,986"
12/11/2023,"252.02","253.64","252.02","252.42","704,582"
12/08/2023,"251.75","253.19","251.75","252.29","968,475"
12/07/2023,"252.72","254.76","250.52","251.49","895,769"
12/06/2023,"250.89","252.85","250.26","251.95","874,733"
12/05/2023,"252.23","252.61","250.20","250.89","925,879"
12/04/2023,"248.55","252.25","248.11","252.21","1,618,211"
12/01/2023,"247.09","249.69","246.81","249.69","842,922"
11/30/2023,"245.59","247.30","245.01","246.97","951,109"
11/29/2023,"245.22","246.00","243.87","244.83","835,248"
11/28/2023,"247.40","247.53","245.07","245.22","846,814"
11/27/2023,"247.71","247.71","245.51","246.36","717,868"
11/24/2023,"247.68","248.55","247.44","247.83","338,962"
11/22/2023,"245.81","247.45","245.46","247.33","617,665"
11/21/2023,"246.11","247.51","245.37","246.41","806,460"
