Date,Open,High,Low,Close,Volume
02/20/2024,"149.02","150.34","147.82","148.62","5,719,073"
02/16/2024,"148.95","150.36","148.51","149.16","6,876,932"
02/15/2024,"147.00","148.89","146.79","148.37","6,885,487"
02/14/2024,"143.00","146.90","142.35","146.50","10,467,750"
02/13/2024,"139.83","141.79","138.69","141.77","7,226,569"
02/12/2024,"139.54","140.82","138.90","140.17","3,604,384"
02/09/2024,"139.01","139.43","138.21","139.28","3,451,587"
02/08/2024,"138.65","139.48","138.25","139.05","3,453,420"
02/07/2024,"138.62","138.83","137.93","138.50","4,635,022"
02/06/2024,"137.68","138.39","136.58","137.58","4,809,777"
02/05/2024,"135.98","138.64","135.75","137.71","5,712,662"
02/02/2024,"135.43","137.41","135.04","136.54","4,871,483"
02/01/2024,"133.03","135.46","132.47","135.41","4,940,626"
01/31/2024,"133.77","134.47","132.12","132.42","4,990,804"
01/30/2024,"131.48","134.28","131.22","133.93","6,282,004"
01/29/2024,"131.40","132.14","129.69","131.10","4,889,486"
01/26/2024,"130.53","132.24","130.39","131.19","3,748,178"
01/25/2024,"130.64","132.50","129.69","129.93","4,857,644"
01/24/2024,"130.27","130.39","126.45","129.93","8,607,471"
01/23/2024,"127.63","131.88","126.50","129.95","10,641,530"
01/22/2024,"130.28","132.27","130.26","131.23","8,022,739"
01/19/2024,"128.70","130.05","127.44","129.81","4,911,878"
01/18/2024,"127.20","128.67","126.77","128.55","5,194,038"
01/17/2024,"127.42","128.68","126.19","126.88","4,015,272"
01/16/2024,"129.20","129.85","127.24","127.97","5,039,557"
01/12/2024,"130.60","130.80","129.18","129.79","4,501,735"
01/11/2024,"130.12","130.20","127.81","129.83","4,001,601"
01/10/2024,"128.70","130.17","128.51","129.70","3,648,349"
01/09/2024,"127.27","128.78","126.95","128.78","3,842,824"
01/08/2024,"126.22","128.43","124.21","128.28","5,522,833"
01/05/2024,"124.90","126.34","124.73","126.29","3,344,122"
01/04/2024,"124.30","125.77","124.17","124.66","3,483,045"
01/03/2024,"125.12","125.22","123.65","124.06","3,616,873"
01/02/2024,"127.01","128.15","125.24","125.95","4,141,809"
12/29/2023,"128.24","128.48","126.96","127.63","3,544,414"
12/28/2023,"128.00","129.20","127.81","128.32","3,164,816"
12/27/2023,"126.90","128.41","126.85","128.20","2,645,078"
12/26/2023,"126.80","127.71","126.64","127.47","1,979,343"
12/22/2023,"127.39","128.03","126.18","126.69","3,216,758"
12/21/2023,"124.23","127.05","124.19","126.97","4,138,231"
12/20/2023,"125.43","126.22","123.22","123.37","4,973,580"
12/19/2023,"123.70","125.98","123.70","125.94","4,754,316"
12/18/2023,"123.67","123.84","123.10","123.64","4,155,012"
12/15/2023,"122.41","123.67","121.83","123.23","10,842,950"
12/14/2023,"121.13","122.40","119.90","121.35","8,343,367"
12/13/2023,"122.13","122.36","120.52","121.18","4,394,490"
12/12/2023,"120.99","122.48","120.61","122.32","3,722,697"
12/11/2023,"120.59","120.91","119.64","120.28","3,706,195"
12/08/2023,"119.10","120.82","118.98","120.59","3,930,961"
12/07/2023,"119.50","120.02","118.17","119.48","4,042,047"
12/06/2023,"121.08","122.58","119.70","119.81","3,163,754"
12/05/2023,"121.01","121.18","119.99","120.23","2,943,496"
12/04/2023,"121.81","122.41","121.16","121.53","3,788,738"
12/01/2023,"121.70","123.25","121.47","122.50","4,524,030"
11/30/2023,"119.05","121.84","118.90","121.80","8,120,186"
11/29/2023,"119.52","119.70","118.45","118.86","3,027,147"
11/28/2023,"119.97","120.11","118.56","118.85","3,494,079"
11/27/2023,"119.70","120.32","119.32","119.97","3,179,905"
11/24/2023,"119.98","120.35","119.68","119.97","1,581,783"
11/22/2023,"119.90","120.49","119.36","119.60","3,012,034"
