Date,Open,High,Low,Close,Volume
02/16/2024,"21.32","21.57","21.12","21.36","5,314,817"
02/15/2024,"21.33","21.78","21.28","21.39","4,965,112"
02/14/2024,"21.48","21.55","21.22","21.32","6,387,261"
02/13/2024,"21.36","21.58","21.03","21.36","8,376,558"
02/12/2024,"21.36","22.01","21.31","21.90","6,429,521"
02/09/2024,"21.01","21.39","20.92","21.35","6,126,704"
02/08/2024,"20.91","20.96","20.61","20.87","5,527,495"
02/07/2024,"20.83","21.07","20.62","20.91","6,520,987"
02/06/2024,"21.05","21.12","20.51","20.59","6,673,241"
02/05/2024,"21.23","21.52","20.80","21.09","10,740,900"
02/02/2024,"22.38","22.47","19.08","21.23","24,620,619"
02/01/2024,"23.54","24.05","23.35","23.92","4,403,630"
01/31/2024,"24.03","24.10","23.42","23.48","3,987,424"
01/30/2024,"24.22","24.37","23.79","23.97","5,251,422"
01/29/2024,"24.00","24.23","23.83","24.18","4,264,530"
01/26/2024,"23.86","23.93","23.55","23.77","2,883,256"
01/25/2024,"23.72","24.00","23.64","23.84","3,295,904"
01/24/2024,"23.80","23.80","23.42","23.50","1,953,086"
01/23/2024,"23.64","23.80","23.54","23.57","2,780,873"
01/22/2024,"23.61","23.80","23.51","23.56","2,740,436"
01/19/2024,"23.08","23.50","22.85","23.48","3,689,275"
01/18/2024,"22.86","23.00","22.73","22.97","2,550,059"
01/17/2024,"22.98","23.09","22.59","22.82","3,764,125"
01/16/2024,"22.89","23.15","22.56","23.15","3,597,293"
01/12/2024,"23.19","23.50","23.05","23.09","3,675,591"
01/11/2024,"22.95","23.12","22.67","23.03","3,674,521"
01/10/2024,"22.57","22.86","22.57","22.82","2,077,648"
01/09/2024,"22.57","22.81","22.55","22.56","2,491,964"
01/08/2024,"22.41","22.80","22.27","22.79","2,488,645"
01/05/2024,"22.24","22.53","22.24","22.40","4,908,644"
01/04/2024,"22.45","22.61","22.29","22.33","2,644,890"
01/03/2024,"22.68","22.82","22.43","22.46","2,738,814"
01/02/2024,"22.73","22.92","22.44","22.79","3,361,837"
12/29/2023,"22.96","22.98","22.72","22.82","2,132,765"
12/28/2023,"23.00","23.07","22.89","22.98","1,500,045"
12/27/2023,"23.22","23.22","22.95","23.00","1,662,322"
12/26/2023,"23.07","23.33","23.01","23.22","1,378,211"
12/22/2023,"23.30","23.39","22.89","23.14","2,001,855"
12/21/2023,"22.96","23.23","22.85","23.18","2,721,912"
12/20/2023,"23.19","23.29","22.76","22.79","2,676,850"
12/19/2023,"23.22","23.32","22.92","23.29","2,292,450"
12/18/2023,"23.15","23.39","23.03","23.18","3,088,069"
12/15/2023,"22.98","23.33","22.90","23.18","9,620,843"
12/14/2023,"22.73","22.97","22.50","22.95","4,123,791"
12/13/2023,"22.34","22.70","22.09","22.52","3,212,550"
12/12/2023,"22.26","22.48","22.14","22.36","2,584,453"
12/11/2023,"22.17","22.37","22.01","22.22","2,618,601"
12/08/2023,"22.16","22.26","21.97","22.15","2,994,071"
12/07/2023,"22.21","22.40","22.08","22.27","2,747,774"
12/06/2023,"22.41","22.48","22.11","22.13","3,198,170"
12/05/2023,"22.30","22.34","22.11","22.25","3,082,950"
12/04/2023,"22.23","22.76","22.18","22.48","4,201,145"
12/01/2023,"22.10","22.37","21.80","22.34","3,872,963"
11/30/2023,"21.91","22.39","21.87","22.08","17,242,520"
11/29/2023,"21.55","21.87","21.46","21.77","4,751,565"
11/28/2023,"21.30","21.55","21.16","21.33","5,997,863"
11/27/2023,"21.27","21.57","21.20","21.33","5,597,732"
11/24/2023,"21.20","21.32","20.92","21.27","1,841,226"
11/22/2023,"21.16","21.34","21.04","21.19","3,758,475"
11/21/2023,"21.39","21.76","20.95","21.07","6,957,058"
