Date,Open,High,Low,Close,Volume
02/16/2024,"73.00","73.09","71.37","71.58","12,823,250"
02/15/2024,"73.04","73.57","72.81","73.37","5,482,851"
02/14/2024,"73.11","73.83","72.83","73.04","7,487,680"
02/13/2024,"74.69","74.77","72.97","73.53","8,560,069"
02/12/2024,"73.41","75.14","73.11","74.45","7,605,845"
02/09/2024,"73.82","74.12","72.81","73.67","10,718,250"
02/08/2024,"74.40","74.59","73.03","73.80","8,815,205"
02/07/2024,"76.21","76.45","73.94","74.42","12,449,830"
02/06/2024,"76.87","77.87","76.71","77.72","8,121,246"
02/05/2024,"76.65","77.05","76.01","76.71","6,690,385"
02/02/2024,"77.61","77.99","76.91","76.96","7,588,850"
02/01/2024,"78.00","78.58","77.40","78.16","7,697,961"
01/31/2024,"78.79","79.03","78.01","78.26","7,637,274"
01/30/2024,"78.80","78.90","77.96","78.62","8,102,375"
01/29/2024,"79.65","80.01","78.91","79.07","6,585,955"
01/26/2024,"80.23","80.51","79.40","79.52","5,481,416"
01/25/2024,"80.08","81.06","79.55","80.23","8,337,419"
01/24/2024,"79.56","79.90","78.48","79.53","7,563,017"
01/23/2024,"78.54","79.88","78.39","79.48","7,837,815"
01/22/2024,"80.50","80.75","77.37","78.43","20,378,551"
01/19/2024,"86.38","87.87","86.09","87.29","6,400,664"
01/18/2024,"85.76","86.55","85.33","86.40","6,260,570"
01/17/2024,"85.83","86.58","85.57","86.48","5,809,469"
01/16/2024,"85.85","86.09","85.31","85.99","5,139,530"
01/12/2024,"85.88","86.45","85.64","86.38","5,884,164"
01/11/2024,"84.32","85.48","84.04","85.39","5,862,246"
01/10/2024,"83.90","84.94","83.37","84.50","8,386,587"
01/09/2024,"83.52","86.29","83.19","86.06","7,601,842"
01/08/2024,"82.86","84.07","82.50","83.99","8,641,184"
01/05/2024,"84.30","84.52","83.25","83.31","7,369,160"
01/04/2024,"83.79","84.95","83.44","84.48","5,881,040"
01/03/2024,"83.65","84.21","82.97","83.48","7,329,590"
01/02/2024,"80.91","83.76","80.87","83.24","7,417,495"
12/29/2023,"81.07","81.30","80.69","81.01","3,586,926"
12/28/2023,"80.52","81.26","80.38","81.14","3,553,165"
12/27/2023,"80.11","80.75","79.74","80.37","3,541,252"
12/26/2023,"79.72","80.06","79.39","79.95","2,659,492"
12/22/2023,"79.20","80.00","79.16","79.66","4,109,738"
12/21/2023,"78.82","79.42","78.52","78.93","3,791,022"
12/20/2023,"79.66","79.78","78.58","78.59","5,227,782"
12/19/2023,"79.58","80.02","79.22","79.49","7,452,371"
12/18/2023,"80.63","80.63","79.43","79.50","4,926,692"
12/15/2023,"81.35","82.31","80.10","80.33","20,354,199"
12/14/2023,"82.40","82.46","81.07","81.78","8,531,101"
12/13/2023,"81.30","83.12","80.89","83.09","10,582,410"
12/12/2023,"80.78","81.18","80.06","80.82","6,118,338"
12/11/2023,"79.63","80.84","79.46","80.09","8,189,977"
12/08/2023,"78.11","79.24","77.94","79.02","6,568,994"
12/07/2023,"79.58","79.81","77.85","78.05","8,588,558"
12/06/2023,"79.25","80.18","79.04","79.36","5,745,464"
12/05/2023,"78.37","79.28","77.85","79.02","6,277,013"
12/04/2023,"77.29","78.47","77.16","78.34","8,194,691"
12/01/2023,"76.78","77.66","76.20","77.65","5,400,471"
11/30/2023,"75.38","76.74","75.31","76.60","10,393,740"
11/29/2023,"74.85","75.45","74.68","75.23","5,091,775"
11/28/2023,"74.80","74.95","74.19","74.51","6,792,720"
11/27/2023,"75.11","75.30","74.52","74.92","4,552,184"
11/24/2023,"75.89","75.99","75.03","75.38","1,931,048"
11/22/2023,"74.99","75.73","74.90","75.70","4,419,129"
11/21/2023,"76.00","76.15","74.54","74.69","5,120,372"
