Date,Open,High,Low,Close,Volume
02/20/2024,"64.69","66.00","64.25","65.78","5,978,436"
02/16/2024,"63.10","64.49","62.69","64.10","5,854,857"
02/15/2024,"62.66","63.43","62.55","63.29","3,097,501"
02/14/2024,"62.72","62.95","61.48","62.37","4,176,938"
02/13/2024,"63.26","63.72","62.39","62.93","3,866,004"
02/12/2024,"62.15","63.11","61.99","63.08","3,399,140"
02/09/2024,"63.80","63.92","62.09","62.34","4,260,351"
02/08/2024,"63.50","64.67","63.22","64.06","4,001,663"
02/07/2024,"65.01","65.16","63.63","63.71","3,651,204"
02/06/2024,"63.56","65.34","63.47","64.83","4,652,353"
02/05/2024,"64.55","64.75","63.52","63.53","3,259,485"
02/02/2024,"64.99","65.33","64.39","64.80","4,384,318"
02/01/2024,"64.64","65.48","63.93","64.83","3,855,563"
01/31/2024,"65.44","65.92","64.82","64.91","4,579,656"
01/30/2024,"64.38","65.39","64.30","65.35","3,020,897"
01/29/2024,"64.61","64.76","64.15","64.26","3,226,612"
01/26/2024,"64.78","64.88","64.39","64.51","2,821,308"
01/25/2024,"63.86","64.58","63.58","64.47","3,071,072"
01/24/2024,"64.65","64.68","63.60","63.64","3,491,525"
01/23/2024,"63.39","64.95","63.39","64.75","4,433,602"
01/22/2024,"63.03","63.45","62.49","63.18","4,328,404"
01/19/2024,"63.43","63.44","62.65","63.15","3,765,937"
01/18/2024,"62.72","63.33","62.39","63.31","3,860,609"
01/17/2024,"62.69","63.67","62.56","63.09","4,829,310"
01/16/2024,"63.59","63.94","62.74","62.83","4,101,941"
01/12/2024,"63.42","63.59","63.08","63.39","4,299,573"
01/11/2024,"63.07","63.43","62.62","63.06","5,727,140"
01/10/2024,"64.04","64.30","62.94","63.15","4,566,094"
01/09/2024,"64.04","64.73","63.56","64.38","4,779,259"
01/08/2024,"64.92","65.14","64.52","64.64","4,030,928"
01/05/2024,"65.70","65.90","64.32","64.99","4,016,224"
01/04/2024,"66.73","66.85","65.70","65.74","3,888,017"
01/03/2024,"67.12","67.68","66.64","66.73","5,477,853"
01/02/2024,"65.00","66.93","65.00","66.75","5,264,180"
12/29/2023,"64.90","65.47","64.72","65.14","3,808,725"
12/28/2023,"64.65","65.09","64.65","64.97","2,370,450"
12/27/2023,"64.63","64.82","64.26","64.74","2,580,984"
12/26/2023,"64.31","64.82","64.14","64.70","3,140,176"
12/22/2023,"64.35","65.02","64.17","64.51","3,211,106"
12/21/2023,"64.40","65.21","63.60","64.21","4,637,958"
12/20/2023,"63.95","65.50","63.90","64.33","7,992,601"
12/19/2023,"66.63","66.83","66.17","66.71","4,827,945"
12/18/2023,"65.32","66.61","65.08","66.34","5,446,028"
12/15/2023,"65.67","66.00","64.93","65.22","11,833,550"
12/14/2023,"68.07","68.24","66.29","66.32","6,086,258"
12/13/2023,"66.74","68.06","66.61","67.84","4,381,101"
12/12/2023,"66.33","66.75","65.90","66.74","3,841,520"
12/11/2023,"65.40","66.14","65.39","66.08","3,429,294"
12/08/2023,"66.43","66.52","65.46","65.47","2,452,661"
12/07/2023,"66.07","66.68","65.19","66.39","3,658,303"
12/06/2023,"64.52","66.24","64.45","65.89","3,568,239"
12/05/2023,"65.14","65.43","64.28","64.52","2,986,178"
12/04/2023,"64.06","65.22","64.06","64.95","3,381,841"
12/01/2023,"63.57","64.16","63.32","64.13","3,349,203"
11/30/2023,"62.60","63.79","62.40","63.66","6,840,165"
11/29/2023,"63.35","63.47","62.57","62.59","4,510,970"
11/28/2023,"63.50","63.79","63.13","63.42","4,572,616"
11/27/2023,"64.88","65.11","63.42","63.58","4,388,998"
11/24/2023,"65.01","65.19","64.63","65.18","1,262,496"
11/22/2023,"65.02","65.29","64.61","64.87","2,747,628"
