Date,Open,High,Low,Close,Volume
02/16/2024,"38.80","39.06","38.62","38.70","12,396,650"
02/15/2024,"38.67","39.51","38.64","38.99","15,688,590"
02/14/2024,"38.58","38.75","38.05","38.37","13,278,490"
02/13/2024,"38.80","38.94","37.83","38.31","18,979,039"
02/12/2024,"38.54","39.54","38.51","39.28","18,113,131"
02/09/2024,"38.62","38.98","38.45","38.56","13,065,970"
02/08/2024,"38.84","38.94","38.42","38.65","15,864,500"
02/07/2024,"38.54","39.12","38.10","38.72","19,093,750"
02/06/2024,"37.60","38.67","37.60","38.03","16,288,900"
02/05/2024,"38.53","38.69","37.68","37.79","19,722,400"
02/02/2024,"38.53","39.19","38.29","38.91","19,818,289"
02/01/2024,"39.18","39.31","38.53","38.87","21,343,029"
01/31/2024,"38.20","39.75","38.13","38.80","34,203,078"
01/30/2024,"38.35","38.96","37.40","38.15","57,982,621"
01/29/2024,"35.20","35.61","34.93","35.39","24,054,760"
01/26/2024,"35.16","35.55","35.04","35.18","14,190,100"
01/25/2024,"34.96","35.26","34.71","35.16","21,520,320"
01/24/2024,"35.29","35.60","34.56","34.70","15,483,430"
01/23/2024,"35.62","35.76","34.94","35.23","16,822,830"
01/22/2024,"35.55","36.05","35.28","35.32","15,127,060"
01/19/2024,"34.59","35.66","34.34","35.51","17,599,020"
01/18/2024,"35.30","35.36","34.32","34.58","22,571,840"
01/17/2024,"34.83","35.21","34.73","35.01","15,352,760"
01/16/2024,"34.73","35.58","34.62","35.39","18,287,230"
01/12/2024,"35.67","36.12","35.20","35.26","16,651,461"
01/11/2024,"36.11","36.25","35.61","35.86","14,628,240"
01/10/2024,"36.57","36.62","36.00","36.31","16,042,620"
01/09/2024,"36.35","36.73","36.19","36.54","13,892,790"
01/08/2024,"35.83","36.85","35.82","36.70","13,774,770"
01/05/2024,"35.51","36.61","35.44","35.99","15,019,200"
01/04/2024,"35.66","35.98","35.28","35.49","20,138,039"
01/03/2024,"35.51","35.62","34.70","35.27","20,308,760"
01/02/2024,"35.64","36.63","35.44","36.05","17,501,350"
12/29/2023,"36.13","36.46","35.86","35.92","14,127,710"
12/28/2023,"36.00","36.24","35.91","36.20","9,719,449"
12/27/2023,"36.10","36.26","35.70","36.08","11,128,540"
12/26/2023,"36.02","36.43","36.02","36.13","10,733,850"
12/22/2023,"36.11","36.62","35.84","36.02","15,027,610"
12/21/2023,"35.83","36.32","35.69","36.25","18,421,869"
12/20/2023,"35.73","36.40","35.46","35.47","16,585,369"
12/19/2023,"35.51","36.00","35.37","35.87","11,875,440"
12/18/2023,"35.78","36.16","35.43","35.44","18,151,801"
12/15/2023,"36.30","36.49","35.62","35.73","34,158,070"
12/14/2023,"34.62","36.32","34.55","36.25","35,593,059"
12/13/2023,"33.30","34.06","32.83","33.99","28,807,109"
12/12/2023,"33.50","33.91","33.36","33.42","22,492,061"
12/11/2023,"33.50","34.02","33.44","33.58","23,314,410"
12/08/2023,"33.51","34.32","33.51","33.75","20,280,230"
12/07/2023,"32.98","33.62","32.81","33.51","20,158,840"
12/06/2023,"33.05","33.67","32.87","32.91","21,736,180"
12/05/2023,"32.96","33.43","32.66","32.68","25,717,600"
12/04/2023,"32.67","33.44","32.60","33.07","29,590,141"
12/01/2023,"31.52","32.59","31.52","32.36","31,661,680"
11/30/2023,"31.75","32.27","31.58","31.60","45,236,473"
11/29/2023,"31.87","32.29","31.42","31.60","85,193,711"
11/28/2023,"28.44","29.00","28.33","28.89","18,156,721"
11/27/2023,"28.02","28.52","27.94","28.50","19,878,789"
11/24/2023,"28.17","28.50","28.12","28.18","6,941,407"
11/22/2023,"28.06","28.35","27.84","28.10","11,356,790"
11/21/2023,"28.25","28.57","27.70","27.90","19,693,520"
