Date,Open,High,Low,Close,Volume
02/22/2024,"114.50","115.59","111.53","111.75","1,357,790"
02/21/2024,"113.49","114.54","111.38","113.62","1,384,520"
02/20/2024,"115.97","116.75","113.64","114.39","1,339,070"
02/16/2024,"119.00","119.68","116.41","117.28","1,270,132"
02/15/2024,"118.84","122.87","116.64","120.68","2,242,465"
02/14/2024,"113.17","126.80","112.34","123.44","5,071,376"
02/13/2024,"124.21","127.12","122.44","123.79","1,729,085"
02/12/2024,"126.34","132.50","126.18","130.47","1,694,186"
02/09/2024,"127.53","128.39","125.16","126.91","1,101,485"
02/08/2024,"125.21","127.74","124.26","127.14","773,459"
02/07/2024,"119.98","127.97","119.22","125.80","1,638,159"
02/06/2024,"113.88","117.56","113.21","117.35","752,050"
02/05/2024,"114.17","115.36","112.25","113.99","651,881"
02/02/2024,"113.63","116.60","112.18","116.14","506,376"
02/01/2024,"115.22","117.10","113.66","115.33","742,744"
01/31/2024,"115.35","118.25","113.55","113.67","744,503"
01/30/2024,"115.37","117.50","114.70","115.84","582,772"
01/29/2024,"114.56","116.47","114.27","116.09","859,152"
01/26/2024,"114.91","116.18","114.53","114.69","531,920"
01/25/2024,"114.78","115.25","112.77","114.64","697,430"
01/24/2024,"118.53","118.68","113.15","113.17","905,911"
01/23/2024,"119.23","121.27","115.63","117.34","808,891"
01/22/2024,"118.54","120.69","116.66","117.46","927,902"
01/19/2024,"116.35","117.48","114.22","116.82","711,062"
01/18/2024,"115.52","116.12","113.60","115.89","502,799"
01/17/2024,"114.25","115.22","112.67","114.49","1,051,288"
01/16/2024,"121.18","121.32","116.00","116.18","1,160,592"
01/12/2024,"123.33","125.10","122.10","123.50","724,447"
01/11/2024,"123.18","123.41","120.48","122.21","573,374"
01/10/2024,"123.60","124.53","120.58","124.34","893,983"
01/09/2024,"119.24","123.68","119.00","123.46","725,781"
01/08/2024,"118.32","121.45","117.31","120.98","569,199"
01/05/2024,"115.27","118.93","115.20","117.62","527,065"
01/04/2024,"119.41","120.12","116.26","116.33","700,962"
01/03/2024,"125.26","125.26","119.61","119.72","890,462"
01/02/2024,"127.28","129.47","125.71","127.37","756,453"
12/29/2023,"130.17","131.00","128.94","129.24","479,268"
12/28/2023,"129.81","131.20","129.03","130.93","397,133"
12/27/2023,"130.17","131.87","129.49","130.29","442,228"
12/26/2023,"129.36","130.68","129.20","129.89","362,289"
12/22/2023,"129.23","130.50","127.60","128.81","475,291"
12/21/2023,"129.19","130.65","128.06","129.47","526,735"
12/20/2023,"131.04","132.19","126.92","127.10","725,202"
12/19/2023,"129.51","133.15","129.51","132.04","958,752"
12/18/2023,"128.00","129.51","126.88","128.59","772,153"
12/15/2023,"129.11","129.47","127.09","128.21","2,362,231"
12/14/2023,"128.00","133.06","127.94","129.06","2,175,188"
12/13/2023,"121.07","126.42","119.74","125.21","942,629"
12/12/2023,"121.99","122.54","119.91","122.13","1,018,986"
12/11/2023,"121.25","123.27","121.04","121.70","1,159,784"
12/08/2023,"119.97","121.62","118.63","121.55","1,032,674"
12/07/2023,"123.68","124.17","118.74","120.55","1,318,479"
12/06/2023,"123.67","126.44","122.84","123.07","928,693"
12/05/2023,"122.30","123.72","121.80","122.77","897,998"
12/04/2023,"121.00","123.66","120.50","122.87","963,886"
12/01/2023,"116.76","122.41","116.30","122.30","1,379,075"
11/30/2023,"115.84","118.82","114.22","117.07","4,661,983"
11/29/2023,"115.17","116.73","115.01","115.60","985,534"
11/28/2023,"112.05","114.51","110.97","113.88","1,132,719"
11/27/2023,"111.90","113.05","111.31","112.73","763,451"
11/24/2023,"111.56","113.35","111.23","112.80","437,772"
