Date,Open,High,Low,Close,Volume
02/16/2024,"142.99","143.19","140.14","140.52","31,468,930"
02/15/2024,"143.14","143.52","140.46","142.77","37,590,699"
02/14/2024,"146.08","146.52","144.09","145.94","22,704,170"
02/13/2024,"144.92","146.67","143.69","145.14","27,837,730"
02/12/2024,"148.42","149.34","147.37","147.53","21,564,090"
02/09/2024,"146.68","149.44","146.18","149.00","26,829,500"
02/08/2024,"145.83","146.33","145.11","145.91","22,563,760"
02/07/2024,"144.76","145.62","143.93","145.54","25,208,859"
02/06/2024,"144.65","145.36","143.19","144.10","29,128,199"
02/05/2024,"142.82","145.47","142.78","143.68","38,505,406"
02/02/2024,"139.26","142.62","136.50","142.38","62,499,566"
02/01/2024,"142.12","143.06","140.79","141.16","40,466,551"
01/31/2024,"143.62","144.00","139.87","140.10","71,910,039"
01/30/2024,"152.80","153.62","151.19","151.46","36,331,832"
01/29/2024,"152.06","153.78","151.43","153.51","27,784,260"
01/26/2024,"151.10","152.54","151.01","152.19","26,115,490"
01/25/2024,"150.07","153.05","149.54","151.87","29,149,070"
01/24/2024,"148.54","149.86","148.10","148.70","25,233,449"
01/23/2024,"145.89","147.18","145.50","147.04","21,636,131"
01/22/2024,"147.10","148.39","145.84","145.99","32,200,369"
01/19/2024,"144.74","146.45","144.38","146.38","34,271,871"
01/18/2024,"142.05","144.21","141.99","143.48","25,746,420"
01/17/2024,"141.35","141.84","138.90","141.47","20,968,650"
01/16/2024,"142.00","144.35","141.45","142.49","22,670,471"
01/12/2024,"142.67","143.20","141.82","142.65","18,785,510"
01/11/2024,"143.49","145.22","140.64","142.08","24,008,721"
01/10/2024,"141.00","143.00","140.91","142.28","21,320,199"
01/09/2024,"138.50","141.49","138.15","140.95","24,759,600"
01/08/2024,"136.29","139.01","136.26","138.84","21,403,980"
01/05/2024,"136.75","137.16","135.15","135.73","22,513,850"
01/04/2024,"138.42","139.16","136.35","136.39","27,137,740"
01/03/2024,"137.25","139.63","137.08","138.92","24,212,150"
01/02/2024,"138.55","139.45","136.48","138.17","23,711,221"
12/29/2023,"139.63","140.36","138.78","139.69","18,733,020"
12/28/2023,"140.78","141.14","139.75","140.23","16,045,710"
12/27/2023,"141.59","142.08","139.89","140.37","19,628,619"
12/26/2023,"141.59","142.68","141.19","141.52","16,780,330"
12/22/2023,"140.77","141.99","140.71","141.49","26,532,199"
12/21/2023,"139.49","140.69","139.18","140.42","27,488,279"
12/20/2023,"138.97","141.70","138.07","138.34","49,107,180"
12/19/2023,"136.84","137.47","136.08","136.65","25,476,750"
12/18/2023,"132.63","137.15","132.43","135.80","32,257,971"
12/15/2023,"131.62","133.51","131.18","132.60","50,847,113"
12/14/2023,"133.38","133.72","129.69","131.94","38,722,406"
12/13/2023,"133.38","133.50","131.57","132.57","30,104,779"
12/12/2023,"131.81","133.00","131.26","132.52","29,032,830"
12/11/2023,"132.38","133.34","131.36","133.29","31,138,010"
12/08/2023,"134.20","136.40","134.03","134.99","32,260,109"
12/07/2023,"135.04","138.56","134.70","136.93","56,767,102"
12/06/2023,"131.44","131.84","129.88","130.02","23,576,180"
12/05/2023,"128.95","132.14","128.25","130.99","27,384,779"
12/04/2023,"129.88","130.03","127.90","129.27","36,669,879"
12/01/2023,"131.86","132.11","130.67","131.86","31,442,260"
11/30/2023,"135.05","135.55","131.28","132.53","38,988,262"
11/29/2023,"137.57","138.29","134.84","134.99","23,967,221"
11/28/2023,"136.08","137.25","135.42","137.20","18,730,029"
11/27/2023,"136.03","138.42","136.00","136.41","23,436,529"
11/24/2023,"138.03","138.13","135.99","136.69","12,514,320"
11/22/2023,"137.47","139.42","137.47","138.49","17,820,461"
11/21/2023,"136.29","137.18","135.96","136.97","22,635,270"
