Date,Open,High,Low,Close,Volume
02/16/2024,"143.09","144.50","142.64","142.93","1,161,509"
02/15/2024,"135.00","143.90","135.00","143.71","2,619,876"
02/14/2024,"143.04","144.16","142.32","144.04","1,481,662"
02/13/2024,"143.01","143.60","141.77","142.41","1,218,437"
02/12/2024,"143.54","145.88","143.44","145.14","1,113,429"
02/09/2024,"142.35","143.21","141.43","143.18","867,127"
02/08/2024,"141.31","142.36","141.20","142.31","1,255,262"
02/07/2024,"141.74","142.93","141.24","142.78","963,027"
02/06/2024,"139.19","141.38","138.91","141.32","846,121"
02/05/2024,"141.08","142.06","139.39","140.14","880,377"
02/02/2024,"142.35","143.62","140.95","142.38","945,797"
02/01/2024,"140.34","142.69","139.37","142.67","804,582"
01/31/2024,"143.88","144.22","139.70","140.23","1,154,526"
01/30/2024,"142.55","143.44","141.60","143.25","719,795"
01/29/2024,"142.90","143.68","141.71","142.74","710,564"
01/26/2024,"143.37","143.37","142.45","142.63","648,578"
01/25/2024,"142.52","143.01","141.61","142.52","640,825"
01/24/2024,"143.53","143.57","141.22","141.67","701,416"
01/23/2024,"144.38","144.93","142.22","143.02","910,348"
01/22/2024,"142.05","144.07","141.94","143.57","977,176"
01/19/2024,"139.85","143.32","139.27","142.09","1,268,073"
01/18/2024,"137.78","139.87","137.34","139.45","760,947"
01/17/2024,"139.11","140.11","137.04","137.98","734,221"
01/16/2024,"138.47","139.83","138.24","139.80","987,979"
01/12/2024,"139.33","140.29","138.35","138.80","699,520"
01/11/2024,"137.73","138.61","136.50","138.43","904,518"
01/10/2024,"137.54","138.47","137.12","137.67","787,382"
01/09/2024,"137.51","138.82","136.31","137.20","912,921"
01/08/2024,"136.90","138.47","136.01","138.46","866,006"
01/05/2024,"135.34","137.72","135.20","136.62","818,526"
01/04/2024,"135.20","136.97","135.00","136.16","984,372"
01/03/2024,"137.60","138.82","135.85","136.15","1,145,498"
01/02/2024,"138.20","140.73","137.76","138.09","790,597"
12/29/2023,"138.11","138.86","137.64","138.50","705,830"
12/28/2023,"138.57","138.70","137.51","138.39","602,965"
12/27/2023,"138.76","139.58","138.09","138.77","519,977"
12/26/2023,"138.99","139.48","137.98","138.62","484,386"
12/22/2023,"138.43","139.92","138.03","138.98","452,413"
12/21/2023,"138.26","138.77","137.06","138.47","759,376"
12/20/2023,"138.38","139.63","136.79","136.85","793,214"
12/19/2023,"139.94","140.48","138.40","138.95","906,207"
12/18/2023,"138.65","139.83","137.86","139.61","853,889"
12/15/2023,"138.96","140.04","137.30","138.39","2,662,208"
12/14/2023,"139.00","141.57","138.49","139.87","1,259,101"
12/13/2023,"136.17","137.92","135.06","137.61","1,008,380"
12/12/2023,"135.44","135.65","134.56","135.63","711,722"
12/11/2023,"134.49","135.97","134.20","135.60","1,055,005"
12/08/2023,"134.80","135.48","132.80","132.98","1,188,424"
12/07/2023,"135.94","136.27","134.28","134.28","1,018,690"
12/06/2023,"134.99","137.25","134.50","136.50","1,058,126"
12/05/2023,"136.77","136.77","133.81","134.03","1,325,033"
12/04/2023,"134.21","137.63","134.21","137.32","2,150,829"
12/01/2023,"133.48","135.25","132.55","134.70","1,423,334"
11/30/2023,"133.68","134.00","131.78","132.78","1,837,217"
11/29/2023,"134.52","135.37","133.68","133.86","786,558"
11/28/2023,"135.40","135.62","134.15","134.36","934,969"
11/27/2023,"137.00","137.00","135.06","135.06","984,731"
11/24/2023,"137.77","138.41","137.40","137.40","407,735"
11/22/2023,"138.20","138.24","136.83","137.77","879,155"
11/21/2023,"136.86","138.20","136.75","137.47","648,867"
