Date,Open,High,Low,Close,Volume
02/20/2024,"131.92","132.71","130.54","130.80","3,789,343"
02/16/2024,"137.33","137.49","133.63","134.19","1,795,849"
02/15/2024,"140.00","141.78","137.61","137.82","2,690,661"
02/14/2024,"132.00","139.28","131.40","138.98","3,680,705"
02/13/2024,"135.70","137.12","134.03","136.07","2,322,578"
02/12/2024,"136.00","138.33","135.56","137.75","1,470,354"
02/09/2024,"136.47","137.10","134.91","136.00","1,522,916"
02/08/2024,"136.73","137.69","136.21","136.63","990,988"
02/07/2024,"136.49","137.68","135.29","137.01","1,315,374"
02/06/2024,"135.54","136.08","133.64","135.86","1,273,877"
02/05/2024,"135.14","136.42","134.06","136.09","1,421,670"
02/02/2024,"137.20","137.70","134.71","136.50","1,455,263"
02/01/2024,"133.54","135.48","131.74","135.31","1,664,996"
01/31/2024,"135.84","136.57","133.12","133.23","1,325,494"
01/30/2024,"135.07","136.19","134.88","135.94","1,572,070"
01/29/2024,"133.17","135.94","132.80","135.38","2,042,976"
01/26/2024,"130.92","134.63","130.92","133.90","2,349,068"
01/25/2024,"131.78","131.78","129.51","131.38","1,800,850"
01/24/2024,"132.00","132.24","129.00","130.01","2,391,475"
01/23/2024,"133.00","133.65","131.11","131.83","2,155,404"
01/22/2024,"131.36","133.13","131.14","132.68","4,434,876"
01/19/2024,"128.48","129.88","127.69","129.46","2,228,743"
01/18/2024,"128.60","129.16","126.14","127.42","1,542,693"
01/17/2024,"127.52","129.35","127.23","128.04","1,462,700"
01/16/2024,"129.35","130.16","128.21","128.90","1,657,933"
01/12/2024,"132.86","133.22","129.77","130.27","1,494,906"
01/11/2024,"133.13","134.72","130.75","131.99","2,045,988"
01/10/2024,"131.82","133.68","131.80","133.27","1,875,019"
01/09/2024,"131.65","133.06","130.98","131.34","1,610,860"
01/08/2024,"128.89","133.35","128.17","133.07","2,253,007"
01/05/2024,"125.64","128.40","125.64","127.39","1,337,114"
01/04/2024,"124.93","127.48","124.93","125.83","1,313,661"
01/03/2024,"126.53","127.49","125.08","125.51","2,892,827"
01/02/2024,"126.21","128.02","125.60","127.17","3,553,775"
12/29/2023,"127.49","128.45","126.57","127.00","1,066,218"
12/28/2023,"128.07","128.47","126.97","127.94","804,942"
12/27/2023,"126.50","127.50","126.03","127.40","722,042"
12/26/2023,"126.30","127.14","126.14","126.31","746,466"
12/22/2023,"127.04","127.23","125.71","126.89","910,896"
12/21/2023,"125.86","126.67","125.08","126.37","1,583,728"
12/20/2023,"127.91","127.96","124.32","124.46","2,029,811"
12/19/2023,"128.00","128.66","125.78","128.42","3,172,505"
12/18/2023,"128.37","128.41","126.16","127.38","3,193,723"
12/15/2023,"127.09","132.10","127.03","128.18","4,237,003"
12/14/2023,"130.20","138.07","120.98","125.69","11,204,450"
12/13/2023,"122.54","129.47","122.54","129.26","2,106,927"
12/12/2023,"122.91","123.62","121.94","123.42","1,546,593"
12/11/2023,"120.55","123.36","120.55","122.72","1,666,895"
12/08/2023,"119.90","120.78","119.13","120.16","1,534,159"
12/07/2023,"119.27","120.03","117.77","119.87","1,727,802"
12/06/2023,"118.69","120.40","118.69","119.45","1,592,892"
12/05/2023,"118.83","119.23","116.84","117.84","1,247,567"
12/04/2023,"119.00","121.08","118.67","119.81","1,389,530"
12/01/2023,"116.23","120.02","115.95","119.79","3,658,768"
11/30/2023,"116.62","117.10","115.72","116.44","1,830,051"
11/29/2023,"116.60","117.76","116.33","116.36","1,082,586"
11/28/2023,"113.71","116.23","113.70","115.50","1,321,883"
11/27/2023,"112.16","114.20","111.90","113.70","2,315,381"
11/24/2023,"112.50","112.82","111.74","112.63","248,856"
11/22/2023,"112.63","113.00","111.83","112.38","804,799"
