Date,Open,High,Low,Close,Volume
02/16/2024,"123.63","123.78","122.10","122.20","1,602,529"
02/15/2024,"122.97","124.04","122.89","123.96","644,736"
02/14/2024,"121.78","122.89","120.73","122.83","723,722"
02/13/2024,"121.89","121.89","120.06","121.12","538,788"
02/12/2024,"123.27","123.93","122.96","123.62","713,996"
02/09/2024,"122.27","123.70","121.90","123.27","599,454"
02/08/2024,"122.04","122.46","120.86","122.32","596,359"
02/07/2024,"121.81","122.22","121.00","121.73","708,129"
02/06/2024,"120.18","121.93","120.06","121.81","570,101"
02/05/2024,"119.52","120.81","119.31","119.88","734,380"
02/02/2024,"119.97","120.94","119.27","120.41","722,129"
02/01/2024,"120.04","121.03","119.15","121.01","708,525"
01/31/2024,"121.86","121.86","119.30","119.49","936,020"
01/30/2024,"123.98","124.04","121.74","121.86","1,039,027"
01/29/2024,"124.38","125.21","123.73","125.19","459,369"
01/26/2024,"125.39","125.75","124.38","124.74","488,136"
01/25/2024,"124.80","125.51","124.15","125.04","675,206"
01/24/2024,"127.73","127.73","125.02","125.11","632,526"
01/23/2024,"126.46","127.25","125.89","127.05","745,221"
01/22/2024,"126.05","127.36","126.05","126.71","659,088"
01/19/2024,"124.73","126.02","124.50","125.48","1,334,288"
01/18/2024,"124.08","124.58","123.14","124.28","612,794"
01/17/2024,"122.98","123.64","122.74","123.37","699,202"
01/16/2024,"123.20","123.76","122.51","123.59","703,654"
01/12/2024,"124.20","124.29","123.37","123.85","520,987"
01/11/2024,"123.25","123.55","121.98","123.18","621,466"
01/10/2024,"122.67","123.46","122.35","123.25","567,258"
01/09/2024,"122.20","122.52","121.32","121.88","934,709"
01/08/2024,"122.06","123.19","121.72","123.02","795,164"
01/05/2024,"123.78","124.36","122.64","122.85","864,616"
01/04/2024,"123.94","124.70","123.75","123.81","660,899"
01/03/2024,"125.55","125.99","123.94","124.15","728,117"
01/02/2024,"127.55","128.60","126.03","126.56","1,023,259"
12/29/2023,"128.40","128.95","128.08","128.54","622,252"
12/28/2023,"128.54","129.06","128.25","128.76","440,110"
12/27/2023,"129.00","129.32","128.34","128.67","443,537"
12/26/2023,"127.85","129.06","127.77","128.91","488,024"
12/22/2023,"127.40","128.80","127.39","128.06","730,091"
12/21/2023,"126.98","127.45","126.47","127.42","486,197"
12/20/2023,"126.75","128.12","126.01","126.05","623,533"
12/19/2023,"126.47","127.42","126.47","127.04","658,966"
12/18/2023,"125.45","126.51","125.06","126.46","582,253"
12/15/2023,"125.60","126.64","125.15","126.13","3,125,516"
12/14/2023,"126.83","126.83","124.97","125.60","960,625"
12/13/2023,"125.88","126.99","124.73","126.89","961,965"
12/12/2023,"125.14","125.90","124.69","125.53","610,633"
12/11/2023,"124.42","125.69","124.08","125.20","616,372"
12/08/2023,"124.47","124.92","124.14","124.59","644,590"
12/07/2023,"125.06","125.40","123.98","124.39","630,505"
12/06/2023,"124.66","125.99","124.10","125.08","932,649"
12/05/2023,"123.77","124.63","123.25","124.18","720,654"
12/04/2023,"122.97","124.53","122.34","124.18","1,106,191"
12/01/2023,"122.04","123.72","121.70","123.64","575,007"
11/30/2023,"121.14","122.50","120.97","122.24","1,653,533"
11/29/2023,"121.65","122.19","120.96","121.00","559,938"
11/28/2023,"121.58","122.27","121.09","121.39","823,193"
11/27/2023,"121.03","121.93","120.77","121.47","659,735"
11/24/2023,"120.28","121.27","120.28","121.03","254,365"
11/22/2023,"120.02","120.87","119.75","120.37","499,176"
11/21/2023,"119.91","120.52","119.27","119.32","1,065,929"
